Vgs,Vds,Ids
-1.00000000,-0.00018395,-0.00000005
-1.00000000,0.09992775,0.00000000
-1.00000000,0.20000616,-0.00000004
-1.00000000,0.30008867,-0.00000004
-1.00000000,0.40017385,-0.00000009
-1.00000000,0.49974007,0.00000000
-1.00000000,0.59988004,0.00000001
-1.00000000,0.69997299,-0.00000003
-1.00000000,0.80004102,0.00000000
-1.00000000,0.90012379,-0.00000005
-1.00000000,1.00020760,-0.00000000
-1.00000000,1.09985140,-0.00000006
-1.00000000,1.19993260,-0.00000000
-1.00000000,1.30001380,-0.00000002
-1.00000000,1.40008510,-0.00000001
-1.00000000,1.50017960,-0.00000004
-1.00000000,1.60030140,-0.00000002
-1.00000000,1.69987860,-0.00000002
-1.00000000,1.79995900,-0.00000001
-1.00000000,1.90003150,-0.00000002
-1.00000000,2.00011710,0.00000000
-1.00000000,2.10019860,-0.00000005
-1.00000000,2.20021260,-0.00000005
-1.00000000,2.29979270,-0.00000002
-1.00000000,2.39984960,0.00000001
-1.00000000,2.49993770,-0.00000003
-1.00000000,2.60002850,-0.00000003
-1.00000000,2.70017110,-0.00000004
-1.00000000,2.80025150,-0.00000000
-1.00000000,2.89981180,-0.00000002
-1.00000000,2.99989370,-0.00000005
-1.00000000,3.09997920,-0.00000001
-1.00000000,3.20013080,0.00000005
-1.00000000,3.30020490,0.00000006
-1.00000000,3.39977430,-0.00000002
-1.00000000,3.49986110,0.00000004
-1.00000000,3.59994420,0.00000001
-1.00000000,3.70002460,0.00000000
-1.00000000,3.80016200,0.00000002
-1.00000000,3.90025050,0.00000003
-1.00000000,3.99980300,-0.00000002
-1.00000000,4.09987950,-0.00000003
-1.00000000,4.19995880,0.00000000
-1.00000000,4.29991600,0.00000003
-1.00000000,4.40001950,0.00000004
-1.00000000,4.50010250,0.00000002
-1.00000000,4.59966020,-0.00000001
-1.00000000,4.69975250,-0.00000001
-1.00000000,4.79988220,-0.00000004
-1.00000000,4.89997430,0.00000000
-1.00000000,5.00005740,0.00000001
-0.90000000,-0.00017869,-0.00000003
-0.90000000,0.09992978,0.00000006
-0.90000000,0.20000681,-0.00000002
-0.90000000,0.30008933,0.00000003
-0.90000000,0.40017451,-0.00000002
-0.90000000,0.49973797,-0.00000000
-0.90000000,0.59988161,-0.00000000
-0.90000000,0.69996972,0.00000001
-0.90000000,0.80004286,0.00000000
-0.90000000,0.90011973,-0.00000002
-0.90000000,1.00020780,-0.00000002
-0.90000000,1.09984950,0.00000002
