Vgs,	Vds,	Ids
-1.00000000,-0.00015600,-0.00000003
-1.00000000,0.09995078,0.00000005
-1.00000000,0.20003154,0.00000006
-1.00000000,0.30011301,0.00000010
-1.00000000,0.40020107,0.00000009
-1.00000000,0.49976244,0.00000008
-1.00000000,0.59990647,0.00000011
-1.00000000,0.69999628,0.00000006
-1.00000000,0.80006850,0.00000012
-1.00000000,0.90014643,0.00000016
-1.00000000,1.00023270,0.00000008
-1.00000000,1.09987770,0.00000014
-1.00000000,1.19995760,0.00000013
-1.00000000,1.30003970,0.00000018
-1.00000000,1.40011620,0.00000013
-1.00000000,1.50020680,0.00000019
-1.00000000,1.60033390,0.00000015
-1.00000000,1.69990320,0.00000022
-1.00000000,1.79998890,0.00000020
-1.00000000,1.90006260,0.00000023
-1.00000000,2.00014430,0.00000016
-1.00000000,2.10021940,0.00000026
-1.00000000,2.20024510,0.00000011
-1.00000000,2.29981860,0.00000025
-1.00000000,2.39987680,0.00000022
-1.00000000,2.49996100,0.00000018
-1.00000000,2.60005310,0.00000018
-1.00000000,2.70019570,0.00000019
-1.00000000,2.80028260,0.00000025
-1.00000000,2.89983650,0.00000023
-1.00000000,2.99991570,0.00000024
-1.00000000,3.10000770,0.00000024
-1.00000000,3.20015290,0.00000021
-1.00000000,3.30022690,0.00000028
-1.00000000,3.39980020,0.00000019
-1.00000000,3.49988180,0.00000023
-1.00000000,3.59996760,0.00000018
-1.00000000,3.70004280,0.00000024
-1.00000000,3.80018540,0.00000033
-1.00000000,3.90027900,0.00000025
-1.00000000,3.99982630,0.00000033
-1.00000000,4.09990030,0.00000034
-1.00000000,4.19999120,0.00000025
-1.00000000,4.29994580,0.00000027
-1.00000000,4.40004540,0.00000031
-1.00000000,4.50011810,0.00000029
-1.00000000,4.59968740,0.00000023
-1.00000000,4.69977710,0.00000030
-1.00000000,4.79990690,0.00000032
-1.00000000,4.89999250,0.00000028
-1.00000000,5.00008590,0.00000035
-0.90000000,-0.00015497,0.00000010
-0.90000000,0.09995377,0.00000011
-0.90000000,0.20003037,0.00000000
-0.90000000,0.30011524,0.00000007
-0.90000000,0.40019963,0.00000010
-0.90000000,0.49976310,0.00000012
-0.90000000,0.59990594,0.00000012
-0.90000000,0.69999811,0.00000011
-0.90000000,0.80006746,0.00000015
-0.90000000,0.90014381,0.00000018
-0.90000000,1.00023250,0.00000016
-0.90000000,1.09987510,0.00000015
-0.90000000,1.19995920,0.00000021
-0.90000000,1.30004230,0.00000022
-0.90000000,1.40010970,0.00000023
-0.90000000,1.50019910,0.00000026
-0.90000000,1.60033130,0.00000023
-0.90000000,1.69990190,0.00000023
-0.90000000,1.79998630,0.00000025
-0.90000000,1.90005610,0.00000025
-0.90000000,2.00014050,0.00000026
-0.90000000,2.10021940,0.00000029
-0.90000000,2.20024120,0.00000030
-0.90000000,2.29981600,0.00000020
-0.90000000,2.39987680,0.00000030
-0.90000000,2.49996490,0.00000030
-0.90000000,2.60005060,0.00000031
-0.90000000,2.70019700,0.00000030
-0.90000000,2.80027880,0.00000028
-0.90000000,2.89983260,0.00000031
-0.90000000,2.99991960,0.00000025
-0.90000000,3.10000250,0.00000031
-0.90000000,3.20015160,0.00000029
-0.90000000,3.30022950,0.00000029
-0.90000000,3.39980020,0.00000035
-0.90000000,3.49988180,0.00000038
-0.90000000,3.59996880,0.00000032
-0.90000000,3.70004670,0.00000034
-0.90000000,3.80018410,0.00000041
-0.90000000,3.90028290,0.00000035
-0.90000000,3.99983020,0.00000036
-0.90000000,4.09990290,0.00000038
-0.90000000,4.19999250,0.00000036
-0.90000000,4.29994450,0.00000031
-0.90000000,4.40004670,0.00000029
-0.90000000,4.50012450,0.00000042
-0.90000000,4.59968740,0.00000044
-0.90000000,4.69977970,0.00000037
-0.90000000,4.79990950,0.00000038
-0.90000000,4.89999510,0.00000044
-0.90000000,5.00008330,0.00000042
-0.80000000,-0.00015415,0.00000001
-0.80000000,0.09995351,0.00000005
-0.80000000,0.20003455,0.00000008
-0.80000000,0.30011798,0.00000008
-0.80000000,0.40020068,0.00000015
-0.80000000,0.49976584,0.00000019
-0.80000000,0.59990647,0.00000019
-0.80000000,0.69999863,0.00000023
-0.80000000,0.80006850,0.00000013
-0.80000000,0.90014630,0.00000018
-0.80000000,1.00023180,0.00000018
