Vgs,Vds,Ids
-1.00000000,-0.00018156,-0.00000006
-1.00000000,0.09992856,0.00000001
-1.00000000,0.20000655,-0.00000001
-1.00000000,0.30008985,0.00000001
-1.00000000,0.40017765,-0.00000007
-1.00000000,0.49973850,-0.00000003
-1.00000000,0.59987938,-0.00000002
-1.00000000,0.69997286,-0.00000004
-1.00000000,0.80004233,0.00000002
-1.00000000,0.90012549,-0.00000005
-1.00000000,1.00020930,0.00000001
-1.00000000,1.09984990,-0.00000002
-1.00000000,1.19993270,-0.00000006
-1.00000000,1.30001380,0.00000001
-1.00000000,1.40008640,-0.00000001
-1.00000000,1.50017830,-0.00000003
-1.00000000,1.60030920,-0.00000002
-1.00000000,1.69987340,-0.00000003
-1.00000000,1.79995900,0.00000005
-1.00000000,1.90003150,-0.00000003
-1.00000000,2.00011840,-0.00000001
-1.00000000,2.10019730,-0.00000001
-1.00000000,2.20021650,-0.00000002
-1.00000000,2.29978750,-0.00000001
-1.00000000,2.39984960,0.00000000
-1.00000000,2.49993770,-0.00000004
-1.00000000,2.60002330,-0.00000003
-1.00000000,2.70016590,0.00000002
-1.00000000,2.80025150,0.00000000
-1.00000000,2.89980790,-0.00000002
-1.00000000,2.99988980,-0.00000005
-1.00000000,3.09998180,0.00000001
-1.00000000,3.20012690,-0.00000006
-1.00000000,3.30020620,0.00000002
-1.00000000,3.39977430,0.00000000
-1.00000000,3.49985980,-0.00000001
-1.00000000,3.59994680,-0.00000006
-1.00000000,3.70002080,-0.00000004
-1.00000000,3.80016070,-0.00000001
-1.00000000,3.90025430,0.00000001
-1.00000000,3.99980300,-0.00000001
-1.00000000,4.09987950,0.00000001
-1.00000000,4.19996390,-0.00000003
-1.00000000,4.29991600,0.00000006
-1.00000000,4.40002210,-0.00000005
-1.00000000,4.50009470,0.00000006
-1.00000000,4.59966150,0.00000000
-1.00000000,4.69974990,-0.00000003
-1.00000000,4.79988610,0.00000003
-1.00000000,4.89997560,0.00000005
-1.00000000,5.00005220,-0.00000003
-0.90000000,-0.00017640,-0.00000001
-0.90000000,0.09993114,0.00000000
-0.90000000,0.20000590,0.00000004
-0.90000000,0.30009103,0.00000000
-0.90000000,0.40017477,-0.00000002
-0.90000000,0.49974281,0.00000002
-0.90000000,0.59988304,0.00000003
-0.90000000,0.69997469,-0.00000001
-0.90000000,0.80004129,-0.00000004
-0.90000000,0.90012104,-0.00000000
-0.90000000,1.00020740,0.00000001
-0.90000000,1.09985240,-0.00000002
-0.90000000,1.19993380,0.00000004
-0.90000000,1.30001380,0.00000001
-0.90000000,1.40008510,0.00000002
-0.90000000,1.50017570,-0.00000004
-0.90000000,1.60030400,-0.00000007
-0.90000000,1.69987860,-0.00000000
-0.90000000,1.79996160,-0.00000001
-0.90000000,1.90003410,-0.00000000
-0.90000000,2.00011970,0.00000002
-0.90000000,2.10019470,-0.00000003
-0.90000000,2.20021390,0.00000000
-0.90000000,2.29979270,0.00000001
-0.90000000,2.39985090,0.00000003
-0.90000000,2.49993900,0.00000003
-0.90000000,2.60002460,-0.00000006
-0.90000000,2.70016850,-0.00000002
-0.90000000,2.80025410,0.00000003
-0.90000000,2.89981310,-0.00000002
-0.90000000,2.99989110,0.00000001
-0.90000000,3.09998050,-0.00000000
-0.90000000,3.20012950,-0.00000003
-0.90000000,3.30020360,0.00000002
-0.90000000,3.39977560,-0.00000004
-0.90000000,3.49985980,-0.00000001
-0.90000000,3.59994420,-0.00000000
-0.90000000,3.70001950,-0.00000004
-0.90000000,3.80016070,-0.00000001
-0.90000000,3.90025180,-0.00000001
-0.90000000,3.99980300,-0.00000003
-0.90000000,4.09987430,-0.00000000
-0.90000000,4.19996010,-0.00000002
-0.90000000,4.29991600,0.00000006
-0.90000000,4.40002340,0.00000002
-0.90000000,4.50009470,0.00000000
-0.90000000,4.59965370,-0.00000001
-0.90000000,4.69975380,0.00000002
-0.90000000,4.79987960,0.00000000
-0.90000000,4.89997300,-0.00000001
-0.90000000,5.00005350,0.00000000
-0.80000000,-0.00017558,-0.00000004
-0.80000000,0.09993053,-0.00000011
-0.80000000,0.20000799,0.00000001
-0.80000000,0.30009063,0.00000000
-0.80000000,0.40017896,0.00000003
-0.80000000,0.49974124,0.00000004
-0.80000000,0.59988239,0.00000005
-0.80000000,0.69997495,-0.00000001
-0.80000000,0.80004273,-0.00000001
-0.80000000,0.90012261,0.00000001
-0.80000000,1.00020910,-0.00000004
-0.80000000,1.09985420,0.00000001
-0.80000000,1.19993430,0.00000003
-0.80000000,1.30001380,0.00000003
-0.80000000,1.40008770,-0.00000002
-0.80000000,1.50017700,0.00000003
-0.80000000,1.60030660,0.00000003
-0.80000000,1.69987600,-0.00000002
-0.80000000,1.79996030,0.00000001
-0.80000000,1.90003150,-0.00000000
-0.80000000,2.00012230,-0.00000004
-0.80000000,2.10019220,0.00000004
-0.80000000,2.20021780,-0.00000004
-0.80000000,2.29979400,-0.00000010
-0.80000000,2.39985090,0.00000001
-0.80000000,2.49993770,-0.00000001
-0.80000000,2.60002590,0.00000003
-0.80000000,2.70016590,0.00000008
-0.80000000,2.80025150,0.00000001
-0.80000000,2.89981050,-0.00000004
-0.80000000,2.99989370,0.00000001
-0.80000000,3.09998180,0.00000000
-0.80000000,3.20012820,0.00000001
-0.80000000,3.30021010,0.00000001
-0.80000000,3.39977430,0.00000002
-0.80000000,3.49985980,-0.00000001
-0.80000000,3.59994290,0.00000006
-0.80000000,3.70001690,-0.00000001
-0.80000000,3.80015560,-0.00000001
-0.80000000,3.90025180,0.00000003
-0.80000000,3.99980040,-0.00000004
-0.80000000,4.09987950,-0.00000003
-0.80000000,4.19996390,0.00000001
-0.80000000,4.29992120,0.00000002
-0.80000000,4.40001950,0.00000000
-0.80000000,4.50009600,0.00000000
-0.80000000,4.59966020,-0.00000002
-0.80000000,4.69975380,0.00000002
-0.80000000,4.79987830,0.00000000
-0.80000000,4.89996780,0.00000003
-0.80000000,5.00005350,-0.00000001
-0.70000000,-0.00017821,-0.00000002
-0.70000000,0.09993176,0.00000001
-0.70000000,0.20000747,-0.00000003
-0.70000000,0.30008998,0.00000002
-0.70000000,0.40017791,0.00000001
-0.70000000,0.49973836,-0.00000004
-0.70000000,0.59988213,0.00000002
-0.70000000,0.69997259,-0.00000000
-0.70000000,0.80004757,-0.00000002
-0.70000000,0.90012313,0.00000000
-0.70000000,1.00020700,-0.00000002
-0.70000000,1.09984950,0.00000001
-0.70000000,1.19993560,0.00000000
-0.70000000,1.30001500,0.00000003
-0.70000000,1.40008510,0.00000001
-0.70000000,1.50017570,0.00000000
-0.70000000,1.60030270,0.00000000
-0.70000000,1.69987080,-0.00000000
-0.70000000,1.79996030,0.00000003
-0.70000000,1.90002890,0.00000007
-0.70000000,2.00011710,-0.00000001
-0.70000000,2.10019220,0.00000001
-0.70000000,2.20021520,0.00000000
-0.70000000,2.29979010,0.00000000
-0.70000000,2.39984570,0.00000010
-0.70000000,2.49993640,0.00000004
-0.70000000,2.60002460,0.00000004
-0.70000000,2.70016980,0.00000009
-0.70000000,2.80024890,0.00000000
-0.70000000,2.89980920,0.00000000
-0.70000000,2.99989240,0.00000000
-0.70000000,3.09998050,-0.00000002
-0.70000000,3.20012310,0.00000002
-0.70000000,3.30020490,0.00000000
-0.70000000,3.39977430,0.00000002
-0.70000000,3.49985720,0.00000000
-0.70000000,3.59994290,0.00000003
-0.70000000,3.70001950,-0.00000005
-0.70000000,3.80015690,-0.00000001
-0.70000000,3.90025050,0.00000001
-0.70000000,3.99980170,-0.00000003
-0.70000000,4.09987560,0.00000004
-0.70000000,4.19996260,-0.00000003
-0.70000000,4.29991340,0.00000003
-0.70000000,4.40001690,0.00000005
-0.70000000,4.50009860,0.00000001
-0.70000000,4.59966150,0.00000004
-0.70000000,4.69974600,-0.00000005
-0.70000000,4.79987700,-0.00000002
-0.70000000,4.89996650,0.00000001
-0.70000000,5.00005090,-0.00000002
-0.60000000,-0.00017465,0.00000001
-0.60000000,0.09992832,-0.00000002
-0.60000000,0.20000917,0.00000002
-0.60000000,0.30009103,0.00000002
-0.60000000,0.40017791,-0.00000001
-0.60000000,0.49973823,0.00000000
-0.60000000,0.59988278,0.00000011
-0.60000000,0.69997338,-0.00000002
-0.60000000,0.80004430,-0.00000012
-0.60000000,0.90012117,-0.00000001
-0.60000000,1.00020870,0.00000002
-0.60000000,1.09985010,-0.00000002
-0.60000000,1.19993540,0.00000003
-0.60000000,1.30001380,-0.00000001
-0.60000000,1.40008380,-0.00000006
-0.60000000,1.50017700,-0.00000005
-0.60000000,1.60030530,-0.00000003
-0.60000000,1.69987470,0.00000004
-0.60000000,1.79995900,-0.00000005
-0.60000000,1.90003410,0.00000010
-0.60000000,2.00011580,0.00000001
-0.60000000,2.10019600,-0.00000003
-0.60000000,2.20021390,-0.00000004
-0.60000000,2.29978490,-0.00000004
