Vgs,	Vds,	Ids
-5.00000000,-4.98650260,-0.00228328
-5.00000000,-4.88644220,-0.00228045
-5.00000000,-4.78636760,-0.00227768
-5.00000000,-4.68677920,-0.00227481
-5.00000000,-4.58671220,-0.00227179
-5.00000000,-4.48665170,-0.00226859
-5.00000000,-4.38659780,-0.00226523
-5.00000000,-4.28651280,-0.00226172
-5.00000000,-4.18658700,-0.00225786
-5.00000000,-4.08705280,-0.00225391
-5.00000000,-3.98699630,-0.00224956
-5.00000000,-3.88696690,-0.00224480
-5.00000000,-3.78690510,-0.00223958
-5.00000000,-3.68680440,-0.00223382
-5.00000000,-3.58676860,-0.00222737
-5.00000000,-3.48724490,-0.00222005
-5.00000000,-3.38722330,-0.00221186
-5.00000000,-3.28718480,-0.00220225
-5.00000000,-3.18717470,-0.00219142
-5.00000000,-3.08710260,-0.00217869
-5.00000000,-2.98710440,-0.00216413
-5.00000000,-2.88764540,-0.00214719
-5.00000000,-2.78768350,-0.00212773
-5.00000000,-2.68773160,-0.00210544
-5.00000000,-2.58773340,-0.00208002
-5.00000000,-2.48782440,-0.00205128
-5.00000000,-2.38792470,-0.00201902
-5.00000000,-2.28858260,-0.00198323
-5.00000000,-2.18873710,-0.00194350
-5.00000000,-2.08897610,-0.00189988
-5.00000000,-1.98918130,-0.00185212
-5.00000000,-1.88940050,-0.00180038
-5.00000000,-1.78966030,-0.00174446
-5.00000000,-1.69044760,-0.00168454
-5.00000000,-1.59073990,-0.00162013
-5.00000000,-1.49101620,-0.00155138
-5.00000000,-1.39135370,-0.00147840
-5.00000000,-1.29173650,-0.00140105
-5.00000000,-1.19213480,-0.00131935
-5.00000000,-1.09307280,-0.00123388
-5.00000000,-0.99344563,-0.00114344
-5.00000000,-0.89391901,-0.00104876
-5.00000000,-0.79441918,-0.00094968
-5.00000000,-0.69495607,-0.00084619
-5.00000000,-0.59549960,-0.00073842
-5.00000000,-0.49653591,-0.00062687
-5.00000000,-0.39713457,-0.00051028
-5.00000000,-0.29776298,-0.00038930
-5.00000000,-0.19841563,-0.00026396
-5.00000000,-0.09910209,-0.00013409
-5.00000000,-0.00015789,-0.00000018
-4.90000000,-4.98702650,-0.00219461
-4.90000000,-4.88696090,-0.00219147
-4.90000000,-4.78688760,-0.00218880
-4.90000000,-4.68729800,-0.00218604
-4.90000000,-4.58722830,-0.00218313
-4.90000000,-4.48716520,-0.00218011
-4.90000000,-4.38711520,-0.00217697
-4.90000000,-4.28703410,-0.00217364
-4.90000000,-4.18710050,-0.00217014
-4.90000000,-4.08755860,-0.00216646
-4.90000000,-3.98750470,-0.00216254
-4.90000000,-3.88747400,-0.00215813
-4.90000000,-3.78741210,-0.00215346
-4.90000000,-3.68730110,-0.00214823
-4.90000000,-3.58726270,-0.00214241
-4.90000000,-3.48773640,-0.00213600
-4.90000000,-3.38770700,-0.00212864
-4.90000000,-3.28766470,-0.00212029
-4.90000000,-3.18764030,-0.00211061
-4.90000000,-3.08756040,-0.00209954
-4.90000000,-2.98755310,-0.00208656
-4.90000000,-2.88809150,-0.00207163
-4.90000000,-2.78811400,-0.00205425
-4.90000000,-2.68814530,-0.00203412
-4.90000000,-2.58813800,-0.00201110
-4.90000000,-2.48821210,-0.00198487
-4.90000000,-2.38830080,-0.00195521
-4.90000000,-2.28894050,-0.00192214
-4.90000000,-2.18908340,-0.00188513
-4.90000000,-2.08930160,-0.00184432
-4.90000000,-1.98949130,-0.00179950
-4.90000000,-1.88969620,-0.00175046
-4.90000000,-1.78993390,-0.00169732
-4.90000000,-1.69070960,-0.00164026
-4.90000000,-1.59098110,-0.00157875
-4.90000000,-1.49124310,-0.00151268
-4.90000000,-1.39156380,-0.00144252
-4.90000000,-1.29193230,-0.00136796
-4.90000000,-1.19231500,-0.00128907
-4.90000000,-1.09322840,-0.00120624
-4.90000000,-0.99358971,-0.00111850
-4.90000000,-0.89404712,-0.00102644
-4.90000000,-0.79453512,-0.00092998
-4.90000000,-0.69505787,-0.00082910
