Vgs,Vds,Ids
-1.00000000,-0.00017948,0.00000001
-1.00000000,0.09992985,0.00000001
-1.00000000,0.20000550,0.00000000
-1.00000000,0.30008880,-0.00000001
-1.00000000,0.40017333,-0.00000003
-1.00000000,0.49974294,0.00000002
-1.00000000,0.59988488,-0.00000008
-1.00000000,0.69997259,0.00000002
-1.00000000,0.80004142,0.00000002
-1.00000000,0.90012536,-0.00000002
-1.00000000,1.00020760,-0.00000005
-1.00000000,1.09985220,-0.00000003
-1.00000000,1.19993580,-0.00000000
-1.00000000,1.30002020,-0.00000006
-1.00000000,1.40009160,-0.00000002
-1.00000000,1.50018220,-0.00000007
-1.00000000,1.60030790,-0.00000004
-1.00000000,1.69987990,0.00000002
-1.00000000,1.79996420,-0.00000002
-1.00000000,1.90003540,-0.00000008
-1.00000000,2.00012750,-0.00000002
-1.00000000,2.10019990,-0.00000003
-1.00000000,2.20022300,-0.00000003
-1.00000000,2.29979790,0.00000000
-1.00000000,2.39985480,0.00000005
-1.00000000,2.49994680,0.00000000
-1.00000000,2.60003370,0.00000003
-1.00000000,2.70017370,-0.00000006
-1.00000000,2.80026190,0.00000002
-1.00000000,2.89982090,-0.00000005
-1.00000000,2.99989880,0.00000001
-1.00000000,3.09998570,0.00000000
-1.00000000,3.20013340,0.00000004
-1.00000000,3.30021530,-0.00000006
-1.00000000,3.39978200,-0.00000001
-1.00000000,3.49986370,0.00000000
-1.00000000,3.59994940,0.00000004
-1.00000000,3.70002850,0.00000001
-1.00000000,3.80016850,0.00000003
-1.00000000,3.90025690,-0.00000006
-1.00000000,3.99980950,-0.00000004
-1.00000000,4.09988860,0.00000001
-1.00000000,4.19997040,-0.00000002
-1.00000000,4.29992770,0.00000003
-1.00000000,4.40002590,0.00000004
-1.00000000,4.50010640,0.00000000
-1.00000000,4.59967060,-0.00000004
-1.00000000,4.69975770,0.00000001
-1.00000000,4.79988870,-0.00000005
-1.00000000,4.89997950,-0.00000003
-1.00000000,5.00006250,0.00000000
-0.90000000,-0.00017412,-0.00000005
-0.90000000,0.09992857,-0.00000011
-0.90000000,0.20000747,0.00000002
-0.90000000,0.30009103,-0.00000002
-0.90000000,0.40017438,0.00000000
-0.90000000,0.49974111,-0.00000003
-0.90000000,0.59988291,0.00000002
-0.90000000,0.69997783,-0.00000000
-0.90000000,0.80004377,0.00000008
-0.90000000,0.90012628,0.00000000
-0.90000000,1.00021270,0.00000004
-0.90000000,1.09985350,0.00000000
-0.90000000,1.19993640,-0.00000002
-0.90000000,1.30002280,0.00000001
-0.90000000,1.40009160,-0.00000002
-0.90000000,1.50018220,0.00000005
-0.90000000,1.60031180,0.00000003
-0.90000000,1.69988120,-0.00000003
-0.90000000,1.79996420,0.00000005
-0.90000000,1.90003800,0.00000000
-0.90000000,2.00012230,0.00000000
-0.90000000,2.10019860,-0.00000000
-0.90000000,2.20022430,0.00000001
-0.90000000,2.29979660,-0.00000000
-0.90000000,2.39985610,0.00000001
-0.90000000,2.49994420,-0.00000002
-0.90000000,2.60002980,0.00000002
