Vgs,Vds,Ids
-1.00000000,-0.00017026,0.00000001
-1.00000000,0.09993524,-0.00000000
-1.00000000,0.20001479,0.00000000
-1.00000000,0.30009940,0.00000005
-1.00000000,0.40018589,-0.00000000
-1.00000000,0.49974779,-0.00000005
-1.00000000,0.59989312,0.00000005
-1.00000000,0.69998215,0.00000002
-1.00000000,0.80005306,0.00000000
-1.00000000,0.90013086,-0.00000003
-1.00000000,1.00021690,-0.00000005
-1.00000000,1.09986300,0.00000005
-1.00000000,1.19994630,0.00000002
-1.00000000,1.30002540,0.00000003
-1.00000000,1.40010330,-0.00000004
-1.00000000,1.50019130,0.00000000
-1.00000000,1.60031700,0.00000001
-1.00000000,1.69988770,-0.00000001
-1.00000000,1.79997200,0.00000005
-1.00000000,1.90004830,-0.00000000
-1.00000000,2.00013010,0.00000002
-1.00000000,2.10020770,-0.00000004
-1.00000000,2.20022430,0.00000004
-1.00000000,2.29980180,-0.00000002
-1.00000000,2.39986380,0.00000000
-1.00000000,2.49995070,0.00000000
-1.00000000,2.60003890,-0.00000005
-1.00000000,2.70018410,-0.00000003
-1.00000000,2.80026580,-0.00000001
-1.00000000,2.89982480,0.00000003
-1.00000000,2.99990920,0.00000006
-1.00000000,3.09999210,0.00000002
-1.00000000,3.20014510,0.00000003
-1.00000000,3.30022170,-0.00000005
-1.00000000,3.39978850,0.00000010
-1.00000000,3.49987150,-0.00000001
-1.00000000,3.59995720,0.00000001
-1.00000000,3.70003500,-0.00000001
-1.00000000,3.80017110,-0.00000002
-1.00000000,3.90026470,-0.00000002
-1.00000000,3.99981460,-0.00000001
-1.00000000,4.09988990,0.00000002
-1.00000000,4.19997430,0.00000002
-1.00000000,4.29993030,-0.00000007
-1.00000000,4.40003370,-0.00000003
-1.00000000,4.50011420,-0.00000006
-1.00000000,4.59967970,0.00000002
-1.00000000,4.69976810,0.00000000
-1.00000000,4.79989650,-0.00000001
-1.00000000,4.89998340,-0.00000001
-1.00000000,5.00006900,-0.00000000
-0.90000000,-0.00016894,-0.00000001
-0.90000000,0.09993910,-0.00000000
-0.90000000,0.20001545,-0.00000003
-0.90000000,0.30009757,0.00000002
-0.90000000,0.40018720,0.00000002
-0.90000000,0.49975067,0.00000001
-0.90000000,0.59988933,-0.00000004
-0.90000000,0.69998293,0.00000005
-0.90000000,0.80005319,0.00000002
-0.90000000,0.90013517,0.00000001
-0.90000000,1.00021630,-0.00000000
-0.90000000,1.09986410,0.00000000
-0.90000000,1.19994320,0.00000007
-0.90000000,1.30002930,-0.00000002
-0.90000000,1.40010070,-0.00000002
-0.90000000,1.50019390,-0.00000001
-0.90000000,1.60031960,-0.00000001
-0.90000000,1.69989030,-0.00000001
-0.90000000,1.79997460,0.00000003
-0.90000000,1.90004190,-0.00000001
-0.90000000,2.00013010,0.00000003
-0.90000000,2.10021030,0.00000000
-0.90000000,2.20022950,-0.00000001
-0.90000000,2.29980050,-0.00000002
-0.90000000,2.39986250,-0.00000003
-0.90000000,2.49995200,-0.00000001
-0.90000000,2.60004150,0.00000003
-0.90000000,2.70018410,-0.00000002
-0.90000000,2.80026970,0.00000004
-0.90000000,2.89982740,-0.00000002
-0.90000000,2.99990920,0.00000003
-0.90000000,3.09999080,0.00000003
-0.90000000,3.20014120,-0.00000004
-0.90000000,3.30021910,0.00000006
-0.90000000,3.39978850,0.00000007
-0.90000000,3.49987150,-0.00000005
-0.90000000,3.59995590,-0.00000002
-0.90000000,3.70003240,-0.00000004
-0.90000000,3.80017370,0.00000006
-0.90000000,3.90026080,0.00000005
-0.90000000,3.99981850,-0.00000003
-0.90000000,4.09989120,-0.00000003
-0.90000000,4.19997560,-0.00000001
-0.90000000,4.29993030,-0.00000000
-0.90000000,4.40003890,0.00000006
-0.90000000,4.50010900,0.00000007
-0.90000000,4.59967840,0.00000004
-0.90000000,4.69976680,0.00000004
-0.90000000,4.79989520,0.00000000
-0.90000000,4.89998210,-0.00000005
-0.90000000,5.00007290,-0.00000000
-0.80000000,-0.00016751,0.00000002
-0.80000000,0.09994038,-0.00000003
-0.80000000,0.20001479,-0.00000002
-0.80000000,0.30009757,0.00000003
-0.80000000,0.40018445,0.00000003
-0.80000000,0.49974661,0.00000000
-0.80000000,0.59988919,-0.00000001
-0.80000000,0.69997992,0.00000001
-0.80000000,0.80005189,0.00000002
-0.80000000,0.90013269,0.00000000
-0.80000000,1.00022020,-0.00000002
-0.80000000,1.09986030,0.00000002
-0.80000000,1.19994620,0.00000002
-0.80000000,1.30002410,-0.00000000
-0.80000000,1.40009550,0.00000000
-0.80000000,1.50018740,0.00000006
-0.80000000,1.60031830,-0.00000000
-0.80000000,1.69988510,0.00000005
-0.80000000,1.79997460,0.00000000
-0.80000000,1.90004580,0.00000000
-0.80000000,2.00013010,0.00000001
-0.80000000,2.10020640,0.00000002
-0.80000000,2.20023080,0.00000006
-0.80000000,2.29980830,0.00000001
-0.80000000,2.39985870,-0.00000001
-0.80000000,2.49994680,0.00000001
-0.80000000,2.60003760,-0.00000002
-0.80000000,2.70018280,0.00000002
-0.80000000,2.80026840,0.00000001
-0.80000000,2.89982090,-0.00000001
-0.80000000,2.99990400,-0.00000001
-0.80000000,3.09999210,0.00000003
-0.80000000,3.20013600,0.00000005
-0.80000000,3.30021660,0.00000000
-0.80000000,3.39979110,-0.00000003
-0.80000000,3.49987020,0.00000002
-0.80000000,3.59995850,0.00000004
-0.80000000,3.70003240,0.00000001
-0.80000000,3.80016980,0.00000003
-0.80000000,3.90026600,0.00000001
-0.80000000,3.99981330,-0.00000002
-0.80000000,4.09988990,0.00000001
-0.80000000,4.19997820,-0.00000001
-0.80000000,4.29993030,0.00000008
-0.80000000,4.40002980,0.00000001
-0.80000000,4.50011030,-0.00000000
-0.80000000,4.59967320,0.00000002
-0.80000000,4.69976420,-0.00000001
-0.80000000,4.79989520,0.00000000
-0.80000000,4.89997820,-0.00000001
-0.80000000,5.00006900,0.00000003
-0.70000000,-0.00016709,-0.00000004
-0.70000000,0.09993926,-0.00000003
-0.70000000,0.20001558,-0.00000001
-0.70000000,0.30009979,-0.00000002
-0.70000000,0.40018537,0.00000002
-0.70000000,0.49974949,-0.00000002
-0.70000000,0.59989155,0.00000006
-0.70000000,0.69998306,0.00000001
-0.70000000,0.80005149,-0.00000003
-0.70000000,0.90013125,0.00000002
-0.70000000,1.00021720,-0.00000001
-0.70000000,1.09985840,-0.00000003
-0.70000000,1.19994450,-0.00000000
-0.70000000,1.30002670,0.00000008
-0.70000000,1.40009680,0.00000001
-0.70000000,1.50018480,0.00000005
-0.70000000,1.60031180,-0.00000000
-0.70000000,1.69988250,0.00000004
-0.70000000,1.79997720,0.00000000
-0.70000000,1.90004450,0.00000001
-0.70000000,2.00012750,-0.00000005
-0.70000000,2.10020380,0.00000005
-0.70000000,2.20022690,-0.00000002
-0.70000000,2.29979920,-0.00000001
-0.70000000,2.39985740,0.00000002
-0.70000000,2.49994940,0.00000006
-0.70000000,2.60003370,0.00000007
-0.70000000,2.70017890,0.00000005
-0.70000000,2.80026190,0.00000001
-0.70000000,2.89982220,-0.00000003
-0.70000000,2.99990660,0.00000005
-0.70000000,3.09998830,-0.00000001
-0.70000000,3.20013990,0.00000004
-0.70000000,3.30022040,0.00000006
-0.70000000,3.39978460,-0.00000002
-0.70000000,3.49986890,-0.00000002
-0.70000000,3.59995070,-0.00000004
-0.70000000,3.70003500,-0.00000003
-0.70000000,3.80017110,0.00000000
-0.70000000,3.90026470,0.00000000
-0.70000000,3.99981590,-0.00000001
-0.70000000,4.09989120,0.00000001
-0.70000000,4.19997690,-0.00000002
-0.70000000,4.29992900,-0.00000004
-0.70000000,4.40003370,0.00000001
-0.70000000,4.50010640,-0.00000001
-0.70000000,4.59967450,0.00000001
-0.70000000,4.69976420,0.00000002
-0.70000000,4.79989000,-0.00000001
-0.70000000,4.89998340,-0.00000002
-0.70000000,5.00007160,0.00000000
-0.60000000,-0.00016800,-0.00000002
-0.60000000,0.09994346,0.00000001
-0.60000000,0.20001754,0.00000000
-0.60000000,0.30009679,0.00000002
-0.60000000,0.40018419,-0.00000002
-0.60000000,0.49974844,0.00000002
-0.60000000,0.59988933,0.00000002
-0.60000000,0.69998372,-0.00000011
-0.60000000,0.80005123,-0.00000004
-0.60000000,0.90013439,0.00000001
-0.60000000,1.00021550,0.00000002
-0.60000000,1.09986300,0.00000001
-0.60000000,1.19994370,0.00000001
-0.60000000,1.30003060,-0.00000003
-0.60000000,1.40009680,-0.00000003
-0.60000000,1.50018740,0.00000004
-0.60000000,1.60031700,-0.00000002
-0.60000000,1.69988640,0.00000003
-0.60000000,1.79997460,0.00000000
-0.60000000,1.90004700,0.00000002
-0.60000000,2.00013270,0.00000004
-0.60000000,2.10020770,-0.00000001
-0.60000000,2.20023210,0.00000000
-0.60000000,2.29980310,-0.00000001
-0.60000000,2.39986250,0.00000003
-0.60000000,2.49995200,-0.00000005
-0.60000000,2.60003760,-0.00000007
-0.60000000,2.70018540,-0.00000004
-0.60000000,2.80026580,0.00000002
-0.60000000,2.89982610,0.00000000
-0.60000000,2.99990790,-0.00000000
-0.60000000,3.09999340,-0.00000002
-0.60000000,3.20013860,-0.00000000
-0.60000000,3.30022170,-0.00000002
-0.60000000,3.39978980,0.00000003
-0.60000000,3.49987280,-0.00000005
-0.60000000,3.59995460,0.00000002
-0.60000000,3.70003500,0.00000002
-0.60000000,3.80017630,0.00000007
-0.60000000,3.90026340,0.00000006
-0.60000000,3.99981590,-0.00000000
-0.60000000,4.09988860,-0.00000001
-0.60000000,4.19998080,-0.00000005
-0.60000000,4.29993030,-0.00000005
-0.60000000,4.40003630,-0.00000001
-0.60000000,4.50010770,-0.00000006
-0.60000000,4.59967060,0.00000001
-0.60000000,4.69976420,-0.00000004
-0.60000000,4.79989390,0.00000003
