Vgs,	Vds,	Ids
-1.00000000,-0.00015986,0.00000005
-1.00000000,0.09994904,-0.00000005
-1.00000000,0.20002814,-0.00000001
-1.00000000,0.30011053,0.00000001
-1.00000000,0.40019518,-0.00000001
-1.00000000,0.49975721,-0.00000003
-1.00000000,0.59989927,-0.00000002
-1.00000000,0.69999275,0.00000001
-1.00000000,0.80005948,-0.00000000
-1.00000000,0.90014002,0.00000003
-1.00000000,1.00022690,-0.00000000
-1.00000000,1.09986650,0.00000002
-1.00000000,1.19995330,0.00000002
-1.00000000,1.30003320,0.00000003
-1.00000000,1.40010720,-0.00000000
-1.00000000,1.50020170,0.00000005
-1.00000000,1.60032870,0.00000007
-1.00000000,1.69989680,0.00000004
-1.00000000,1.79998760,0.00000001
-1.00000000,1.90005610,-0.00000004
-1.00000000,2.00014560,0.00000007
-1.00000000,2.10022330,0.00000003
-1.00000000,2.20023730,0.00000004
-1.00000000,2.29981080,0.00000002
-1.00000000,2.39987420,0.00000002
-1.00000000,2.49996490,-0.00000002
-1.00000000,2.60004670,-0.00000001
-1.00000000,2.70019180,0.00000004
-1.00000000,2.80027620,0.00000004
-1.00000000,2.89983780,-0.00000000
-1.00000000,2.99991830,0.00000000
-1.00000000,3.10000250,0.00000003
-1.00000000,3.20015030,-0.00000004
-1.00000000,3.30022430,0.00000001
-1.00000000,3.39979760,0.00000000
-1.00000000,3.49987790,-0.00000004
-1.00000000,3.59996630,0.00000006
-1.00000000,3.70004410,0.00000004
-1.00000000,3.80018410,-0.00000002
-1.00000000,3.90027380,-0.00000006
-1.00000000,3.99982370,0.00000003
-1.00000000,4.09989770,0.00000003
-1.00000000,4.19998600,0.00000000
-1.00000000,4.29993930,0.00000004
-1.00000000,4.40004670,-0.00000001
-1.00000000,4.50012060,-0.00000003
-1.00000000,4.59968090,0.00000009
-1.00000000,4.69977330,0.00000004
-1.00000000,4.79990690,0.00000008
-1.00000000,4.89998990,0.00000005
-1.00000000,5.00007550,0.00000004
-0.90000000,-0.00015903,0.00000005
-0.90000000,0.09995198,0.00000001
-0.90000000,0.20002932,0.00000000
-0.90000000,0.30011000,0.00000000
-0.90000000,0.40019623,0.00000004
-0.90000000,0.49976048,0.00000003
-0.90000000,0.59989862,0.00000000
-0.90000000,0.69999497,0.00000003
-0.90000000,0.80006131,0.00000005
-0.90000000,0.90014093,-0.00000001
-0.90000000,1.00022910,0.00000005
-0.90000000,1.09987110,-0.00000001
-0.90000000,1.19995460,-0.00000001
-0.90000000,1.30003710,0.00000001
-0.90000000,1.40010590,-0.00000001
-0.90000000,1.50020420,0.00000000
-0.90000000,1.60032740,0.00000004
-0.90000000,1.69989930,0.00000004
-0.90000000,1.79998500,0.00000001
-0.90000000,1.90005090,0.00000011
-0.90000000,2.00013920,0.00000005
-0.90000000,2.10021940,0.00000003
-0.90000000,2.20023730,0.00000005
-0.90000000,2.29981340,-0.00000000
-0.90000000,2.39987550,0.00000006
-0.90000000,2.49996360,-0.00000003
-0.90000000,2.60004410,0.00000007
-0.90000000,2.70019050,-0.00000003
-0.90000000,2.80027360,0.00000009
-0.90000000,2.89983260,-0.00000005
-0.90000000,2.99991570,-0.00000001
-0.90000000,3.10000640,0.00000000
-0.90000000,3.20014900,0.00000000
-0.90000000,3.30023080,-0.00000004
-0.90000000,3.39980150,0.00000006
-0.90000000,3.49988310,0.00000001
-0.90000000,3.59996760,0.00000002
-0.90000000,3.70004540,0.00000001
-0.90000000,3.80018410,-0.00000001
-0.90000000,3.90026860,0.00000007
-0.90000000,3.99982110,0.00000001
-0.90000000,4.09989900,-0.00000001
-0.90000000,4.19998860,0.00000003
-0.90000000,4.29994190,0.00000005
-0.90000000,4.40004410,-0.00000001
-0.90000000,4.50012060,0.00000001
-0.90000000,4.59968350,-0.00000000
-0.90000000,4.69977330,-0.00000001
-0.90000000,4.79990300,-0.00000003
-0.90000000,4.89999250,0.00000002
-0.90000000,5.00007810,0.00000003
-0.80000000,-0.00015811,0.00000005
-0.80000000,0.09995057,-0.00000002
-0.80000000,0.20002906,0.00000003
-0.80000000,0.30011013,0.00000002
-0.80000000,0.40019832,0.00000001
-0.80000000,0.49976100,0.00000007
-0.80000000,0.59990267,-0.00000000
-0.80000000,0.69999301,0.00000000
-0.80000000,0.80006209,0.00000002
-0.80000000,0.90014185,0.00000001
-0.80000000,1.00022970,0.00000000
-0.80000000,1.09987220,0.00000000
-0.80000000,1.19995620,0.00000000
-0.80000000,1.30003970,0.00000001
-0.80000000,1.40010850,0.00000001
-0.80000000,1.50020170,-0.00000000
-0.80000000,1.60032740,0.00000001
-0.80000000,1.69989810,0.00000004
-0.80000000,1.79998240,0.00000005
-0.80000000,1.90005610,0.00000005
-0.80000000,2.00014300,0.00000003
-0.80000000,2.10022200,0.00000001
-0.80000000,2.20023860,0.00000006
-0.80000000,2.29981470,0.00000001
-0.80000000,2.39986900,0.00000001
-0.80000000,2.49996230,0.00000002
-0.80000000,2.60004930,-0.00000001
-0.80000000,2.70018790,0.00000006
-0.80000000,2.80027360,0.00000003
-0.80000000,2.89983260,0.00000001
-0.80000000,2.99991570,0.00000006
-0.80000000,3.10000120,0.00000004
-0.80000000,3.20015290,0.00000003
-0.80000000,3.30023210,0.00000001
