Vgs,	Vds,	Ids
-1.00000000,-0.00016451,0.00000001
-1.00000000,0.09994281,0.00000000
-1.00000000,0.20002108,0.00000003
-1.00000000,0.30010437,-0.00000004
-1.00000000,0.40019374,0.00000003
-1.00000000,0.49975381,-0.00000005
-1.00000000,0.59989482,0.00000004
-1.00000000,0.69998830,0.00000006
-1.00000000,0.80005790,0.00000002
-1.00000000,0.90013544,0.00000001
-1.00000000,1.00022710,0.00000006
-1.00000000,1.09986420,-0.00000005
-1.00000000,1.19995120,0.00000001
-1.00000000,1.30003580,0.00000002
-1.00000000,1.40010460,-0.00000004
-1.00000000,1.50019260,-0.00000002
-1.00000000,1.60032480,-0.00000006
-1.00000000,1.69989160,0.00000001
-1.00000000,1.79997850,-0.00000002
-1.00000000,1.90005220,-0.00000002
-1.00000000,2.00013660,-0.00000003
-1.00000000,2.10021680,-0.00000002
-1.00000000,2.20023730,0.00000000
-1.00000000,2.29980830,-0.00000001
-1.00000000,2.39986770,0.00000006
-1.00000000,2.49995590,-0.00000002
-1.00000000,2.60004020,0.00000002
-1.00000000,2.70018410,0.00000002
-1.00000000,2.80026840,0.00000005
-1.00000000,2.89983260,-0.00000002
-1.00000000,2.99990790,0.00000001
-1.00000000,3.09999990,-0.00000001
-1.00000000,3.20014640,0.00000000
-1.00000000,3.30022300,0.00000001
-1.00000000,3.39979630,0.00000009
-1.00000000,3.49987660,-0.00000001
-1.00000000,3.59995980,0.00000004
-1.00000000,3.70003760,0.00000006
-1.00000000,3.80017760,-0.00000002
-1.00000000,3.90027380,0.00000002
-1.00000000,3.99982240,-0.00000002
-1.00000000,4.09989380,0.00000003
-1.00000000,4.19998080,0.00000004
-1.00000000,4.29993410,-0.00000000
-1.00000000,4.40004280,-0.00000001
-1.00000000,4.50011680,0.00000007
-1.00000000,4.59967970,0.00000000
-1.00000000,4.69976940,-0.00000000
-1.00000000,4.79990170,-0.00000002
-1.00000000,4.89999120,0.00000003
-1.00000000,5.00007160,0.00000002
-0.90000000,-0.00016019,0.00000001
-0.90000000,0.09994916,-0.00000003
-0.90000000,0.20002422,0.00000001
-0.90000000,0.30010752,0.00000001
-0.90000000,0.40019060,-0.00000003
-0.90000000,0.49975695,0.00000002
-0.90000000,0.59989914,0.00000008
-0.90000000,0.69999144,-0.00000000
-0.90000000,0.80005987,0.00000003
-0.90000000,0.90013609,0.00000004
-0.90000000,1.00022590,0.00000003
-0.90000000,1.09986730,-0.00000001
-0.90000000,1.19995340,0.00000004
-0.90000000,1.30003320,0.00000000
-0.90000000,1.40010590,0.00000002
-0.90000000,1.50019520,0.00000008
-0.90000000,1.60032350,0.00000003
-0.90000000,1.69989160,0.00000004
-0.90000000,1.79997850,-0.00000001
-0.90000000,1.90004830,0.00000004
-0.90000000,2.00013920,0.00000001
-0.90000000,2.10021550,0.00000000
-0.90000000,2.20023730,0.00000003
-0.90000000,2.29980830,0.00000000
-0.90000000,2.39987160,0.00000001
-0.90000000,2.49995710,0.00000003
-0.90000000,2.60004540,-0.00000000
-0.90000000,2.70019570,-0.00000001
-0.90000000,2.80027620,-0.00000002
-0.90000000,2.89983000,0.00000003
-0.90000000,2.99991440,0.00000000
-0.90000000,3.09999990,0.00000000
-0.90000000,3.20014770,0.00000000
-0.90000000,3.30022690,0.00000004
-0.90000000,3.39979370,0.00000000
-0.90000000,3.49987790,-0.00000002
-0.90000000,3.59996500,-0.00000003
-0.90000000,3.70004020,0.00000006
-0.90000000,3.80017760,-0.00000001
-0.90000000,3.90027120,0.00000001
-0.90000000,3.99982110,-0.00000001
-0.90000000,4.09989510,0.00000001
-0.90000000,4.19998340,0.00000002
-0.90000000,4.29993670,-0.00000003
-0.90000000,4.40004280,0.00000000
-0.90000000,4.50012060,0.00000006
-0.90000000,4.59967840,-0.00000001
-0.90000000,4.69977070,-0.00000001
-0.90000000,4.79990170,0.00000005
-0.90000000,4.89999120,0.00000002
-0.90000000,5.00007420,0.00000006
-0.80000000,-0.00016062,0.00000001
-0.80000000,0.09994700,-0.00000001
-0.80000000,0.20002500,0.00000000
-0.80000000,0.30010555,0.00000000
-0.80000000,0.40019100,-0.00000000
-0.80000000,0.49975642,-0.00000001
-0.80000000,0.59989953,0.00000001
-0.80000000,0.69999144,0.00000003
-0.80000000,0.80006144,0.00000006
-0.80000000,0.90014093,-0.00000000
