Vgs,	Vds,	Ids
-5.00000000,-4.98332400,-0.00283042
-5.00000000,-4.88326620,-0.00282695
-5.00000000,-4.78320070,-0.00282347
-5.00000000,-4.68361490,-0.00281973
-5.00000000,-4.58355310,-0.00281589
-5.00000000,-4.48349650,-0.00281185
-5.00000000,-4.38344900,-0.00280764
-5.00000000,-4.28337830,-0.00280310
-5.00000000,-4.18345120,-0.00279833
-5.00000000,-4.08391830,-0.00279335
-5.00000000,-3.98387350,-0.00278789
-5.00000000,-3.88384540,-0.00278197
-5.00000000,-3.78379520,-0.00277553
-5.00000000,-3.68370230,-0.00276842
-5.00000000,-3.58367310,-0.00276057
-5.00000000,-3.48415970,-0.00275183
-5.00000000,-3.38414850,-0.00274182
-5.00000000,-3.28411780,-0.00273046
-5.00000000,-3.18411940,-0.00271750
-5.00000000,-3.08406280,-0.00270263
-5.00000000,-2.98407880,-0.00268532
-5.00000000,-2.88463800,-0.00266566
-5.00000000,-2.78469300,-0.00264289
-5.00000000,-2.68476190,-0.00261667
-5.00000000,-2.58479860,-0.00258672
-5.00000000,-2.48491160,-0.00255287
-5.00000000,-2.38504830,-0.00251465
-5.00000000,-2.28574250,-0.00247220
-5.00000000,-2.18594500,-0.00242476
-5.00000000,-2.08623590,-0.00237242
-5.00000000,-1.98649680,-0.00231498
-5.00000000,-1.88677960,-0.00225224
-5.00000000,-1.78710290,-0.00218425
-5.00000000,-1.68797840,-0.00211113
-5.00000000,-1.58834980,-0.00203221
-5.00000000,-1.48871560,-0.00194772
-5.00000000,-1.38915300,-0.00185769
-5.00000000,-1.28964340,-0.00176195
-5.00000000,-1.19015580,-0.00166067
-5.00000000,-1.09121570,-0.00155418
-5.00000000,-0.99171636,-0.00144143
-5.00000000,-0.89232452,-0.00132308
-5.00000000,-0.79297060,-0.00119897
-5.00000000,-0.69366006,-0.00106917
-5.00000000,-0.59436599,-0.00093367
-5.00000000,-0.49556874,-0.00079299
-5.00000000,-0.39634446,-0.00064602
-5.00000000,-0.29715711,-0.00049327
-5.00000000,-0.19800578,-0.00033457
-5.00000000,-0.09888894,-0.00017004
-5.00000000,-0.00015836,-0.00000025
-4.90000000,-4.98399580,-0.00271682
-4.90000000,-4.88392890,-0.00271300
-4.90000000,-4.78387240,-0.00270961
-4.90000000,-4.68428150,-0.00270605
-4.90000000,-4.58421310,-0.00270233
-4.90000000,-4.48416040,-0.00269858
-4.90000000,-4.38411040,-0.00269452
-4.90000000,-4.28403060,-0.00269033
-4.90000000,-4.18411520,-0.00268590
-4.90000000,-4.08456930,-0.00268117
-4.90000000,-3.98452710,-0.00267620
-4.90000000,-3.88449520,-0.00267080
-4.90000000,-3.78443460,-0.00266502
-4.90000000,-3.68434040,-0.00265864
-4.90000000,-3.58430980,-0.00265151
-4.90000000,-3.48478730,-0.00264371
