Vgs,Vds,Ids
-5.00000000,-4.99456250,-0.00090832
-5.00000000,-4.89448520,-0.00090792
-5.00000000,-4.79440280,-0.00090750
-5.00000000,-4.69479760,-0.00090707
-5.00000000,-4.59471500,-0.00090657
-5.00000000,-4.49463770,-0.00090608
-5.00000000,-4.39456560,-0.00090559
-5.00000000,-4.29446600,-0.00090495
-5.00000000,-4.19452240,-0.00090438
-5.00000000,-4.09496100,-0.00090368
-5.00000000,-3.99488890,-0.00090288
-5.00000000,-3.89483620,-0.00090197
-5.00000000,-3.79475230,-0.00090094
-5.00000000,-3.69461920,-0.00089967
-5.00000000,-3.59455360,-0.00089816
-5.00000000,-3.49500260,-0.00089620
-5.00000000,-3.39494210,-0.00089380
-5.00000000,-3.29486870,-0.00089082
-5.00000000,-3.19481190,-0.00088696
-5.00000000,-3.09469690,-0.00088210
-5.00000000,-2.99465070,-0.00087628
-5.00000000,-2.89513210,-0.00086927
-5.00000000,-2.79510010,-0.00086093
-5.00000000,-2.69507830,-0.00085122
-5.00000000,-2.59499700,-0.00084008
-5.00000000,-2.49499070,-0.00082746
-5.00000000,-2.39498340,-0.00081336
-5.00000000,-2.29551940,-0.00079778
-5.00000000,-2.19554820,-0.00078063
-5.00000000,-2.09563660,-0.00076187
-5.00000000,-1.99568500,-0.00074163
-5.00000000,-1.89572530,-0.00071969
-5.00000000,-1.79579950,-0.00069627
-5.00000000,-1.69638460,-0.00067134
-5.00000000,-1.59644990,-0.00064477
-5.00000000,-1.49648630,-0.00061658
-5.00000000,-1.39656840,-0.00058670
-5.00000000,-1.29668910,-0.00055529
-5.00000000,-1.19680080,-0.00052234
-5.00000000,-1.09743930,-0.00048800
-5.00000000,-0.99749464,-0.00045169
-5.00000000,-0.89763561,-0.00041389
-5.00000000,-0.79778424,-0.00037451
-5.00000000,-0.69795858,-0.00033349
-5.00000000,-0.59811879,-0.00029081
-5.00000000,-0.49875694,-0.00024673
-5.00000000,-0.39894417,-0.00020081
-5.00000000,-0.29914339,-0.00015311
-5.00000000,-0.19935101,-0.00010385
-5.00000000,-0.09957595,-0.00005274
-5.00000000,-0.00018272,-0.00000009
-4.90000000,-4.99477390,-0.00087228
-4.90000000,-4.89469920,-0.00087176
-4.90000000,-4.79461160,-0.00087136
-4.90000000,-4.69500640,-0.00087087
-4.90000000,-4.59492120,-0.00087050
-4.90000000,-4.49484520,-0.00087005
-4.90000000,-4.39477570,-0.00086954
-4.90000000,-4.29467610,-0.00086906
-4.90000000,-4.19473110,-0.00086841
-4.90000000,-4.09516970,-0.00086778
-4.90000000,-3.99509770,-0.00086711
-4.90000000,-3.89504110,-0.00086630
-4.90000000,-3.79495720,-0.00086543
-4.90000000,-3.69482410,-0.00086439
-4.90000000,-3.59475720,-0.00086307
-4.90000000,-3.49520620,-0.00086158
-4.90000000,-3.39513790,-0.00085965
-4.90000000,-3.29506190,-0.00085710
-4.90000000,-3.19500770,-0.00085392
-4.90000000,-3.09488500,-0.00084994
-4.90000000,-2.99482710,-0.00084496
-4.90000000,-2.89530850,-0.00083899
-4.90000000,-2.79527000,-0.00083169
-4.90000000,-2.69524300,-0.00082298
-4.90000000,-2.59515650,-0.00081302
-4.90000000,-2.49514250,-0.00080152
-4.90000000,-2.39512740,-0.00078852
