Vgs,	Vds,	Ids
-5.00000000,-4.99510850,-0.00081166
-5.00000000,-4.89502990,-0.00081135
-5.00000000,-4.79494620,-0.00081096
-5.00000000,-4.69533970,-0.00081076
-5.00000000,-4.59525580,-0.00081032
-5.00000000,-4.49517710,-0.00080999
-5.00000000,-4.39510770,-0.00080958
-5.00000000,-4.29500940,-0.00080912
-5.00000000,-4.19506310,-0.00080869
-5.00000000,-4.09550300,-0.00080818
-5.00000000,-3.99543100,-0.00080763
-5.00000000,-3.89537310,-0.00080701
-5.00000000,-3.79528530,-0.00080629
-5.00000000,-3.69515090,-0.00080544
-5.00000000,-3.59508400,-0.00080440
-5.00000000,-3.49552910,-0.00080326
-5.00000000,-3.39546210,-0.00080175
-5.00000000,-3.29538350,-0.00079978
-5.00000000,-3.19532280,-0.00079730
-5.00000000,-3.09519620,-0.00079431
-5.00000000,-2.99513700,-0.00079021
-5.00000000,-2.89561190,-0.00078531
-5.00000000,-2.79556830,-0.00077935
-5.00000000,-2.69552830,-0.00077214
-5.00000000,-2.59543020,-0.00076372
-5.00000000,-2.49541090,-0.00075394
-5.00000000,-2.39538800,-0.00074279
-5.00000000,-2.29590970,-0.00073010
-5.00000000,-2.19591910,-0.00071601
-5.00000000,-2.09599330,-0.00070035
-5.00000000,-1.99601830,-0.00068319
-5.00000000,-1.89604430,-0.00066448
-5.00000000,-1.79609780,-0.00064416
-5.00000000,-1.69665820,-0.00062228
-5.00000000,-1.59671060,-0.00059883
-5.00000000,-1.49673660,-0.00057368
-5.00000000,-1.39680180,-0.00054697
-5.00000000,-1.29689530,-0.00051865
-5.00000000,-1.19699280,-0.00048867
-5.00000000,-1.09761170,-0.00045725
-5.00000000,-0.99765350,-0.00042404
-5.00000000,-0.89777105,-0.00038928
-5.00000000,-0.79791104,-0.00035279
-5.00000000,-0.69806169,-0.00031458
-5.00000000,-0.59821209,-0.00027479
-5.00000000,-0.49883153,-0.00023342
-5.00000000,-0.39900358,-0.00019024
-5.00000000,-0.29918539,-0.00014528
-5.00000000,-0.19937784,-0.00009861
-5.00000000,-0.09958587,-0.00005019
-5.00000000,-0.00016238,-0.00000007
-4.90000000,-4.99530820,-0.00077730
-4.90000000,-4.89523350,-0.00077684
-4.90000000,-4.79515370,-0.00077651
-4.90000000,-4.69554200,-0.00077610
-4.90000000,-4.59546330,-0.00077583
-4.90000000,-4.49537950,-0.00077548
-4.90000000,-4.39530870,-0.00077506
-4.90000000,-4.29521300,-0.00077464
-4.90000000,-4.19526410,-0.00077418
-4.90000000,-4.09570400,-0.00077374
-4.90000000,-3.99563070,-0.00077324
-4.90000000,-3.89556890,-0.00077271
-4.90000000,-3.79548760,-0.00077208
-4.90000000,-3.69535190,-0.00077148
-4.90000000,-3.59528630,-0.00077057
-4.90000000,-3.49572490,-0.00076956
-4.90000000,-3.39566190,-0.00076831
-4.90000000,-3.29557540,-0.00076675
-4.90000000,-3.19550830,-0.00076471
-4.90000000,-3.09538160,-0.00076228
-4.90000000,-2.99531860,-0.00075901
-4.90000000,-2.89578830,-0.00075495
-4.90000000,-2.79573950,-0.00074981
-4.90000000,-2.69569300,-0.00074362
-4.90000000,-2.59559620,-0.00073617
-4.90000000,-2.49556390,-0.00072751
-4.90000000,-2.39553330,-0.00071741
-4.90000000,-2.29604980,-0.00070583
-4.90000000,-2.19605010,-0.00069281
-4.90000000,-2.09612170,-0.00067831
-4.90000000,-1.99613890,-0.00066234
-4.90000000,-1.89615580,-0.00064469
-4.90000000,-1.79620030,-0.00062548
-4.90000000,-1.69676070,-0.00060481
-4.90000000,-1.59680260,-0.00058244
-4.90000000,-1.49681960,-0.00055842
-4.90000000,-1.39688220,-0.00053280
-4.90000000,-1.29696930,-0.00050557
-4.90000000,-1.19706280,-0.00047679
-4.90000000,-1.09767660,-0.00044641
-4.90000000,-0.99770937,-0.00041425
-4.90000000,-0.89782653,-0.00038045
-4.90000000,-0.79795645,-0.00034503
-4.90000000,-0.69810801,-0.00030785
-4.90000000,-0.59824480,-0.00026895
-4.90000000,-0.49886254,-0.00022867
-4.90000000,-0.39902805,-0.00018642
-4.90000000,-0.29920659,-0.00014244
-4.90000000,-0.19939275,-0.00009674
-4.90000000,-0.09959295,-0.00004922
-4.90000000,-0.00016304,-0.00000012
-4.80000000,-4.99551310,-0.00074297
-4.80000000,-4.89543320,-0.00074261
-4.80000000,-4.79535210,-0.00074234
-4.80000000,-4.69574170,-0.00074198
-4.80000000,-4.59566170,-0.00074166
-4.80000000,-4.49558820,-0.00074137
-4.80000000,-4.39551490,-0.00074096
-4.80000000,-4.29541140,-0.00074062
-4.80000000,-4.19546780,-0.00074024
-4.80000000,-4.09590770,-0.00073985
-4.80000000,-3.99583040,-0.00073929
-4.80000000,-3.89576860,-0.00073892
-4.80000000,-3.79568470,-0.00073828
-4.80000000,-3.69555550,-0.00073774
-4.80000000,-3.59548470,-0.00073696
-4.80000000,-3.49591820,-0.00073622
-4.80000000,-3.39585380,-0.00073510
-4.80000000,-3.29577510,-0.00073393
-4.80000000,-3.19570930,-0.00073236
-4.80000000,-3.09557490,-0.00073030
-4.80000000,-2.99550400,-0.00072766
-4.80000000,-2.89596990,-0.00072433
-4.80000000,-2.79591460,-0.00072011
-4.80000000,-2.69586420,-0.00071483
-4.80000000,-2.59576220,-0.00070833
-4.80000000,-2.49572080,-0.00070066
-4.80000000,-2.39569020,-0.00069165
-4.80000000,-2.29619370,-0.00068133
-4.80000000,-2.19619400,-0.00066939
-4.80000000,-2.09625260,-0.00065605
-4.80000000,-1.99626730,-0.00064113
-4.80000000,-1.89627380,-0.00062465
-4.80000000,-1.79631570,-0.00060668
-4.80000000,-1.69687220,-0.00058710
-4.80000000,-1.59690510,-0.00056583
-4.80000000,-1.49691420,-0.00054297
-4.80000000,-1.39696650,-0.00051851
-4.80000000,-1.29705480,-0.00049244
-4.80000000,-1.19713280,-0.00046462
-4.80000000,-1.09774010,-0.00043539
-4.80000000,-0.99776669,-0.00040425
-4.80000000,-0.89787665,-0.00037151
-4.80000000,-0.79799819,-0.00033711
-4.80000000,-0.69814256,-0.00030098
-4.80000000,-0.59827568,-0.00026316
-4.80000000,-0.49888871,-0.00022385
-4.80000000,-0.39905055,-0.00018270
-4.80000000,-0.29921496,-0.00013965
-4.80000000,-0.19939930,-0.00009492
-4.80000000,-0.09959847,-0.00004834
-4.80000000,-0.00016499,-0.00000006
-4.70000000,-4.99571280,-0.00070936
-4.70000000,-4.89563170,-0.00070894
-4.70000000,-4.79554660,-0.00070870
-4.70000000,-4.69594400,-0.00070840
-4.70000000,-4.59585620,-0.00070800
-4.70000000,-4.49578150,-0.00070778
-4.70000000,-4.39570420,-0.00070746
-4.70000000,-4.29560850,-0.00070715
-4.70000000,-4.19566490,-0.00070676
-4.70000000,-4.09610220,-0.00070639
-4.70000000,-3.99602620,-0.00070593
-4.70000000,-3.89596580,-0.00070555
-4.70000000,-3.79587920,-0.00070506
-4.70000000,-3.69574740,-0.00070455
-4.70000000,-3.59567800,-0.00070401
-4.70000000,-3.49611920,-0.00070321
-4.70000000,-3.39604830,-0.00070245
-4.70000000,-3.29596060,-0.00070138
-4.70000000,-3.19589470,-0.00070014
-4.70000000,-3.09575640,-0.00069856
-4.70000000,-2.99568820,-0.00069646
-4.70000000,-2.89614750,-0.00069372
-4.70000000,-2.79609090,-0.00069024
-4.70000000,-2.69603530,-0.00068585
-4.70000000,-2.59592170,-0.00068035
-4.70000000,-2.49587650,-0.00067362
-4.70000000,-2.39584450,-0.00066568
-4.70000000,-2.29634160,-0.00065645
-4.70000000,-2.19633280,-0.00064574
-4.70000000,-2.09638230,-0.00063347
-4.70000000,-1.99639310,-0.00061965
-4.70000000,-1.89639310,-0.00060438
-4.70000000,-1.79642590,-0.00058752
-4.70000000,-1.69697080,-0.00056912
-4.70000000,-1.59700110,-0.00054903
-4.70000000,-1.49700630,-0.00052731
-4.70000000,-1.39704950,-0.00050394
-4.70000000,-1.29713270,-0.00047903
-4.70000000,-1.19720420,-0.00045230
-4.70000000,-1.09780760,-0.00042416
-4.70000000,-0.99782767,-0.00039415
-4.70000000,-0.89793095,-0.00036247
-4.70000000,-0.79804648,-0.00032906
-4.70000000,-0.69818234,-0.00029405
-4.70000000,-0.59831259,-0.00025722
-4.70000000,-0.49892077,-0.00021891
-4.70000000,-0.39907097,-0.00017870
-4.70000000,-0.29923590,-0.00013677
-4.70000000,-0.19941160,-0.00009294
-4.70000000,-0.09960437,-0.00004737
-4.70000000,-0.00016693,-0.00000009
-4.60000000,-4.99590340,-0.00067624
-4.60000000,-4.89582490,-0.00067590
-4.60000000,-4.79574510,-0.00067565
-4.60000000,-4.69613730,-0.00067542
-4.60000000,-4.59605080,-0.00067510
-4.60000000,-4.49597210,-0.00067474
-4.60000000,-4.39590140,-0.00067452
-4.60000000,-4.29580050,-0.00067422
-4.60000000,-4.19585420,-0.00067387
-4.60000000,-4.09628890,-0.00067356
-4.60000000,-3.99621950,-0.00067317
-4.60000000,-3.89615900,-0.00067275
-4.60000000,-3.79607510,-0.00067233
-4.60000000,-3.69593940,-0.00067190
-4.60000000,-3.59586600,-0.00067139
-4.60000000,-3.49630460,-0.00067082
-4.60000000,-3.39623760,-0.00067007
-4.60000000,-3.29615120,-0.00066925
-4.60000000,-3.19608670,-0.00066825
-4.60000000,-3.09594450,-0.00066697
-4.60000000,-2.99587230,-0.00066535
-4.60000000,-2.89632910,-0.00066317
-4.60000000,-2.79626340,-0.00066037
-4.60000000,-2.69620390,-0.00065673
-4.60000000,-2.59609030,-0.00065208
-4.60000000,-2.49603730,-0.00064645
-4.60000000,-2.39599370,-0.00063948
-4.60000000,-2.29649070,-0.00063134
-4.60000000,-2.19647410,-0.00062166
-4.60000000,-2.09652370,-0.00061063
-4.60000000,-1.99651760,-0.00059797
-4.60000000,-1.89652150,-0.00058383
-4.60000000,-1.79654000,-0.00056807
-4.60000000,-1.69708100,-0.00055098
-4.60000000,-1.59710350,-0.00053203
-4.60000000,-1.49709710,-0.00051144
-4.60000000,-1.39713770,-0.00048927
-4.60000000,-1.29721050,-0.00046535
-4.60000000,-1.19727680,-0.00043983
-4.60000000,-1.09787500,-0.00041277
-4.60000000,-0.99788825,-0.00038386
-4.60000000,-0.89798473,-0.00035332
-4.60000000,-0.79809817,-0.00032103
-4.60000000,-0.69822827,-0.00028701
-4.60000000,-0.59835014,-0.00025126
-4.60000000,-0.49894851,-0.00021403
-4.60000000,-0.39909609,-0.00017483
-4.60000000,-0.29925317,-0.00013383
-4.60000000,-0.19942167,-0.00009102
-4.60000000,-0.09960828,-0.00004642
-4.60000000,-0.00016411,-0.00000008
-4.50000000,-4.99609410,-0.00064380
-4.50000000,-4.89601550,-0.00064345
-4.50000000,-4.79593440,-0.00064322
-4.50000000,-4.69632660,-0.00064304
-4.50000000,-4.59624270,-0.00064279
-4.50000000,-4.49616400,-0.00064247
-4.50000000,-4.39609200,-0.00064220
-4.50000000,-4.29599240,-0.00064195
-4.50000000,-4.19604610,-0.00064167
-4.50000000,-4.09647830,-0.00064133
-4.50000000,-3.99641010,-0.00064095
-4.50000000,-3.89634440,-0.00064064
-4.50000000,-3.79625790,-0.00064019
-4.50000000,-3.69612350,-0.00063978
-4.50000000,-3.59605150,-0.00063939
-4.50000000,-3.49649270,-0.00063890
-4.50000000,-3.39642310,-0.00063834
-4.50000000,-3.29633540,-0.00063760
-4.50000000,-3.19626690,-0.00063685
-4.50000000,-3.09612470,-0.00063579
-4.50000000,-2.99605000,-0.00063446
-4.50000000,-2.89650030,-0.00063277
-4.50000000,-2.79643460,-0.00063057
