Vgs,	Vds,	Ids
-1.00000000,-0.00015902,-0.00000003
-1.00000000,0.09994970,0.00000001
-1.00000000,0.20002710,-0.00000001
-1.00000000,0.30010647,-0.00000004
-1.00000000,0.40019374,-0.00000004
-1.00000000,0.49976179,0.00000004
-1.00000000,0.59989953,0.00000003
-1.00000000,0.69999170,-0.00000001
-1.00000000,0.80006196,0.00000001
-1.00000000,0.90014420,-0.00000004
-1.00000000,1.00022800,0.00000003
-1.00000000,1.09987090,0.00000001
-1.00000000,1.19995250,-0.00000001
-1.00000000,1.30003710,-0.00000005
-1.00000000,1.40011230,-0.00000001
-1.00000000,1.50020040,0.00000001
-1.00000000,1.60032610,0.00000002
-1.00000000,1.69989550,0.00000004
-1.00000000,1.79998500,-0.00000000
-1.00000000,1.90005480,-0.00000000
-1.00000000,2.00014690,-0.00000007
-1.00000000,2.10021680,-0.00000011
-1.00000000,2.20024120,-0.00000002
-1.00000000,2.29981470,0.00000000
-1.00000000,2.39987160,-0.00000002
-1.00000000,2.49995970,-0.00000001
-1.00000000,2.60004930,-0.00000003
-1.00000000,2.70018790,-0.00000002
-1.00000000,2.80027750,-0.00000001
-1.00000000,2.89983520,0.00000002
-1.00000000,2.99991570,0.00000000
-1.00000000,3.10000120,-0.00000005
-1.00000000,3.20014900,-0.00000001
-1.00000000,3.30022690,0.00000003
-1.00000000,3.39979760,0.00000001
-1.00000000,3.49987790,-0.00000000
-1.00000000,3.59996630,-0.00000002
-1.00000000,3.70004410,-0.00000002
-1.00000000,3.80017890,-0.00000002
-1.00000000,3.90027250,-0.00000000
-1.00000000,3.99982110,0.00000004
-1.00000000,4.09990160,-0.00000000
-1.00000000,4.19998730,0.00000001
-1.00000000,4.29994060,-0.00000002
-1.00000000,4.40004800,-0.00000001
-1.00000000,4.50011940,0.00000002
-1.00000000,4.59968480,0.00000005
-1.00000000,4.69977200,-0.00000001
-1.00000000,4.79990430,0.00000003
-1.00000000,4.89999380,0.00000002
-1.00000000,5.00008070,-0.00000006
-0.90000000,-0.00015745,0.00000003
-0.90000000,0.09994878,-0.00000005
-0.90000000,0.20002880,-0.00000004
-0.90000000,0.30011079,0.00000002
-0.90000000,0.40019688,-0.00000005
-0.90000000,0.49976022,-0.00000000
-0.90000000,0.59990110,-0.00000002
-0.90000000,0.69999275,-0.00000001
-0.90000000,0.80006602,0.00000002
-0.90000000,0.90014211,-0.00000001
-0.90000000,1.00022920,0.00000001
-0.90000000,1.09987140,0.00000002
-0.90000000,1.19995460,0.00000004
-0.90000000,1.30003840,0.00000001
-0.90000000,1.40010590,0.00000000
-0.90000000,1.50019780,0.00000005
-0.90000000,1.60032220,0.00000004
-0.90000000,1.69989680,0.00000003
-0.90000000,1.79998110,-0.00000000
-0.90000000,1.90005350,0.00000002
-0.90000000,2.00014050,0.00000005
-0.90000000,2.10021810,-0.00000001
-0.90000000,2.20024120,-0.00000000
-0.90000000,2.29980950,-0.00000004
-0.90000000,2.39986900,0.00000007
-0.90000000,2.49996360,0.00000002
-0.90000000,2.60004930,0.00000002
-0.90000000,2.70018920,0.00000002
-0.90000000,2.80027750,-0.00000002
-0.90000000,2.89983520,-0.00000001
-0.90000000,2.99991570,-0.00000003
-0.90000000,3.10000250,0.00000000
-0.90000000,3.20015160,-0.00000002
-0.90000000,3.30022430,0.00000001
-0.90000000,3.39979630,-0.00000003
-0.90000000,3.49988050,-0.00000004
-0.90000000,3.59996500,0.00000002
-0.90000000,3.70004670,0.00000004
-0.90000000,3.80018540,0.00000003
-0.90000000,3.90027510,-0.00000008
-0.90000000,3.99982500,0.00000002
-0.90000000,4.09989770,-0.00000000
-0.90000000,4.19998860,-0.00000002
-0.90000000,4.29993670,0.00000003
-0.90000000,4.40004410,0.00000002
-0.90000000,4.50012190,0.00000006
-0.90000000,4.59968350,0.00000005
-0.90000000,4.69977070,-0.00000002
-0.90000000,4.79990430,-0.00000002
-0.90000000,4.89998730,-0.00000004
-0.90000000,5.00007420,0.00000003
-0.80000000,-0.00015605,0.00000004
-0.80000000,0.09995122,-0.00000002
-0.80000000,0.20002618,-0.00000002
-0.80000000,0.30010660,0.00000005
-0.80000000,0.40019688,0.00000001
-0.80000000,0.49975590,-0.00000002
-0.80000000,0.59990660,0.00000001
-0.80000000,0.69999366,0.00000001
-0.80000000,0.80005961,-0.00000000
-0.80000000,0.90014106,-0.00000004
-0.80000000,1.00022700,0.00000004
-0.80000000,1.09987190,-0.00000001
-0.80000000,1.19995380,0.00000001
-0.80000000,1.30003320,0.00000001
-0.80000000,1.40010720,0.00000002
-0.80000000,1.50019780,0.00000010
-0.80000000,1.60032870,0.00000000
-0.80000000,1.69990060,-0.00000008
-0.80000000,1.79998890,-0.00000003
-0.80000000,1.90005350,0.00000001
-0.80000000,2.00014300,0.00000008
-0.80000000,2.10021810,0.00000001
-0.80000000,2.20023600,0.00000002
-0.80000000,2.29981210,-0.00000001
-0.80000000,2.39987030,-0.00000005
-0.80000000,2.49996100,0.00000002
-0.80000000,2.60004540,0.00000002
