Vgs,	Vds,	Ids
-5.00000000,-4.99478680,-0.00086628
-5.00000000,-4.89471090,-0.00086603
-5.00000000,-4.79462850,-0.00086574
-5.00000000,-4.69502070,-0.00086544
-5.00000000,-4.59493680,-0.00086520
-5.00000000,-4.49486070,-0.00086486
-5.00000000,-4.39479000,-0.00086445
-5.00000000,-4.29469040,-0.00086414
-5.00000000,-4.19474020,-0.00086372
-5.00000000,-4.09517750,-0.00086327
-5.00000000,-3.99510680,-0.00086274
-5.00000000,-3.89504370,-0.00086226
-5.00000000,-3.79495980,-0.00086174
-5.00000000,-3.69483440,-0.00086107
-5.00000000,-3.59475980,-0.00086023
-5.00000000,-3.49519970,-0.00085939
-5.00000000,-3.39513270,-0.00085825
-5.00000000,-3.29505150,-0.00085687
-5.00000000,-3.19499080,-0.00085517
-5.00000000,-3.09485380,-0.00085292
-5.00000000,-2.99478690,-0.00085014
-5.00000000,-2.89525400,-0.00084633
-5.00000000,-2.79520000,-0.00084166
-5.00000000,-2.69516000,-0.00083584
-5.00000000,-2.59506060,-0.00082869
-5.00000000,-2.49501930,-0.00082021
-5.00000000,-2.39499770,-0.00081018
-5.00000000,-2.29550900,-0.00079864
-5.00000000,-2.19551830,-0.00078527
-5.00000000,-2.09558350,-0.00077028
-5.00000000,-1.99561240,-0.00075350
-5.00000000,-1.89563450,-0.00073480
-5.00000000,-1.79568670,-0.00071427
-5.00000000,-1.69625490,-0.00069195
-5.00000000,-1.59631110,-0.00066774
-5.00000000,-1.49633840,-0.00064127
-5.00000000,-1.39641530,-0.00061290
-5.00000000,-1.29652310,-0.00058268
-5.00000000,-1.19663350,-0.00055035
-5.00000000,-1.09726940,-0.00051617
-5.00000000,-0.99732845,-0.00047977
-5.00000000,-0.89746916,-0.00044133
-5.00000000,-0.79763402,-0.00040077
-5.00000000,-0.69781241,-0.00035826
-5.00000000,-0.59798950,-0.00031357
-5.00000000,-0.49863812,-0.00026691
-5.00000000,-0.39884825,-0.00021794
-5.00000000,-0.29906291,-0.00016679
-5.00000000,-0.19929867,-0.00011342
-5.00000000,-0.09954782,-0.00005778
-5.00000000,-0.00015914,-0.00000007
-4.90000000,-4.99502160,-0.00082677
-4.90000000,-4.89494690,-0.00082635
-4.90000000,-4.79486320,-0.00082603
-4.90000000,-4.69525280,-0.00082575
-4.90000000,-4.59516760,-0.00082543
-4.90000000,-4.49509410,-0.00082513
-4.90000000,-4.39502600,-0.00082477
-4.90000000,-4.29492120,-0.00082443
-4.90000000,-4.19497240,-0.00082409
-4.90000000,-4.09540970,-0.00082364
-4.90000000,-3.99533500,-0.00082322
-4.90000000,-3.89528100,-0.00082278
-4.90000000,-3.79519190,-0.00082224
-4.90000000,-3.69505880,-0.00082166
-4.90000000,-3.59499060,-0.00082098
-4.90000000,-3.49542670,-0.00082024
-4.90000000,-3.39535840,-0.00081935
-4.90000000,-3.29527720,-0.00081818
-4.90000000,-3.19520480,-0.00081685
-4.90000000,-3.09507430,-0.00081512
-4.90000000,-2.99500340,-0.00081276
-4.90000000,-2.89546670,-0.00080980
-4.90000000,-2.79541400,-0.00080589
-4.90000000,-2.69535840,-0.00080110
-4.90000000,-2.59525770,-0.00079504
-4.90000000,-2.49521120,-0.00078766
-4.90000000,-2.39517920,-0.00077879
-4.90000000,-2.29568410,-0.00076849
-4.90000000,-2.19568560,-0.00075652
-4.90000000,-2.09574820,-0.00074281
-4.90000000,-1.99576280,-0.00072736
-4.90000000,-1.89577970,-0.00071008
-4.90000000,-1.79582160,-0.00069089
-4.90000000,-1.69638460,-0.00066992
-4.90000000,-1.59642920,-0.00064701
-4.90000000,-1.49645390,-0.00062198
-4.90000000,-1.39652300,-0.00059508
-4.90000000,-1.29662560,-0.00056618
-4.90000000,-1.19672300,-0.00053516
-4.90000000,-1.09734980,-0.00050229
-4.90000000,-0.99740395,-0.00046727
-4.90000000,-0.89753694,-0.00043016
-4.90000000,-0.79768832,-0.00039094
-4.90000000,-0.69786331,-0.00034968
-4.90000000,-0.59803059,-0.00030624
-4.90000000,-0.49867842,-0.00026086
-4.90000000,-0.39887364,-0.00021313
-4.90000000,-0.29908280,-0.00016324
-4.90000000,-0.19931175,-0.00011108
-4.90000000,-0.09955266,-0.00005660
-4.90000000,-0.00016125,-0.00000007
-4.80000000,-4.99525240,-0.00078750
-4.80000000,-4.89517260,-0.00078708
-4.80000000,-4.79509140,-0.00078685
-4.80000000,-4.69548500,-0.00078656
