FET Vgs-Id
V2=,-2,to,5,in,0.1,step
NO.,V1,V2,I2,I1
,V,V,A,A
1,-2,-2,-0.013228,-0.010304
2,-1.9,-1.9,-0.011458,-0.0090222
3,-1.8,-1.8,-0.0097881,-0.0078102
4,-1.7,-1.7,-0.0082509,-0.0066568
5,-1.6,-1.6,-0.0068192,-0.0055754
6,-1.5,-1.5,-0.0055202,-0.0045689
7,-1.4,-1.4,-0.0043361,-0.0036414
8,-1.3,-1.3,-0.0032899,-0.0027987
9,-1.2,-1.2,-0.0023708,-0.0020512
10,-1.1,-1.1,-0.0015992,-0.0014055
11,-1,-1,-0.00097076,-0.00087302
12,-0.9,-0.9,-0.00050336,-0.00046252
13,-0.8,-0.8,-0.00020432,-0.00019506
14,-0.7,-0.7,-6.884E-05,-6.8415E-05
15,-0.6,-0.6,-1.5389E-05,-1.5385E-05
16,-0.5,-0.5,-9.2046E-07,-1.00363E-06
17,-0.4,-0.4,-3.0925E-08,-3.9135E-08
18,-0.3,-0.3,-1.8473E-09,-2.4799E-09
19,-0.2,-0.2,-2.1165E-10,-1.9259E-10
20,-0.1,-0.1,-2.297E-11,-1.982E-11
21,0,0,1E-14,-2.9E-13
22,0.1,0.1,3.71E-12,4.91E-12
23,0.2,0.2,5.34E-12,7.28E-12
24,0.3,0.3,6.85E-12,9.24E-12
25,0.4,0.4,8.68E-12,1.08E-11
26,0.5,0.5,1.154E-11,1.219E-11
27,0.6,0.6,1.354E-11,1.353E-11
28,0.7,0.7,1.804E-11,1.512E-11
29,0.8,0.8,2.207E-11,1.68E-11
30,0.9,0.9,2.514E-11,1.837E-11
31,1,1,2.969E-11,2.017E-11
32,1.1,1.1,3.448E-11,2.189E-11
33,1.2,1.2,4.019E-11,2.354E-11
34,1.3,1.3,4.692E-11,2.504E-11
35,1.4,1.4,5.16E-11,2.733E-11
36,1.5,1.5,5.766E-11,2.918E-11
37,1.6,1.6,6.496E-11,3.149E-11
38,1.7,1.7,7.404E-11,3.375E-11
39,1.8,1.8,8.813E-11,3.548E-11
40,1.9,1.9,1.0156E-10,3.807E-11
41,2,2,1.1499E-10,4.086E-11
42,2.1,2.1,1.2917E-10,4.361E-11
43,2.2,2.2,1.4218E-10,4.752E-11
44,2.3,2.3,1.5276E-10,5.119E-11
45,2.4,2.4,1.5873E-10,5.601E-11
46,2.5,2.5,1.715E-10,6.015E-11
47,2.6,2.6,1.8251E-10,6.543E-11
48,2.7,2.7,2.1639E-10,7.128E-11
49,2.8,2.8,2.2005E-10,7.754E-11
50,2.9,2.9,2.2953E-10,8.334E-11
51,3,3,2.4419E-10,9.038E-11
52,3.1,3.1,2.7242E-10,9.631E-11
53,3.2,3.2,2.8247E-10,1.0375E-10
54,3.3,3.3,3.1608E-10,1.1036E-10
55,3.4,3.4,3.1956E-10,1.1886E-10
56,3.5,3.5,3.4255E-10,1.2493E-10
57,3.6,3.6,3.7401E-10,1.326E-10
58,3.7,3.7,3.8306E-10,1.4221E-10
59,3.8,3.8,4.2062E-10,1.5199E-10
60,3.9,3.9,4.3187E-10,1.6026E-10
61,4,4,4.4556E-10,1.7076E-10
62,4.1,4.1,4.6516E-10,1.8204E-10
63,4.2,4.2,4.8629E-10,1.9264E-10
64,4.3,4.3,5.1746E-10,2.006E-10
65,4.4,4.4,5.6794E-10,2.1222E-10
66,4.5,4.5,5.5638E-10,2.2481E-10
67,4.6,4.6,6.0093E-10,2.3561E-10
68,4.7,4.7,6.2159E-10,2.4688E-10
69,4.8,4.8,6.5453E-10,2.5931E-10
70,4.9,4.9,6.7109E-10,2.7316E-10
71,5,5,7.1802E-10,2.8396E-10
