FET Vgs-Id
V2=,-2,to,5,in,0.1,step
NO.,V1,V2,I2,I1
,V,V,A,A
1,-2,-2,-0.013284,-0.010225
2,-1.9,-1.9,-0.011506,-0.0089634
3,-1.8,-1.8,-0.0098284,-0.0077621
4,-1.7,-1.7,-0.0082826,-0.0066215
5,-1.6,-1.6,-0.0068443,-0.0055492
6,-1.5,-1.5,-0.0055384,-0.0045485
7,-1.4,-1.4,-0.0043499,-0.0036277
8,-1.3,-1.3,-0.0033001,-0.0027892
9,-1.2,-1.2,-0.0023771,-0.0020451
10,-1.1,-1.1,-0.0016033,-0.0014028
11,-1,-1,-0.00097254,-0.00087158
12,-0.9,-0.9,-0.00050413,-0.00046212
13,-0.8,-0.8,-0.00020456,-0.00019489
14,-0.7,-0.7,-6.8888E-05,-6.8428E-05
15,-0.6,-0.6,-1.5366E-05,-1.5398E-05
16,-0.5,-0.5,-9.1486E-07,-1.00763E-06
17,-0.4,-0.4,-2.8701E-08,-3.7493E-08
18,-0.3,-0.3,3.03E-12,-4.5363E-10
19,-0.2,-0.2,1.6256E-09,1.5911E-09
20,-0.1,-0.1,1.8126E-09,1.6469E-09
21,0,0,1.821E-09,1.9599E-09
22,0.1,0.1,1.8373E-09,2.0717E-09
23,0.2,0.2,1.8492E-09,2.0808E-09
24,0.3,0.3,1.8605E-09,1.9562E-09
25,0.4,0.4,1.8722E-09,1.8354E-09
26,0.5,0.5,1.8744E-09,1.7413E-09
27,0.6,0.6,1.8725E-09,1.672E-09
28,0.7,0.7,1.875E-09,1.7676E-09
29,0.8,0.8,1.8739E-09,1.9239E-09
30,0.9,0.9,1.8801E-09,2.0372E-09
31,1,1,1.8955E-09,2.1395E-09
32,1.1,1.1,1.9077E-09,2.1246E-09
33,1.2,1.2,1.921E-09,1.9924E-09
34,1.3,1.3,1.9332E-09,1.8751E-09
35,1.4,1.4,1.9361E-09,1.7791E-09
36,1.5,1.5,1.9411E-09,1.726E-09
37,1.6,1.6,1.9433E-09,1.8406E-09
38,1.7,1.7,1.9589E-09,1.9944E-09
39,1.8,1.8,1.9623E-09,2.1032E-09
40,1.9,1.9,1.9978E-09,2.1998E-09
41,2,2,2.0068E-09,2.1607E-09
42,2.1,2.1,2.0234E-09,2.0261E-09
43,2.2,2.2,2.0424E-09,1.9164E-09
44,2.3,2.3,2.053E-09,1.8201E-09
45,2.4,2.4,2.0575E-09,1.7902E-09
46,2.5,2.5,2.0832E-09,1.9232E-09
47,2.6,2.6,2.0736E-09,2.0736E-09
48,2.7,2.7,2.098E-09,2.1831E-09
49,2.8,2.8,2.1293E-09,2.2735E-09
50,2.9,2.9,2.1597E-09,2.2156E-09
51,3,3,2.1883E-09,2.0845E-09
52,3.1,3.1,2.1904E-09,1.9844E-09
53,3.2,3.2,2.199E-09,1.8899E-09
54,3.3,3.3,2.2131E-09,1.886E-09
55,3.4,3.4,2.227E-09,2.0352E-09
56,3.5,3.5,2.2419E-09,2.1813E-09
57,3.6,3.6,2.291E-09,2.2943E-09
58,3.7,3.7,2.2931E-09,2.3735E-09
59,3.8,3.8,2.3526E-09,2.2997E-09
60,3.9,3.9,2.353E-09,2.1739E-09
61,4,4,2.3765E-09,2.081E-09
62,4.1,4.1,2.4052E-09,1.9928E-09
63,4.2,4.2,2.4195E-09,2.0164E-09
64,4.3,4.3,2.4762E-09,2.1756E-09
65,4.4,4.4,2.4516E-09,2.3205E-09
66,4.5,4.5,2.5214E-09,2.437E-09
67,4.6,4.6,2.5683E-09,2.5033E-09
68,4.7,4.7,2.566E-09,2.4165E-09
69,4.8,4.8,2.5902E-09,2.296E-09
70,4.9,4.9,2.6312E-09,2.2104E-09
71,5,5,2.6597E-09,2.1282E-09
