FET Vgs-Id
VG=,0,to,5,in,0.1,step
VDS=,0,to,7,in,0.1,step
NO.,VG,ID,VDS,VSUB
,V,A,V,V
1,0,3E-13,0,-1
2,0.1,2.6E-13,0,-1
3,0.2,2E-13,0,-1
4,0.3,2E-13,0,-1
5,0.4,1.88E-12,0,-1
6,0.5,3.931E-11,0,-1
7,0.6,8.1832E-10,0,-1
8,0.7,1.1771E-08,0,-1
9,0.8,4.3757E-08,0,-1
10,0.9,4.0942E-08,0,-1
11,1,-2.0132E-08,0,-1
12,1.1,-7.4373E-08,0,-1
13,1.2,-1.0608E-07,0,-1
14,1.3,-2.0034E-07,0,-1
15,1.4,-2.7402E-07,0,-1
16,1.5,-3.4627E-07,0,-1
17,1.6,-4.1219E-07,0,-1
18,1.7,-4.739E-07,0,-1
19,1.8,-5.3438E-07,0,-1
20,1.9,-5.9561E-07,0,-1
21,2,-6.5395E-07,0,-1
22,2.1,-7.0874E-07,0,-1
23,2.2,-7.6476E-07,0,-1
24,2.3,-8.1505E-07,0,-1
25,2.4,-8.6702E-07,0,-1
26,2.5,-9.1464E-07,0,-1
27,2.6,-9.5891E-07,0,-1
28,2.7,-1.00657E-06,0,-1
29,2.8,-1.04774E-06,0,-1
30,2.9,-1.09214E-06,0,-1
31,3,-1.1343E-06,0,-1
32,3.1,-1.3297E-06,0,-1
33,3.2,-1.3461E-06,0,-1
34,3.3,-1.3996E-06,0,-1
35,3.4,-1.4147E-06,0,-1
36,3.5,-1.4699E-06,0,-1
37,3.6,-1.5335E-06,0,-1
38,3.7,-1.552E-06,0,-1
39,3.8,-1.5571E-06,0,-1
40,3.9,-1.63E-06,0,-1
41,4,-1.6158E-06,0,-1
42,4.1,-1.6644E-06,0,-1
43,4.2,-1.7148E-06,0,-1
44,4.3,-1.7268E-06,0,-1
45,4.4,-1.7564E-06,0,-1
46,4.5,-1.7895E-06,0,-1
47,4.6,-1.793E-06,0,-1
48,4.7,-1.8288E-06,0,-1
49,4.8,-1.8764E-06,0,-1
50,4.9,-1.8765E-06,0,-1
51,5,-1.8763E-06,0,-1
52,0,4.5E-13,0.1,-1
53,0.1,3.8E-13,0.1,-1
54,0.2,4.1E-13,0.1,-1
55,0.3,7.8E-13,0.1,-1
56,0.4,1.241E-11,0.1,-1
57,0.5,2.7661E-10,0.1,-1
58,0.6,6.1595E-09,0.1,-1
59,0.7,1.1909E-07,0.1,-1
60,0.8,1.3768E-06,0.1,-1
61,0.9,6.8459E-06,0.1,-1
62,1,1.7325E-05,0.1,-1
63,1.1,3.0285E-05,0.1,-1
64,1.2,4.3907E-05,0.1,-1
65,1.3,5.7415E-05,0.1,-1
66,1.4,7.0595E-05,0.1,-1
67,1.5,8.3277E-05,0.1,-1
68,1.6,9.5496E-05,0.1,-1
69,1.7,0.000107196,0.1,-1
70,1.8,0.00011845,0.1,-1
71,1.9,0.00012928,0.1,-1
72,2,0.00013967,0.1,-1
73,2.1,0.00014967,0.1,-1
74,2.2,0.00015925,0.1,-1
75,2.3,0.00016852,0.1,-1
76,2.4,0.00017735,0.1,-1
77,2.5,0.00018599,0.1,-1
78,2.6,0.00019431,0.1,-1
79,2.7,0.00020232,0.1,-1
80,2.8,0.00021013,0.1,-1
81,2.9,0.00021762,0.1,-1
82,3,0.0002249,0.1,-1
83,3.1,0.00023199,0.1,-1
84,3.2,0.00023884,0.1,-1
85,3.3,0.0002455,0.1,-1
86,3.4,0.00025199,0.1,-1
87,3.5,0.0002582,0.1,-1
88,3.6,0.00026436,0.1,-1
89,3.7,0.00027032,0.1,-1
90,3.8,0.00027615,0.1,-1
91,3.9,0.0002817,0.1,-1
92,4,0.00028721,0.1,-1
93,4.1,0.00029257,0.1,-1
94,4.2,0.00029777,0.1,-1
95,4.3,0.0003028,0.1,-1
96,4.4,0.00030773,0.1,-1
97,4.5,0.00031263,0.1,-1
98,4.6,0.00031729,0.1,-1
99,4.7,0.00032191,0.1,-1
100,4.8,0.00032636,0.1,-1
101,4.9,0.00033065,0.1,-1
102,5,0.0003349,0.1,-1
103,0,5E-13,0.2,-1
104,0.1,3.3E-13,0.2,-1
105,0.2,5.5E-13,0.2,-1
106,0.3,8.3E-13,0.2,-1
107,0.4,1.277E-11,0.2,-1
108,0.5,2.8441E-10,0.2,-1
109,0.6,6.5012E-09,0.2,-1
110,0.7,1.2207E-07,0.2,-1
111,0.8,1.4708E-06,0.2,-1
112,0.9,8.0071E-06,0.2,-1
113,1,2.3471E-05,0.2,-1
114,1.1,4.6296E-05,0.2,-1
115,1.2,7.2542E-05,0.2,-1
116,1.3,9.9541E-05,0.2,-1
117,1.4,0.0001262,0.2,-1
118,1.5,0.00015209,0.2,-1
119,1.6,0.00017707,0.2,-1
120,1.7,0.00020109,0.2,-1
121,1.8,0.00022413,0.2,-1
122,1.9,0.00024632,0.2,-1
123,2,0.00026757,0.2,-1
124,2.1,0.000288,0.2,-1
125,2.2,0.00030769,0.2,-1
126,2.3,0.0003266,0.2,-1
127,2.4,0.00034472,0.2,-1
128,2.5,0.00036229,0.2,-1
129,2.6,0.00037922,0.2,-1
130,2.7,0.00039569,0.2,-1
131,2.8,0.00041155,0.2,-1
132,2.9,0.00042688,0.2,-1
133,3,0.00044171,0.2,-1
134,3.1,0.00045615,0.2,-1
135,3.2,0.00047013,0.2,-1
136,3.3,0.0004837,0.2,-1
137,3.4,0.00049684,0.2,-1
138,3.5,0.00050958,0.2,-1
139,3.6,0.00052205,0.2,-1
140,3.7,0.00053407,0.2,-1
141,3.8,0.00054593,0.2,-1
142,3.9,0.00055728,0.2,-1
143,4,0.00056838,0.2,-1
144,4.1,0.00057924,0.2,-1
145,4.2,0.00058972,0.2,-1
146,4.3,0.00060007,0.2,-1
147,4.4,0.00061011,0.2,-1
148,4.5,0.00061985,0.2,-1
149,4.6,0.00062929,0.2,-1
150,4.7,0.0006386,0.2,-1
151,4.8,0.00064774,0.2,-1
152,4.9,0.00065653,0.2,-1
153,5,0.00066516,0.2,-1
154,0,5.6E-13,0.3,-1
155,0.1,4.8E-13,0.3,-1
156,0.2,3.7E-13,0.3,-1
157,0.3,1E-12,0.3,-1
158,0.4,1.295E-11,0.3,-1
159,0.5,2.8784E-10,0.3,-1
160,0.6,6.6159E-09,0.3,-1
161,0.7,1.242E-07,0.3,-1
162,0.8,1.4941E-06,0.3,-1
163,0.9,8.2189E-06,0.3,-1
164,1,2.4962E-05,0.3,-1
165,1.1,5.2553E-05,0.3,-1
166,1.2,8.8098E-05,0.3,-1
167,1.3,0.00012718,0.3,-1
168,1.4,0.00016708,0.3,-1
169,1.5,0.00020636,0.3,-1
170,1.6,0.00024448,0.3,-1
171,1.7,0.00028127,0.3,-1
172,1.8,0.0003166,0.3,-1
173,1.9,0.00035061,0.3,-1
174,2,0.00038324,0.3,-1
175,2.1,0.0004146,0.3,-1
176,2.2,0.00044475,0.3,-1
177,2.3,0.00047378,0.3,-1
178,2.4,0.00050146,0.3,-1
179,2.5,0.00052841,0.3,-1
180,2.6,0.00055441,0.3,-1
181,2.7,0.00057954,0.3,-1
182,2.8,0.00060374,0.3,-1
183,2.9,0.00062721,0.3,-1
184,3,0.0006499,0.3,-1
185,3.1,0.00067196,0.3,-1
186,3.2,0.00069325,0.3,-1
187,3.3,0.00071396,0.3,-1
188,3.4,0.000734,0.3,-1
189,3.5,0.00075343,0.3,-1
190,3.6,0.00077238,0.3,-1
191,3.7,0.00079076,0.3,-1
192,3.8,0.00080869,0.3,-1
193,3.9,0.00082607,0.3,-1
194,4,0.00084294,0.3,-1
195,4.1,0.00085942,0.3,-1
196,4.2,0.00087548,0.3,-1
197,4.3,0.00089115,0.3,-1
198,4.4,0.00090632,0.3,-1
199,4.5,0.00092124,0.3,-1
200,4.6,0.00093581,0.3,-1
201,4.7,0.00094989,0.3,-1
202,4.8,0.00096357,0.3,-1
203,4.9,0.00097703,0.3,-1
204,5,0.00099,0.3,-1
205,0,5.6E-13,0.4,-1
206,0.1,5.7E-13,0.4,-1
207,0.2,3.1E-13,0.4,-1
208,0.3,9.7E-13,0.4,-1
209,0.4,1.3E-11,0.4,-1
210,0.5,2.9081E-10,0.4,-1
211,0.6,6.6894E-09,0.4,-1
212,0.7,1.2597E-07,0.4,-1
213,0.8,1.5116E-06,0.4,-1
214,0.9,8.3297E-06,0.4,-1
215,1,2.5457E-05,0.4,-1
216,1.1,5.458E-05,0.4,-1
217,1.2,9.4831E-05,0.4,-1
218,1.3,0.00014274,0.4,-1
219,1.4,0.00019428,0.4,-1
220,1.5,0.00024644,0.4,-1
221,1.6,0.00029773,0.4,-1
222,1.7,0.00034752,0.4,-1
223,1.8,0.00039552,0.4,-1
224,1.9,0.0004418,0.4,-1
225,2,0.00048631,0.4,-1
226,2.1,0.00052904,0.4,-1
227,2.2,0.00057013,0.4,-1
228,2.3,0.00060962,0.4,-1
229,2.4,0.00064745,0.4,-1
230,2.5,0.00068409,0.4,-1
231,2.6,0.00071948,0.4,-1
232,2.7,0.0007536,0.4,-1
233,2.8,0.00078659,0.4,-1
234,2.9,0.00081844,0.4,-1
235,3,0.00084927,0.4,-1
236,3.1,0.00087919,0.4,-1
237,3.2,0.00090816,0.4,-1
238,3.3,0.0009362,0.4,-1
239,3.4,0.00096336,0.4,-1
240,3.5,0.0009899,0.4,-1
241,3.6,0.00101538,0.4,-1
242,3.7,0.00104044,0.4,-1
243,3.8,0.00106475,0.4,-1
244,3.9,0.00108819,0.4,-1
245,4,0.00111095,0.4,-1
246,4.1,0.00113342,0.4,-1
247,4.2,0.0011552,0.4,-1
248,4.3,0.0011762,0.4,-1
249,4.4,0.0011969,0.4,-1
250,4.5,0.0012168,0.4,-1
251,4.6,0.0012365,0.4,-1
252,4.7,0.0012554,0.4,-1
253,4.8,0.0012741,0.4,-1
254,4.9,0.0012922,0.4,-1
255,5,0.0013099,0.4,-1
256,0,6.7E-13,0.5,-1
257,0.1,4.3E-13,0.5,-1
258,0.2,3.2E-13,0.5,-1
259,0.3,1.03E-12,0.5,-1
260,0.4,1.335E-11,0.5,-1
261,0.5,2.9358E-10,0.5,-1
262,0.6,6.4686E-09,0.5,-1
263,0.7,1.2823E-07,0.5,-1
264,0.8,1.5311E-06,0.5,-1
265,0.9,8.4166E-06,0.5,-1
266,1,2.5713E-05,0.5,-1
267,1.1,5.5431E-05,0.5,-1
268,1.2,9.751E-05,0.5,-1
269,1.3,0.00015011,0.5,-1
270,1.4,0.00021008,0.5,-1
271,1.5,0.00027338,0.5,-1
272,1.6,0.00033717,0.5,-1
273,1.7,0.00039986,0.5,-1
274,1.8,0.00046075,0.5,-1
275,1.9,0.00051955,0.5,-1
276,2,0.00057628,0.5,-1
277,2.1,0.00063081,0.5,-1
278,2.2,0.00068317,0.5,-1
279,2.3,0.00073365,0.5,-1
280,2.4,0.00078192,0.5,-1
281,2.5,0.00082865,0.5,-1
282,2.6,0.00087378,0.5,-1
283,2.7,0.00091733,0.5,-1
284,2.8,0.00095935,0.5,-1
285,2.9,0.00099996,0.5,-1
286,3,0.00103929,0.5,-1
287,3.1,0.00107731,0.5,-1
288,3.2,0.00111419,0.5,-1
289,3.3,0.0011498,0.5,-1
290,3.4,0.0011844,0.5,-1
291,3.5,0.0012178,0.5,-1
292,3.6,0.0012508,0.5,-1
293,3.7,0.0012822,0.5,-1
294,3.8,0.0013131,0.5,-1
295,3.9,0.0013429,0.5,-1
296,4,0.0013721,0.5,-1
297,4.1,0.0014002,0.5,-1
298,4.2,0.0014278,0.5,-1
299,4.3,0.0014549,0.5,-1
300,4.4,0.0014808,0.5,-1
301,4.5,0.0015063,0.5,-1
302,4.6,0.0015311,0.5,-1
303,4.7,0.0015554,0.5,-1
304,4.8,0.0015786,0.5,-1
305,4.9,0.0016018,0.5,-1
306,5,0.0016241,0.5,-1
307,0,6.4E-13,0.6,-1
308,0.1,5.7E-13,0.6,-1
309,0.2,4.8E-13,0.6,-1
310,0.3,9.9E-13,0.6,-1
311,0.4,1.35E-11,0.6,-1
312,0.5,2.9658E-10,0.6,-1
313,0.6,6.7937E-09,0.6,-1
314,0.7,1.2972E-07,0.6,-1
315,0.8,1.5455E-06,0.6,-1
316,0.9,8.4843E-06,0.6,-1
317,1,2.5949E-05,0.6,-1
318,1.1,5.5996E-05,0.6,-1
319,1.2,9.887E-05,0.6,-1
320,1.3,0.0001535,0.6,-1
321,1.4,0.00021818,0.6,-1
322,1.5,0.0002896,0.6,-1
323,1.6,0.00036407,0.6,-1
324,1.7,0.00043887,0.6,-1
325,1.8,0.00051239,0.6,-1
326,1.9,0.00058394,0.6,-1
327,2,0.00065306,0.6,-1
328,2.1,0.00071974,0.6,-1
329,2.2,0.00078393,0.6,-1
330,2.3,0.00084566,0.6,-1
331,2.4,0.00090478,0.6,-1
332,2.5,0.00096206,0.6,-1
333,2.6,0.00101733,0.6,-1
334,2.7,0.00107064,0.6,-1
335,2.8,0.00112198,0.6,-1
336,2.9,0.0011717,0.6,-1
337,3,0.0012196,0.6,-1
338,3.1,0.0012663,0.6,-1
339,3.2,0.0013112,0.6,-1
340,3.3,0.0013549,0.6,-1
341,3.4,0.0013971,0.6,-1
342,3.5,0.0014379,0.6,-1
343,3.6,0.0014779,0.6,-1
344,3.7,0.0015163,0.6,-1
345,3.8,0.0015542,0.6,-1
346,3.9,0.0015901,0.6,-1
347,4,0.0016258,0.6,-1
348,4.1,0.0016602,0.6,-1
349,4.2,0.0016935,0.6,-1
350,4.3,0.0017264,0.6,-1
351,4.4,0.0017582,0.6,-1
352,4.5,0.0017893,0.6,-1
