FET Vgs-Id
V2=,-2,to,5,in,0.1,step
NO.,V1,V2,I2,I1
,V,V,A,A
1,-2,-2,-0.013253,-0.010649
2,-1.9,-1.9,-0.011452,-0.0092108
3,-1.8,-1.8,-0.0098017,-0.0078675
4,-1.7,-1.7,-0.0082659,-0.0066878
5,-1.6,-1.6,-0.0068335,-0.0055938
6,-1.5,-1.5,-0.005531,-0.0045807
7,-1.4,-1.4,-0.0043453,-0.0036496
8,-1.3,-1.3,-0.0032977,-0.0028015
9,-1.2,-1.2,-0.0023761,-0.0020536
10,-1.1,-1.1,-0.0016028,-0.0014069
11,-1,-1,-0.00097272,-0.00087264
12,-0.9,-0.9,-0.00050463,-0.00046248
13,-0.8,-0.8,-0.0002047,-0.00019507
14,-0.7,-0.7,-6.8879E-05,-6.8433E-05
15,-0.6,-0.6,-1.5313E-05,-1.5324E-05
16,-0.5,-0.5,-7.9358E-07,-8.7555E-07
17,-0.4,-0.4,9.798E-08,9.5279E-08
18,-0.3,-0.3,1.279E-07,1.3376E-07
19,-0.2,-0.2,1.301E-07,1.3592E-07
20,-0.1,-0.1,1.3078E-07,1.3683E-07
21,0,0,1.312E-07,1.3745E-07
22,0.1,0.1,1.3166E-07,1.3772E-07
23,0.2,0.2,1.3207E-07,1.3841E-07
24,0.3,0.3,1.3246E-07,1.3863E-07
25,0.4,0.4,1.3284E-07,1.394E-07
26,0.5,0.5,1.3319E-07,1.3949E-07
27,0.6,0.6,1.3354E-07,1.4029E-07
28,0.7,0.7,1.3386E-07,1.4028E-07
29,0.8,0.8,1.3422E-07,1.4124E-07
30,0.9,0.9,1.345E-07,1.41E-07
31,1,1,1.3488E-07,1.4204E-07
32,1.1,1.1,1.3518E-07,1.418E-07
33,1.2,1.2,1.3551E-07,1.4276E-07
34,1.3,1.3,1.3576E-07,1.4269E-07
35,1.4,1.4,1.3611E-07,1.4342E-07
36,1.5,1.5,1.3635E-07,1.4357E-07
37,1.6,1.6,1.3669E-07,1.4411E-07
38,1.7,1.7,1.3696E-07,1.4442E-07
39,1.8,1.8,1.3726E-07,1.448E-07
40,1.9,1.9,1.3754E-07,1.4525E-07
41,2,2,1.3781E-07,1.4549E-07
42,2.1,2.1,1.3812E-07,1.4602E-07
43,2.2,2.2,1.3842E-07,1.4618E-07
44,2.3,2.3,1.3868E-07,1.4676E-07
45,2.4,2.4,1.3898E-07,1.4687E-07
46,2.5,2.5,1.393E-07,1.4752E-07
47,2.6,2.6,1.3953E-07,1.476E-07
48,2.7,2.7,1.3985E-07,1.4832E-07
49,2.8,2.8,1.401E-07,1.4832E-07
50,2.9,2.9,1.4038E-07,1.491E-07
51,3,3,1.4066E-07,1.4899E-07
52,3.1,3.1,1.4097E-07,1.4999E-07
53,3.2,3.2,1.412E-07,1.4973E-07
54,3.3,3.3,1.4149E-07,1.5075E-07
55,3.4,3.4,1.4176E-07,1.5053E-07
56,3.5,3.5,1.4201E-07,1.5144E-07
57,3.6,3.6,1.4229E-07,1.515E-07
58,3.7,3.7,1.4256E-07,1.5219E-07
59,3.8,3.8,1.4282E-07,1.5243E-07
60,3.9,3.9,1.4312E-07,1.5298E-07
61,4,4,1.434E-07,1.5337E-07
62,4.1,4.1,1.4371E-07,1.5378E-07
63,4.2,4.2,1.4395E-07,1.5437E-07
64,4.3,4.3,1.4424E-07,1.5458E-07
65,4.4,4.4,1.4453E-07,1.5526E-07
66,4.5,4.5,1.4483E-07,1.5546E-07
67,4.6,4.6,1.4515E-07,1.5615E-07
68,4.7,4.7,1.4545E-07,1.5632E-07
69,4.8,4.8,1.4578E-07,1.571E-07
70,4.9,4.9,1.4607E-07,1.5721E-07
71,5,5,1.4637E-07,1.5801E-07
