FET Vgs-Id
V2=,-2,to,5,in,0.1,step
NO.,V1,V2,I2,I1
,V,V,A,A
1,-2,-2,-0.011938,-0.0096081
2,-1.9,-1.9,-0.010905,-0.0079839
3,-1.8,-1.8,-0.0091499,-0.0065445
4,-1.7,-1.7,-0.007671,-0.0057737
5,-1.6,-1.6,-0.006004,-0.0035963
6,-1.5,-1.5,-0.0048536,-0.0028284
7,-1.4,-1.4,-0.0038262,-0.0022409
8,-1.3,-1.3,-0.0029382,-0.0015227
9,-1.2,-1.2,-0.0021172,-0.0012631
10,-1.1,-1.1,-0.0013969,-0.0006104
11,-1,-1,-0.00087077,-0.00034861
12,-0.9,-0.9,-0.00043116,-0.00016649
13,-0.8,-0.8,-0.00019508,-0.00012816
14,-0.7,-0.7,-5.9672E-05,-6.7326E-05
15,-0.6,-0.6,-1.5346E-05,-1.5345E-05
16,-0.5,-0.5,-8.4268E-07,-9.4791E-07
17,-0.4,-0.4,2.7767E-08,2.1292E-08
18,-0.3,-0.3,5.7482E-08,5.894E-08
19,-0.2,-0.2,5.9374E-08,6.1436E-08
20,-0.1,-0.1,5.9748E-08,6.1406E-08
21,0,0,5.992E-08,6.1676E-08
22,0.1,0.1,6.0046E-08,6.2297E-08
23,0.2,0.2,6.0072E-08,6.228E-08
24,0.3,0.3,6.0221E-08,6.1771E-08
25,0.4,0.4,6.0131E-08,6.1614E-08
26,0.5,0.5,5.962E-08,6.0787E-08
27,0.6,0.6,5.9126E-08,5.9798E-08
28,0.7,0.7,5.858E-08,5.9393E-08
29,0.8,0.8,5.7969E-08,5.8284E-08
30,0.9,0.9,5.7466E-08,5.745E-08
31,1,1,5.6836E-08,5.7023E-08
32,1.1,1.1,5.611E-08,5.6406E-08
33,1.2,1.2,5.5738E-08,5.6024E-08
34,1.3,1.3,5.5729E-08,5.6656E-08
35,1.4,1.4,5.6221E-08,5.7135E-08
36,1.5,1.5,5.7478E-08,5.8222E-08
37,1.6,1.6,5.9144E-08,6.0575E-08
38,1.7,1.7,6.0496E-08,6.2294E-08
39,1.8,1.8,6.1202E-08,6.2901E-08
40,1.9,1.9,6.169E-08,6.3819E-08
41,2,2,6.1923E-08,6.4073E-08
42,2.1,2.1,6.2156E-08,6.4064E-08
43,2.2,2.2,6.2375E-08,6.4804E-08
44,2.3,2.3,6.2623E-08,6.531E-08
45,2.4,2.4,6.2936E-08,6.5467E-08
46,2.5,2.5,6.3212E-08,6.6161E-08
47,2.6,2.6,6.3388E-08,6.6418E-08
48,2.7,2.7,6.3592E-08,6.6283E-08
49,2.8,2.8,6.3748E-08,6.6684E-08
50,2.9,2.9,6.3848E-08,6.6612E-08
51,3,3,6.3906E-08,6.6162E-08
52,3.1,3.1,6.3813E-08,6.6417E-08
53,3.2,3.2,6.3705E-08,6.6254E-08
54,3.3,3.3,6.3712E-08,6.5554E-08
55,3.4,3.4,6.3591E-08,6.532E-08
56,3.5,3.5,6.2909E-08,6.4329E-08
57,3.6,3.6,6.1785E-08,6.2621E-08
58,3.7,3.7,6.0492E-08,6.1982E-08
59,3.8,3.8,5.9712E-08,6.1639E-08
60,3.9,3.9,5.9426E-08,6.0929E-08
61,4,4,5.9017E-08,6.0088E-08
62,4.1,4.1,5.7943E-08,5.8901E-08
63,4.2,4.2,5.718E-08,5.8043E-08
64,4.3,4.3,5.7007E-08,5.8054E-08
65,4.4,4.4,5.6664E-08,5.8059E-08
66,4.5,4.5,5.6578E-08,5.7506E-08
67,4.6,4.6,5.6359E-08,5.6642E-08
68,4.7,4.7,5.5257E-08,5.5127E-08
69,4.8,4.8,5.3914E-08,5.3969E-08
70,4.9,4.9,5.3413E-08,5.4694E-08
71,5,5,5.3758E-08,5.5594E-08
