
VG= 0 to -5 in -0.1 step
VB= 0 to 3 in 0.5 step
NO. VG VB VD ID
 V V V A
1 0 0 -0.05 -2.303E-11
2 -0.1 0 -0.05 -4.538E-11
3 -0.2 0 -0.05 -2.2166E-10
4 -0.3 0 -0.05 -1.7113E-09
5 -0.4 0 -0.05 -5.8664E-09
6 -0.5 0 -0.05 -2.3115E-08
7 -0.6 0 -0.05 -5.4176E-08
8 -0.7 0 -0.05 -1.00221E-07
9 -0.8 0 -0.05 -1.5906E-07
10 -0.9 0 -0.05 -2.2187E-07
11 -1 0 -0.05 -2.9444E-07
12 -1.1 0 -0.05 -3.7219E-07
13 -1.2 0 -0.05 -4.5196E-07
14 -1.3 0 -0.05 -5.3428E-07
15 -1.4 0 -0.05 -6.192E-07
16 -1.5 0 -0.05 -7.046E-07
17 -1.6 0 -0.05 -7.8933E-07
18 -1.7 0 -0.05 -8.7638E-07
19 -1.8 0 -0.05 -9.6259E-07
20 -1.9 0 -0.05 -1.04726E-06
21 -2 0 -0.05 -1.13302E-06
22 -2.1 0 -0.05 -1.2217E-06
23 -2.2 0 -0.05 -1.3026E-06
24 -2.3 0 -0.05 -1.3857E-06
25 -2.4 0 -0.05 -1.4684E-06
26 -2.5 0 -0.05 -1.5489E-06
27 -2.6 0 -0.05 -1.6292E-06
28 -2.7 0 -0.05 -1.7095E-06
29 -2.8 0 -0.05 -1.7884E-06
30 -2.9 0 -0.05 -1.8651E-06
31 -3 0 -0.05 -1.942E-06
32 -3.1 0 -0.05 -2.0187E-06
33 -3.2 0 -0.05 -2.0926E-06
34 -3.3 0 -0.05 -2.1673E-06
35 -3.4 0 -0.05 -2.2404E-06
36 -3.5 0 -0.05 -2.3121E-06
37 -3.6 0 -0.05 -2.3831E-06
38 -3.7 0 -0.05 -2.4535E-06
39 -3.8 0 -0.05 -2.5243E-06
40 -3.9 0 -0.05 -2.5914E-06
41 -4 0 -0.05 -2.6595E-06
42 -4.1 0 -0.05 -2.7276E-06
43 -4.2 0 -0.05 -2.7921E-06
44 -4.3 0 -0.05 -2.8592E-06
45 -4.4 0 -0.05 -2.9237E-06
46 -4.5 0 -0.05 -2.9867E-06
47 -4.6 0 -0.05 -3.0493E-06
48 -4.7 0 -0.05 -3.1123E-06
49 -4.8 0 -0.05 -3.1744E-06
50 -4.9 0 -0.05 -3.2346E-06
51 -5 0 -0.05 -3.2949E-06
52 0 0.5 -0.05 -2.039E-11
53 -0.1 0.5 -0.05 -2.021E-11
54 -0.2 0.5 -0.05 -2.042E-11
55 -0.3 0.5 -0.05 -2.345E-11
56 -0.4 0.5 -0.05 -5.523E-11
57 -0.5 0.5 -0.05 -3.3123E-10
58 -0.6 0.5 -0.05 -2.7061E-09
59 -0.7 0.5 -0.05 -9.5803E-09
60 -0.8 0.5 -0.05 -3.1738E-08
61 -0.9 0.5 -0.05 -6.5825E-08
62 -1 0.5 -0.05 -1.13528E-07
63 -1.1 0.5 -0.05 -1.7221E-07
64 -1.2 0.5 -0.05 -2.3426E-07
65 -1.3 0.5 -0.05 -3.0493E-07
66 -1.4 0.5 -0.05 -3.8064E-07
67 -1.5 0.5 -0.05 -4.5825E-07
68 -1.6 0.5 -0.05 -5.3748E-07
69 -1.7 0.5 -0.05 -6.1958E-07
70 -1.8 0.5 -0.05 -7.0208E-07
71 -1.9 0.5 -0.05 -7.8378E-07
72 -2 0.5 -0.05 -8.6746E-07
73 -2.1 0.5 -0.05 -9.5034E-07
74 -2.2 0.5 -0.05 -1.03207E-06
75 -2.3 0.5 -0.05 -1.11395E-06
76 -2.4 0.5 -0.05 -1.1995E-06
77 -2.5 0.5 -0.05 -1.2763E-06
78 -2.6 0.5 -0.05 -1.3569E-06
79 -2.7 0.5 -0.05 -1.4359E-06
80 -2.8 0.5 -0.05 -1.5135E-06
81 -2.9 0.5 -0.05 -1.5905E-06
82 -3 0.5 -0.05 -1.6675E-06
83 -3.1 0.5 -0.05 -1.7438E-06
84 -3.2 0.5 -0.05 -1.8177E-06
85 -3.3 0.5 -0.05 -1.8925E-06
86 -3.4 0.5 -0.05 -1.9651E-06
87 -3.5 0.5 -0.05 -2.0363E-06
88 -3.6 0.5 -0.05 -2.1086E-06
89 -3.7 0.5 -0.05 -2.1789E-06
90 -3.8 0.5 -0.05 -2.2482E-06
91 -3.9 0.5 -0.05 -2.3161E-06
92 -4 0.5 -0.05 -2.3842E-06
93 -4.1 0.5 -0.05 -2.4528E-06
94 -4.2 0.5 -0.05 -2.5175E-06
95 -4.3 0.5 -0.05 -2.5848E-06
96 -4.4 0.5 -0.05 -2.6495E-06
97 -4.5 0.5 -0.05 -2.7122E-06
98 -4.6 0.5 -0.05 -2.7766E-06
99 -4.7 0.5 -0.05 -2.8381E-06
100 -4.8 0.5 -0.05 -2.8995E-06
101 -4.9 0.5 -0.05 -2.9603E-06
102 -5 0.5 -0.05 -3.0207E-06
103 0 1 -0.05 -2.052E-11
104 -0.1 1 -0.05 -1.993E-11
105 -0.2 1 -0.05 -2.001E-11
106 -0.3 1 -0.05 -2.057E-11
107 -0.4 1 -0.05 -2.037E-11
108 -0.5 1 -0.05 -2.152E-11
109 -0.6 1 -0.05 -3.965E-11
110 -0.7 1 -0.05 -2.1587E-10
111 -0.8 1 -0.05 -1.13402E-09
112 -0.9 1 -0.05 -9.2593E-09
113 -1 1 -0.05 -2.7121E-08
114 -1.1 1 -0.05 -5.8142E-08
115 -1.2 1 -0.05 -1.00046E-07
116 -1.3 1 -0.05 -1.5455E-07
117 -1.4 1 -0.05 -2.1447E-07
118 -1.5 1 -0.05 -2.8203E-07
119 -1.6 1 -0.05 -3.5259E-07
120 -1.7 1 -0.05 -4.2745E-07
121 -1.8 1 -0.05 -5.052E-07
122 -1.9 1 -0.05 -5.8347E-07
123 -2 1 -0.05 -6.622E-07
124 -2.1 1 -0.05 -7.4289E-07
125 -2.2 1 -0.05 -8.2326E-07
126 -2.3 1 -0.05 -9.0223E-07
127 -2.4 1 -0.05 -9.8295E-07
128 -2.5 1 -0.05 -1.06265E-06
129 -2.6 1 -0.05 -1.14079E-06
130 -2.7 1 -0.05 -1.2233E-06
131 -2.8 1 -0.05 -1.2984E-06
132 -2.9 1 -0.05 -1.3741E-06
133 -3 1 -0.05 -1.4507E-06
134 -3.1 1 -0.05 -1.5265E-06
135 -3.2 1 -0.05 -1.5998E-06
136 -3.3 1 -0.05 -1.673E-06
137 -3.4 1 -0.05 -1.7461E-06
138 -3.5 1 -0.05 -1.819E-06
139 -3.6 1 -0.05 -1.8888E-06
140 -3.7 1 -0.05 -1.9607E-06
141 -3.8 1 -0.05 -2.0294E-06
142 -3.9 1 -0.05 -2.0975E-06
143 -4 1 -0.05 -2.1662E-06
144 -4.1 1 -0.05 -2.2337E-06
145 -4.2 1 -0.05 -2.2996E-06
146 -4.3 1 -0.05 -2.365E-06
147 -4.4 1 -0.05 -2.4298E-06
148 -4.5 1 -0.05 -2.4945E-06
149 -4.6 1 -0.05 -2.557E-06
150 -4.7 1 -0.05 -2.621E-06
151 -4.8 1 -0.05 -2.6821E-06
152 -4.9 1 -0.05 -2.7421E-06
153 -5 1 -0.05 -2.8038E-06
154 0 1.5 -0.05 -1.973E-11
155 -0.1 1.5 -0.05 -1.995E-11
156 -0.2 1.5 -0.05 -1.971E-11
157 -0.3 1.5 -0.05 -1.982E-11
158 -0.4 1.5 -0.05 -2.017E-11
159 -0.5 1.5 -0.05 -1.996E-11
160 -0.6 1.5 -0.05 -2.008E-11
161 -0.7 1.5 -0.05 -2.2E-11
162 -0.8 1.5 -0.05 -4.259E-11
163 -0.9 1.5 -0.05 -2.6332E-10
164 -1 1.5 -0.05 -1.7165E-09
165 -1.1 1.5 -0.05 -9.4645E-09
166 -1.2 1.5 -0.05 -2.9146E-08
167 -1.3 1.5 -0.05 -6.085E-08
168 -1.4 1.5 -0.05 -1.02721E-07
169 -1.5 1.5 -0.05 -1.5606E-07
170 -1.6 1.5 -0.05 -2.1366E-07
171 -1.7 1.5 -0.05 -2.797E-07
172 -1.8 1.5 -0.05 -3.4932E-07
173 -1.9 1.5 -0.05 -4.2135E-07
174 -2 1.5 -0.05 -4.9716E-07
175 -2.1 1.5 -0.05 -5.7358E-07
176 -2.2 1.5 -0.05 -6.4982E-07
177 -2.3 1.5 -0.05 -7.2806E-07
178 -2.4 1.5 -0.05 -8.0645E-07
179 -2.5 1.5 -0.05 -8.8347E-07
180 -2.6 1.5 -0.05 -9.6073E-07
181 -2.7 1.5 -0.05 -1.03825E-06
182 -2.8 1.5 -0.05 -1.11529E-06
183 -2.9 1.5 -0.05 -1.1943E-06
184 -3 1.5 -0.05 -1.2674E-06
185 -3.1 1.5 -0.05 -1.3421E-06
186 -3.2 1.5 -0.05 -1.4158E-06
187 -3.3 1.5 -0.05 -1.4889E-06
188 -3.4 1.5 -0.05 -1.5619E-06
189 -3.5 1.5 -0.05 -1.6329E-06
190 -3.6 1.5 -0.05 -1.7047E-06
191 -3.7 1.5 -0.05 -1.7751E-06
192 -3.8 1.5 -0.05 -1.8441E-06
193 -3.9 1.5 -0.05 -1.9126E-06
194 -4 1.5 -0.05 -1.9813E-06
195 -4.1 1.5 -0.05 -2.0479E-06
196 -4.2 1.5 -0.05 -2.1137E-06
197 -4.3 1.5 -0.05 -2.1792E-06
198 -4.4 1.5 -0.05 -2.2446E-06
199 -4.5 1.5 -0.05 -2.3084E-06
200 -4.6 1.5 -0.05 -2.3732E-06
201 -4.7 1.5 -0.05 -2.4355E-06
202 -4.8 1.5 -0.05 -2.4965E-06
203 -4.9 1.5 -0.05 -2.5581E-06
204 -5 1.5 -0.05 -2.618E-06
205 0 2 -0.05 -1.921E-11
206 -0.1 2 -0.05 -1.94E-11
207 -0.2 2 -0.05 -1.968E-11
208 -0.3 2 -0.05 -1.95E-11
209 -0.4 2 -0.05 -1.951E-11
210 -0.5 2 -0.05 -1.986E-11
211 -0.6 2 -0.05 -1.984E-11
212 -0.7 2 -0.05 -1.966E-11
213 -0.8 2 -0.05 -2.007E-11
214 -0.9 2 -0.05 -2.327E-11
215 -1 2 -0.05 -6.352E-11
216 -1.1 2 -0.05 -4.8854E-10
217 -1.2 2 -0.05 -3.362E-09
218 -1.3 2 -0.05 -1.4598E-08
219 -1.4 2 -0.05 -3.7217E-08
220 -1.5 2 -0.05 -6.9849E-08
221 -1.6 2 -0.05 -1.14145E-07
222 -1.7 2 -0.05 -1.6858E-07
223 -1.8 2 -0.05 -2.2685E-07
224 -1.9 2 -0.05 -2.9061E-07
225 -2 2 -0.05 -3.5945E-07
226 -2.1 2 -0.05 -4.3163E-07
227 -2.2 2 -0.05 -5.0463E-07
228 -2.3 2 -0.05 -5.7851E-07
229 -2.4 2 -0.05 -6.5455E-07
230 -2.5 2 -0.05 -7.3062E-07
231 -2.6 2 -0.05 -8.0551E-07
232 -2.7 2 -0.05 -8.8209E-07
233 -2.8 2 -0.05 -9.5788E-07
234 -2.9 2 -0.05 -1.0321E-06
235 -3 2 -0.05 -1.10694E-06
236 -3.1 2 -0.05 -1.1849E-06
237 -3.2 2 -0.05 -1.255E-06
238 -3.3 2 -0.05 -1.3279E-06
239 -3.4 2 -0.05 -1.4001E-06
240 -3.5 2 -0.05 -1.4715E-06
241 -3.6 2 -0.05 -1.5416E-06
242 -3.7 2 -0.05 -1.6125E-06
243 -3.8 2 -0.05 -1.6819E-06
244 -3.9 2 -0.05 -1.7492E-06
