
VG= 0 to -5 in -0.1 step
VB= 0 to -3 in -0.5 step
NO. VG VB VD ID
 V V V A
1 0 0 -0.05 -1.7E-11
2 -0.1 0 -0.05 -1.0381E-10
3 -0.2 0 -0.05 -8.6251E-10
4 -0.3 0 -0.05 -8.1538E-09
5 -0.4 0 -0.05 -6.9258E-08
6 -0.5 0 -0.05 -3.9618E-07
7 -0.6 0 -0.05 -1.3176E-06
8 -0.7 0 -0.05 -2.8671E-06
9 -0.8 0 -0.05 -4.859E-06
10 -0.9 0 -0.05 -7.1286E-06
11 -1 0 -0.05 -9.5496E-06
12 -1.1 0 -0.05 -1.2105E-05
13 -1.2 0 -0.05 -1.4635E-05
14 -1.3 0 -0.05 -1.7212E-05
15 -1.4 0 -0.05 -1.9804E-05
16 -1.5 0 -0.05 -2.2377E-05
17 -1.6 0 -0.05 -2.4921E-05
18 -1.7 0 -0.05 -2.746E-05
19 -1.8 0 -0.05 -2.9952E-05
20 -1.9 0 -0.05 -3.2427E-05
21 -2 0 -0.05 -3.4857E-05
22 -2.1 0 -0.05 -3.7257E-05
23 -2.2 0 -0.05 -3.9602E-05
24 -2.3 0 -0.05 -4.1922E-05
25 -2.4 0 -0.05 -4.4204E-05
26 -2.5 0 -0.05 -4.6431E-05
27 -2.6 0 -0.05 -4.8642E-05
28 -2.7 0 -0.05 -5.0819E-05
29 -2.8 0 -0.05 -5.2926E-05
30 -2.9 0 -0.05 -5.5046E-05
31 -3 0 -0.05 -5.7098E-05
32 -3.1 0 -0.05 -5.9148E-05
33 -3.2 0 -0.05 -6.1131E-05
34 -3.3 0 -0.05 -6.3077E-05
35 -3.4 0 -0.05 -6.5018E-05
36 -3.5 0 -0.05 -6.6901E-05
37 -3.6 0 -0.05 -6.8778E-05
38 -3.7 0 -0.05 -7.0632E-05
39 -3.8 0 -0.05 -7.2416E-05
40 -3.9 0 -0.05 -7.4247E-05
41 -4 0 -0.05 -7.6E-05
42 -4.1 0 -0.05 -7.7762E-05
43 -4.2 0 -0.05 -7.9449E-05
44 -4.3 0 -0.05 -8.1145E-05
45 -4.4 0 -0.05 -8.2814E-05
46 -4.5 0 -0.05 -8.4436E-05
47 -4.6 0 -0.05 -8.6065E-05
48 -4.7 0 -0.05 -8.7664E-05
49 -4.8 0 -0.05 -8.9205E-05
50 -4.9 0 -0.05 -9.0802E-05
51 -5 0 -0.05 -9.2334E-05
52 0 -0.5 -0.05 -8.364E-08
53 -0.1 -0.5 -0.05 -3.3633E-07
54 -0.2 -0.5 -0.05 -1.01433E-06
55 -0.3 -0.5 -0.05 -2.3069E-06
56 -0.4 -0.5 -0.05 -4.1423E-06
57 -0.5 -0.5 -0.05 -6.357E-06
58 -0.6 -0.5 -0.05 -8.8129E-06
59 -0.7 -0.5 -0.05 -1.14058E-05
60 -0.8 -0.5 -0.05 -1.4106E-05
61 -0.9 -0.5 -0.05 -1.677E-05
62 -1 -0.5 -0.05 -1.9468E-05
63 -1.1 -0.5 -0.05 -2.2174E-05
64 -1.2 -0.5 -0.05 -2.4847E-05
65 -1.3 -0.5 -0.05 -2.7514E-05
66 -1.4 -0.5 -0.05 -3.0132E-05
67 -1.5 -0.5 -0.05 -3.2725E-05
68 -1.6 -0.5 -0.05 -3.5291E-05
69 -1.7 -0.5 -0.05 -3.7797E-05
70 -1.8 -0.5 -0.05 -4.0282E-05
71 -1.9 -0.5 -0.05 -4.2724E-05
72 -2 -0.5 -0.05 -4.5105E-05
73 -2.1 -0.5 -0.05 -4.7492E-05
74 -2.2 -0.5 -0.05 -4.9801E-05
75 -2.3 -0.5 -0.05 -5.209E-05
76 -2.4 -0.5 -0.05 -5.4321E-05
77 -2.5 -0.5 -0.05 -5.6517E-05
78 -2.6 -0.5 -0.05 -5.869E-05
79 -2.7 -0.5 -0.05 -6.0805E-05
80 -2.8 -0.5 -0.05 -6.2898E-05
81 -2.9 -0.5 -0.05 -6.496E-05
82 -3 -0.5 -0.05 -6.6958E-05
83 -3.1 -0.5 -0.05 -6.8986E-05
84 -3.2 -0.5 -0.05 -7.0936E-05
85 -3.3 -0.5 -0.05 -7.2869E-05
86 -3.4 -0.5 -0.05 -7.475E-05
87 -3.5 -0.5 -0.05 -7.6615E-05
88 -3.6 -0.5 -0.05 -7.8472E-05
89 -3.7 -0.5 -0.05 -8.026E-05
90 -3.8 -0.5 -0.05 -8.2047E-05
91 -3.9 -0.5 -0.05 -8.3806E-05
92 -4 -0.5 -0.05 -8.5506E-05
93 -4.1 -0.5 -0.05 -8.7262E-05
94 -4.2 -0.5 -0.05 -8.8935E-05
95 -4.3 -0.5 -0.05 -9.0625E-05
96 -4.4 -0.5 -0.05 -9.2235E-05
97 -4.5 -0.5 -0.05 -9.3839E-05
98 -4.6 -0.5 -0.05 -9.5452E-05
99 -4.7 -0.5 -0.05 -9.699E-05
100 -4.8 -0.5 -0.05 -9.855E-05
101 -4.9 -0.5 -0.05 -0.00010008
102 -5 -0.5 -0.05 -0.000101559
103 0 -1 -0.05 4.3076E-06
104 -0.1 -1 -0.05 2.8853E-06
105 -0.2 -1 -0.05 1.0204E-06
106 -0.3 -1 -0.05 -1.1422E-06
107 -0.4 -1 -0.05 -3.5477E-06
108 -0.5 -1 -0.05 -6.1097E-06
109 -0.6 -1 -0.05 -8.7628E-06
110 -0.7 -1 -0.05 -1.146E-05
111 -0.8 -1 -0.05 -1.416E-05
112 -0.9 -1 -0.05 -1.6858E-05
113 -1 -1 -0.05 -1.9569E-05
114 -1.1 -1 -0.05 -2.223E-05
115 -1.2 -1 -0.05 -2.4877E-05
116 -1.3 -1 -0.05 -2.7482E-05
117 -1.4 -1 -0.05 -3.005E-05
118 -1.5 -1 -0.05 -3.2571E-05
119 -1.6 -1 -0.05 -3.504E-05
120 -1.7 -1 -0.05 -3.7503E-05
121 -1.8 -1 -0.05 -3.9906E-05
122 -1.9 -1 -0.05 -4.2281E-05
123 -2 -1 -0.05 -4.4619E-05
124 -2.1 -1 -0.05 -4.6904E-05
125 -2.2 -1 -0.05 -4.9126E-05
126 -2.3 -1 -0.05 -5.1331E-05
127 -2.4 -1 -0.05 -5.3517E-05
128 -2.5 -1 -0.05 -5.5646E-05
129 -2.6 -1 -0.05 -5.7754E-05
130 -2.7 -1 -0.05 -5.98E-05
131 -2.8 -1 -0.05 -6.1805E-05
132 -2.9 -1 -0.05 -6.3817E-05
133 -3 -1 -0.05 -6.5764E-05
134 -3.1 -1 -0.05 -6.7707E-05
135 -3.2 -1 -0.05 -6.9617E-05
136 -3.3 -1 -0.05 -7.1492E-05
137 -3.4 -1 -0.05 -7.3299E-05
138 -3.5 -1 -0.05 -7.5085E-05
139 -3.6 -1 -0.05 -7.6911E-05
140 -3.7 -1 -0.05 -7.8654E-05
141 -3.8 -1 -0.05 -8.0403E-05
142 -3.9 -1 -0.05 -8.2114E-05
