
VG= 0 to 5 in 0.1 step
VB= 0 to -3 in -0.5 step
NO. VG VB VD ID
 V V V A
1 0 0 0.05 9.12E-11
2 0.1 0 0.05 2.801E-11
3 0.2 0 0.05 -3.836E-11
4 0.3 0 0.05 -1.1541E-10
5 0.4 0 0.05 -1.9011E-10
6 0.5 0 0.05 -2.1683E-10
7 0.6 0 0.05 4.217E-10
8 0.7 0 0.05 5.7409E-09
9 0.8 0 0.05 2.6218E-08
10 0.9 0 0.05 6.8112E-08
11 1 0 0.05 1.2934E-07
12 1.1 0 0.05 2.0754E-07
13 1.2 0 0.05 3.0258E-07
14 1.3 0 0.05 4.1639E-07
15 1.4 0 0.05 5.5208E-07
16 1.5 0 0.05 7.1002E-07
17 1.6 0 0.05 8.8931E-07
18 1.7 0 0.05 1.0879E-06
19 1.8 0 0.05 1.3E-06
20 1.9 0 0.05 1.5249E-06
21 2 0 0.05 1.7541E-06
22 2.1 0 0.05 1.9911E-06
23 2.2 0 0.05 2.2286E-06
24 2.3 0 0.05 2.4655E-06
25 2.4 0 0.05 2.7034E-06
26 2.5 0 0.05 2.938E-06
27 2.6 0 0.05 3.1739E-06
28 2.7 0 0.05 3.4059E-06
29 2.8 0 0.05 3.6332E-06
30 2.9 0 0.05 3.8624E-06
31 3 0 0.05 4.0857E-06
32 3.1 0 0.05 4.3057E-06
33 3.2 0 0.05 4.5244E-06
34 3.3 0 0.05 4.7394E-06
35 3.4 0 0.05 4.9531E-06
36 3.5 0 0.05 5.1616E-06
37 3.6 0 0.05 5.365E-06
38 3.7 0 0.05 5.5567E-06
39 3.8 0 0.05 5.7593E-06
40 3.9 0 0.05 5.9463E-06
41 4 0 0.05 6.1297E-06
42 4.1 0 0.05 6.3082E-06
43 4.2 0 0.05 6.4674E-06
44 4.3 0 0.05 6.5597E-06
45 4.4 0 0.05 6.673E-06
46 4.5 0 0.05 6.8044E-06
47 4.6 0 0.05 6.884E-06
48 4.7 0 0.05 6.9122E-06
49 4.8 0 0.05 6.9111E-06
50 4.9 0 0.05 6.8608E-06
51 5 0 0.05 6.5739E-06
52 0 -0.5 0.05 1.1967E-10
53 0.1 -0.5 0.05 3.567E-11
54 0.2 -0.5 0.05 -5.508E-11
55 0.3 -0.5 0.05 -1.5629E-10
56 0.4 -0.5 0.05 -2.7514E-10
57 0.5 -0.5 0.05 -3.9734E-10
58 0.6 -0.5 0.05 -5.1235E-10
59 0.7 -0.5 0.05 -3.6202E-10
60 0.8 -0.5 0.05 2.2596E-09
61 0.9 -0.5 0.05 1.5994E-08
62 1 -0.5 0.05 4.9335E-08
63 1.1 -0.5 0.05 1.01939E-07
64 1.2 -0.5 0.05 1.7098E-07
65 1.3 -0.5 0.05 2.5577E-07
66 1.4 -0.5 0.05 3.5753E-07
67 1.5 -0.5 0.05 4.7945E-07
68 1.6 -0.5 0.05 6.2321E-07
69 1.7 -0.5 0.05 7.879E-07
70 1.8 -0.5 0.05 9.7264E-07
71 1.9 -0.5 0.05 1.1737E-06
72 2 -0.5 0.05 1.3858E-06
73 2.1 -0.5 0.05 1.6098E-06
74 2.2 -0.5 0.05 1.8367E-06
75 2.3 -0.5 0.05 2.0699E-06
76 2.4 -0.5 0.05 2.303E-06
77 2.5 -0.5 0.05 2.5357E-06
78 2.6 -0.5 0.05 2.7681E-06
79 2.7 -0.5 0.05 2.9975E-06
80 2.8 -0.5 0.05 3.2258E-06
81 2.9 -0.5 0.05 3.4519E-06
82 3 -0.5 0.05 3.6738E-06
83 3.1 -0.5 0.05 3.8956E-06
84 3.2 -0.5 0.05 4.1108E-06
85 3.3 -0.5 0.05 4.3249E-06
86 3.4 -0.5 0.05 4.5356E-06
87 3.5 -0.5 0.05 4.742E-06
88 3.6 -0.5 0.05 4.9402E-06
89 3.7 -0.5 0.05 5.1355E-06
90 3.8 -0.5 0.05 5.3359E-06
91 3.9 -0.5 0.05 5.5255E-06
92 4 -0.5 0.05 5.6932E-06
93 4.1 -0.5 0.05 5.8622E-06
94 4.2 -0.5 0.05 6.0311E-06
95 4.3 -0.5 0.05 6.1604E-06
96 4.4 -0.5 0.05 6.2703E-06
97 4.5 -0.5 0.05 6.4127E-06
98 4.6 -0.5 0.05 6.4391E-06
99 4.7 -0.5 0.05 6.4929E-06
100 4.8 -0.5 0.05 6.4592E-06
101 4.9 -0.5 0.05 6.3645E-06
102 5 -0.5 0.05 6.2169E-06
103 0 -1 0.05 1.1864E-10
104 0.1 -1 0.05 5.004E-11
105 0.2 -1 0.05 -2.368E-11
106 0.3 -1 0.05 -1.1249E-10
107 0.4 -1 0.05 -2.0677E-10
108 0.5 -1 0.05 -3.2813E-10
109 0.6 -1 0.05 -4.4649E-10
110 0.7 -1 0.05 -5.8626E-10
111 0.8 -1 0.05 -5.4581E-10
112 0.9 -1 0.05 1.4816E-09
113 1 -1 0.05 1.14962E-08
114 1.1 -1 0.05 4.3358E-08
115 1.2 -1 0.05 9.2141E-08
116 1.3 -1 0.05 1.5697E-07
117 1.4 -1 0.05 2.3679E-07
118 1.5 -1 0.05 3.3295E-07
119 1.6 -1 0.05 4.4767E-07
120 1.7 -1 0.05 5.8413E-07
121 1.8 -1 0.05 7.4146E-07
122 1.9 -1 0.05 9.1854E-07
123 2 -1 0.05 1.11126E-06
124 2.1 -1 0.05 1.3175E-06
125 2.2 -1 0.05 1.5354E-06
126 2.3 -1 0.05 1.7586E-06
127 2.4 -1 0.05 1.9861E-06
128 2.5 -1 0.05 2.2158E-06
129 2.6 -1 0.05 2.4443E-06
130 2.7 -1 0.05 2.674E-06
131 2.8 -1 0.05 2.9012E-06
132 2.9 -1 0.05 3.1247E-06
133 3 -1 0.05 3.3491E-06
134 3.1 -1 0.05 3.5695E-06
135 3.2 -1 0.05 3.7879E-06
136 3.3 -1 0.05 4.003E-06
137 3.4 -1 0.05 4.2167E-06
138 3.5 -1 0.05 4.4216E-06
139 3.6 -1 0.05 4.6216E-06
140 3.7 -1 0.05 4.8236E-06
141 3.8 -1 0.05 5.0233E-06
142 3.9 -1 0.05 5.2114E-06
143 4 -1 0.05 5.3964E-06
144 4.1 -1 0.05 5.5719E-06
145 4.2 -1 0.05 5.7086E-06
146 4.3 -1 0.05 5.8536E-06
147 4.4 -1 0.05 5.9735E-06
148 4.5 -1 0.05 6.1145E-06
149 4.6 -1 0.05 6.1708E-06
150 4.7 -1 0.05 6.1668E-06
151 4.8 -1 0.05 6.0455E-06
152 4.9 -1 0.05 6.0357E-06
153 5 -1 0.05 5.8436E-06
154 0 -1.5 0.05 1.2805E-10
155 0.1 -1.5 0.05 5.44E-11
156 0.2 -1.5 0.05 -2.093E-11
157 0.3 -1.5 0.05 -1.0616E-10
158 0.4 -1.5 0.05 -2.0153E-10
159 0.5 -1.5 0.05 -3.1028E-10
160 0.6 -1.5 0.05 -4.3739E-10
161 0.7 -1.5 0.05 -5.9392E-10
162 0.8 -1.5 0.05 -7.6075E-10
163 0.9 -1.5 0.05 -7.3949E-10
164 1 -1.5 0.05 1.14901E-09
165 1.1 -1.5 0.05 1.3324E-08
166 1.2 -1.5 0.05 4.3177E-08
167 1.3 -1.5 0.05 9.0838E-08
168 1.4 -1.5 0.05 1.5391E-07
169 1.5 -1.5 0.05 2.3158E-07
170 1.6 -1.5 0.05 3.2506E-07
171 1.7 -1.5 0.05 4.3675E-07
172 1.8 -1.5 0.05 5.6955E-07
173 1.9 -1.5 0.05 7.2325E-07
174 2 -1.5 0.05 8.9446E-07
175 2.1 -1.5 0.05 1.0846E-06
176 2.2 -1.5 0.05 1.2874E-06
177 2.3 -1.5 0.05 1.5009E-06
178 2.4 -1.5 0.05 1.7212E-06
179 2.5 -1.5 0.05 1.9447E-06
180 2.6 -1.5 0.05 2.1709E-06
181 2.7 -1.5 0.05 2.3973E-06
182 2.8 -1.5 0.05 2.6254E-06
183 2.9 -1.5 0.05 2.8504E-06
184 3 -1.5 0.05 3.0726E-06
185 3.1 -1.5 0.05 3.2942E-06
186 3.2 -1.5 0.05 3.5136E-06
187 3.3 -1.5 0.05 3.7309E-06
188 3.4 -1.5 0.05 3.9468E-06
189 3.5 -1.5 0.05 4.1549E-06
190 3.6 -1.5 0.05 4.3566E-06
191 3.7 -1.5 0.05 4.5562E-06
192 3.8 -1.5 0.05 4.7528E-06
193 3.9 -1.5 0.05 4.9427E-06
194 4 -1.5 0.05 5.1228E-06
195 4.1 -1.5 0.05 5.3001E-06
196 4.2 -1.5 0.05 5.4448E-06
197 4.3 -1.5 0.05 5.5903E-06
198 4.4 -1.5 0.05 5.7367E-06
199 4.5 -1.5 0.05 5.8559E-06
200 4.6 -1.5 0.05 5.8944E-06
201 4.7 -1.5 0.05 5.8385E-06
202 4.8 -1.5 0.05 5.871E-06
203 4.9 -1.5 0.05 5.7292E-06
204 5 -1.5 0.05 5.399E-06
205 0 -2 0.05 1.4004E-10
206 0.1 -2 0.05 6.336E-11
207 0.2 -2 0.05 -4.255E-11
208 0.3 -2 0.05 -1.5199E-10
209 0.4 -2 0.05 -2.697E-10
210 0.5 -2 0.05 -4.0914E-10
211 0.6 -2 0.05 -5.6703E-10
212 0.7 -2 0.05 -7.289E-10
213 0.8 -2 0.05 -9.2074E-10
214 0.9 -2 0.05 -1.13367E-09
215 1 -2 0.05 -1.02116E-09
216 1.1 -2 0.05 1.6071E-09
217 1.2 -2 0.05 1.5258E-08
218 1.3 -2 0.05 4.6529E-08
219 1.4 -2 0.05 9.474E-08
220 1.5 -2 0.05 1.5756E-07
221 1.6 -2 0.05 2.3468E-07
222 1.7 -2 0.05 3.2739E-07
223 1.8 -2 0.05 4.385E-07
224 1.9 -2 0.05 5.7042E-07
225 2 -2 0.05 7.2111E-07
226 2.1 -2 0.05 8.9236E-07
227 2.2 -2 0.05 1.08034E-06
228 2.3 -2 0.05 1.2811E-06
229 2.4 -2 0.05 1.4927E-06
230 2.5 -2 0.05 1.7092E-06
231 2.6 -2 0.05 1.9318E-06
232 2.7 -2 0.05 2.1555E-06
233 2.8 -2 0.05 2.3799E-06
234 2.9 -2 0.05 2.6048E-06
235 3 -2 0.05 2.8286E-06
236 3.1 -2 0.05 3.0512E-06
237 3.2 -2 0.05 3.2678E-06
238 3.3 -2 0.05 3.4837E-06
239 3.4 -2 0.05 3.6978E-06
240 3.5 -2 0.05 3.9104E-06
241 3.6 -2 0.05 4.113E-06
242 3.7 -2 0.05 4.3092E-06
243 3.8 -2 0.05 4.5118E-06
244 3.9 -2 0.05 4.7042E-06
245 4 -2 0.05 4.8801E-06
246 4.1 -2 0.05 5.0605E-06
247 4.2 -2 0.05 5.2267E-06
248 4.3 -2 0.05 5.3273E-06
249 4.4 -2 0.05 5.4675E-06
250 4.5 -2 0.05 5.5483E-06
251 4.6 -2 0.05 5.6115E-06
252 4.7 -2 0.05 5.6363E-06
253 4.8 -2 0.05 5.5076E-06
254 4.9 -2 0.05 5.4687E-06
255 5 -2 0.05 5.1152E-06
256 0 -2.5 0.05 1.481E-10
257 0.1 -2.5 0.05 8.465E-11
258 0.2 -2.5 0.05 2.086E-11
259 0.3 -2.5 0.05 -4.737E-11
260 0.4 -2.5 0.05 -1.2796E-10
261 0.5 -2.5 0.05 -2.239E-10
262 0.6 -2.5 0.05 -3.4592E-10
263 0.7 -2.5 0.05 -4.7752E-10
264 0.8 -2.5 0.05 -6.6683E-10
265 0.9 -2.5 0.05 -8.68E-10
266 1 -2.5 0.05 -1.05914E-09
267 1.1 -2.5 0.05 -8.8971E-10
268 1.2 -2.5 0.05 3.0089E-09
269 1.3 -2.5 0.05 1.9479E-08
270 1.4 -2.5 0.05 5.3338E-08
271 1.5 -2.5 0.05 1.03176E-07
272 1.6 -2.5 0.05 1.6697E-07
273 1.7 -2.5 0.05 2.447E-07
274 1.8 -2.5 0.05 3.3834E-07
275 1.9 -2.5 0.05 4.5036E-07
276 2 -2.5 0.05 5.8197E-07
277 2.1 -2.5 0.05 7.3385E-07
278 2.2 -2.5 0.05 9.0509E-07
279 2.3 -2.5 0.05 1.09117E-06
280 2.4 -2.5 0.05 1.2909E-06
281 2.5 -2.5 0.05 1.4999E-06
282 2.6 -2.5 0.05 1.7167E-06
283 2.7 -2.5 0.05 1.9347E-06
284 2.8 -2.5 0.05 2.156E-06
285 2.9 -2.5 0.05 2.3749E-06
286 3 -2.5 0.05 2.5978E-06
287 3.1 -2.5 0.05 2.8162E-06
288 3.2 -2.5 0.05 3.0365E-06
289 3.3 -2.5 0.05 3.2514E-06
290 3.4 -2.5 0.05 3.4677E-06
291 3.5 -2.5 0.05 3.6764E-06
292 3.6 -2.5 0.05 3.883E-06
293 3.7 -2.5 0.05 4.084E-06
294 3.8 -2.5 0.05 4.2776E-06
295 3.9 -2.5 0.05 4.4717E-06
296 4 -2.5 0.05 4.6637E-06
297 4.1 -2.5 0.05 4.8458E-06
298 4.2 -2.5 0.05 5.0014E-06
299 4.3 -2.5 0.05 5.1289E-06
300 4.4 -2.5 0.05 5.2446E-06
301 4.5 -2.5 0.05 5.3562E-06
302 4.6 -2.5 0.05 5.3215E-06
303 4.7 -2.5 0.05 5.347E-06
304 4.8 -2.5 0.05 5.2771E-06
305 4.9 -2.5 0.05 5.1642E-06
306 5 -2.5 0.05 4.9588E-06
307 0 -3 0.05 1.8212E-10
308 0.1 -3 0.05 9.684E-11
309 0.2 -3 0.05 5.78E-12
310 0.3 -3 0.05 -9.371E-11
311 0.4 -3 0.05 -2.0492E-10
312 0.5 -3 0.05 -3.417E-10
313 0.6 -3 0.05 -4.9974E-10
314 0.7 -3 0.05 -6.7941E-10
315 0.8 -3 0.05 -8.8228E-10
316 0.9 -3 0.05 -1.12994E-09
317 1 -3 0.05 -1.3956E-09
318 1.1 -3 0.05 -1.6254E-09
319 1.2 -3 0.05 -1.188E-09
320 1.3 -3 0.05 4.3501E-09
321 1.4 -3 0.05 2.5122E-08
322 1.5 -3 0.05 6.2147E-08
323 1.6 -3 0.05 1.1429E-07
324 1.7 -3 0.05 1.8004E-07
325 1.8 -3 0.05 2.5934E-07
326 1.9 -3 0.05 3.5483E-07
327 2 -3 0.05 4.6788E-07
328 2.1 -3 0.05 6.022E-07
329 2.2 -3 0.05 7.5634E-07
330 2.3 -3 0.05 9.2857E-07
331 2.4 -3 0.05 1.11648E-06
332 2.5 -3 0.05 1.3157E-06
333 2.6 -3 0.05 1.5222E-06
334 2.7 -3 0.05 1.7375E-06
335 2.8 -3 0.05 1.9545E-06
336 2.9 -3 0.05 2.172E-06
337 3 -3 0.05 2.3916E-06
338 3.1 -3 0.05 2.6119E-06
339 3.2 -3 0.05 2.828E-06
340 3.3 -3 0.05 3.0476E-06
341 3.4 -3 0.05 3.2587E-06
342 3.5 -3 0.05 3.4679E-06
343 3.6 -3 0.05 3.6713E-06
344 3.7 -3 0.05 3.8774E-06
345 3.8 -3 0.05 4.0757E-06
346 3.9 -3 0.05 4.2658E-06
347 4 -3 0.05 4.4332E-06
348 4.1 -3 0.05 4.6293E-06
349 4.2 -3 0.05 4.7801E-06
350 4.3 -3 0.05 4.9469E-06
351 4.4 -3 0.05 5.0758E-06
352 4.5 -3 0.05 5.1436E-06
353 4.6 -3 0.05 5.2268E-06
354 4.7 -3 0.05 5.2763E-06
355 4.8 -3 0.05 5.2277E-06
356 4.9 -3 0.05 5.1071E-06
357 5 -3 0.05 4.8786E-06
