
VG= 0 to 5 in 0.1 step
VD= 0 to 5 in 0.5 step
NO. VG VB VD ID
 V V V A
1 0 -5 0 4.166E-11
2 0.1 -5 0 4.16E-11
3 0.2 -5 0 4.154E-11
4 0.3 -5 0 4.176E-11
5 0.4 -5 0 4.197E-11
6 0.5 -5 0 4.166E-11
7 0.6 -5 0 4.168E-11
8 0.7 -5 0 4.2E-11
9 0.8 -5 0 4.178E-11
10 0.9 -5 0 4.159E-11
11 1 -5 0 3.931E-11
12 1.1 -5 0 -9.57E-12
13 1.2 -5 0 -6.7621E-10
14 1.3 -5 0 -5.6264E-09
15 1.4 -5 0 -5.0272E-09
16 1.5 -5 0 -2.0309E-09
17 1.6 -5 0 2.7383E-09
18 1.7 -5 0 7.9377E-09
19 1.8 -5 0 2.2333E-07
20 1.9 -5 0 3.1499E-07
21 2 -5 0 3.9121E-07
22 2.1 -5 0 4.5921E-07
23 2.2 -5 0 5.2861E-07
24 2.3 -5 0 5.8989E-07
25 2.4 -5 0 6.5613E-07
26 2.5 -5 0 7.2122E-07
27 2.6 -5 0 7.8141E-07
28 2.7 -5 0 8.5089E-07
29 2.8 -5 0 9.1229E-07
30 2.9 -5 0 9.7119E-07
31 3 -5 0 1.02952E-06
32 3.1 -5 0 1.08394E-06
33 3.2 -5 0 1.14E-06
34 3.3 -5 0 1.3999E-06
35 3.4 -5 0 1.4534E-06
36 3.5 -5 0 1.4474E-06
37 3.6 -5 0 1.5278E-06
38 3.7 -5 0 1.615E-06
39 3.8 -5 0 1.5963E-06
40 3.9 -5 0 1.6735E-06
41 4 -5 0 1.7927E-06
42 4.1 -5 0 1.7397E-06
43 4.2 -5 0 1.8596E-06
44 4.3 -5 0 1.9183E-06
45 4.4 -5 0 1.8676E-06
46 4.5 -5 0 2.0235E-06
47 4.6 -5 0 2.0546E-06
48 4.7 -5 0 1.9973E-06
49 4.8 -5 0 2.114E-06
50 4.9 -5 0 2.1722E-06
51 5 -5 0 2.0764E-06
52 0 -5 0.5 4.273E-11
53 0.1 -5 0.5 4.256E-11
54 0.2 -5 0.5 4.244E-11
55 0.3 -5 0.5 4.254E-11
56 0.4 -5 0.5 4.268E-11
57 0.5 -5 0.5 4.244E-11
58 0.6 -5 0.5 4.25E-11
59 0.7 -5 0.5 4.266E-11
60 0.8 -5 0.5 4.259E-11
61 0.9 -5 0.5 4.355E-11
62 1 -5 0.5 6.517E-11
63 1.1 -5 0.5 5.5917E-10
64 1.2 -5 0.5 1.131E-08
65 1.3 -5 0.5 1.8921E-07
66 1.4 -5 0.5 1.9727E-06
67 1.5 -5 0.5 1.0153E-05
68 1.6 -5 0.5 2.964E-05
69 1.7 -5 0.5 6.2356E-05
70 1.8 -5 0.5 0.000107378
71 1.9 -5 0.5 0.00016227
72 2 -5 0.5 0.00022307
73 2.1 -5 0.5 0.00028791
74 2.2 -5 0.5 0.00035401
75 2.3 -5 0.5 0.00042004
76 2.4 -5 0.5 0.00048529
77 2.5 -5 0.5 0.00054952
78 2.6 -5 0.5 0.0006123
79 2.7 -5 0.5 0.00067366
80 2.8 -5 0.5 0.00073366
81 2.9 -5 0.5 0.00079207
82 3 -5 0.5 0.0008491
83 3.1 -5 0.5 0.00090469
84 3.2 -5 0.5 0.00095893
85 3.3 -5 0.5 0.00101189
86 3.4 -5 0.5 0.00106353
87 3.5 -5 0.5 0.00111392
88 3.6 -5 0.5 0.0011636
89 3.7 -5 0.5 0.0012116
90 3.8 -5 0.5 0.0012588
91 3.9 -5 0.5 0.0013045
92 4 -5 0.5 0.0013495
93 4.1 -5 0.5 0.0013938
94 4.2 -5 0.5 0.001437
95 4.3 -5 0.5 0.001479
96 4.4 -5 0.5 0.0015202
97 4.5 -5 0.5 0.001561
98 4.6 -5 0.5 0.0016005
99 4.7 -5 0.5 0.0016396
100 4.8 -5 0.5 0.0016776
101 4.9 -5 0.5 0.0017146
102 5 -5 0.5 0.0017515
103 0 -5 1 4.338E-11
104 0.1 -5 1 4.332E-11
105 0.2 -5 1 4.337E-11
106 0.3 -5 1 4.331E-11
107 0.4 -5 1 4.339E-11
108 0.5 -5 1 4.349E-11
109 0.6 -5 1 4.336E-11
110 0.7 -5 1 4.329E-11
111 0.8 -5 1 4.352E-11
112 0.9 -5 1 4.452E-11
113 1 -5 1 7.117E-11
114 1.1 -5 1 6.8521E-10
115 1.2 -5 1 1.3899E-08
116 1.3 -5 1 2.2767E-07
117 1.4 -5 1 2.2984E-06
118 1.5 -5 1 1.13753E-05
119 1.6 -5 1 3.254E-05
120 1.7 -5 1 6.7912E-05
121 1.8 -5 1 0.0001175
122 1.9 -5 1 0.00018076
123 2 -5 1 0.00025603
124 2.1 -5 1 0.00034334
125 2.2 -5 1 0.00044094
126 2.3 -5 1 0.0005471
127 2.4 -5 1 0.00065936
128 2.5 -5 1 0.00077594
129 2.6 -5 1 0.00089466
130 2.7 -5 1 0.00101407
131 2.8 -5 1 0.00113298
132 2.9 -5 1 0.0012508
133 3 -5 1 0.001367
134 3.1 -5 1 0.0014812
135 3.2 -5 1 0.0015926
136 3.3 -5 1 0.0017023
137 3.4 -5 1 0.0018097
138 3.5 -5 1 0.0019147
139 3.6 -5 1 0.0020176
140 3.7 -5 1 0.0021179
141 3.8 -5 1 0.0022163
142 3.9 -5 1 0.0023127
143 4 -5 1 0.0024069
144 4.1 -5 1 0.0024993
145 4.2 -5 1 0.0025898
146 4.3 -5 1 0.0026783
147 4.4 -5 1 0.0027652
148 4.5 -5 1 0.0028503
149 4.6 -5 1 0.0029337
150 4.7 -5 1 0.0030155
151 4.8 -5 1 0.0030958
152 4.9 -5 1 0.003174
153 5 -5 1 0.0032516
154 0 -5 1.5 4.419E-11
155 0.1 -5 1.5 4.412E-11
156 0.2 -5 1.5 4.404E-11
157 0.3 -5 1.5 4.405E-11
158 0.4 -5 1.5 4.42E-11
159 0.5 -5 1.5 4.404E-11
160 0.6 -5 1.5 4.409E-11
161 0.7 -5 1.5 4.419E-11
162 0.8 -5 1.5 4.416E-11
163 0.9 -5 1.5 4.555E-11
164 1 -5 1.5 7.845E-11
165 1.1 -5 1.5 8.2347E-10
166 1.2 -5 1.5 1.5765E-08
167 1.3 -5 1.5 2.6954E-07
168 1.4 -5 1.5 2.6201E-06
169 1.5 -5 1.5 1.2481E-05
170 1.6 -5 1.5 3.5061E-05
171 1.7 -5 1.5 7.2292E-05
172 1.8 -5 1.5 0.00012406
173 1.9 -5 1.5 0.00019014
174 2 -5 1.5 0.00026886
175 2.1 -5 1.5 0.00036064
176 2.2 -5 1.5 0.00046395
177 2.3 -5 1.5 0.00057774
178 2.4 -5 1.5 0.00070158
179 2.5 -5 1.5 0.0008336
180 2.6 -5 1.5 0.0009737
181 2.7 -5 1.5 0.00112047
182 2.8 -5 1.5 0.0012728
183 2.9 -5 1.5 0.0014291
184 3 -5 1.5 0.0015882
185 3.1 -5 1.5 0.001749
186 3.2 -5 1.5 0.0019096
187 3.3 -5 1.5 0.0020701
188 3.4 -5 1.5 0.0022292
189 3.5 -5 1.5 0.0023869
190 3.6 -5 1.5 0.0025421
191 3.7 -5 1.5 0.0026953
192 3.8 -5 1.5 0.0028457
193 3.9 -5 1.5 0.0029937
194 4 -5 1.5 0.003139
195 4.1 -5 1.5 0.0032817
196 4.2 -5 1.5 0.0034223
197 4.3 -5 1.5 0.0035599
198 4.4 -5 1.5 0.0036955
199 4.5 -5 1.5 0.0038284
200 4.6 -5 1.5 0.0039589
201 4.7 -5 1.5 0.0040873
202 4.8 -5 1.5 0.0042131
203 4.9 -5 1.5 0.0043364
204 5 -5 1.5 0.0044582
205 0 -5 2 4.506E-11
206 0.1 -5 2 4.49E-11
207 0.2 -5 2 4.533E-11
208 0.3 -5 2 4.504E-11
209 0.4 -5 2 4.506E-11
210 0.5 -5 2 4.521E-11
211 0.6 -5 2 4.511E-11
212 0.7 -5 2 4.501E-11
213 0.8 -5 2 4.536E-11
214 0.9 -5 2 4.688E-11
215 1 -5 2 8.596E-11
216 1.1 -5 2 8.9329E-10
217 1.2 -5 2 1.9797E-08
218 1.3 -5 2 3.1452E-07
219 1.4 -5 2 2.9537E-06
220 1.5 -5 2 1.3605E-05
221 1.6 -5 2 3.7457E-05
222 1.7 -5 2 7.6313E-05
223 1.8 -5 2 0.00013022
224 1.9 -5 2 0.00019868
225 2 -5 2 0.00028001
226 2.1 -5 2 0.00037466
227 2.2 -5 2 0.00048132
228 2.3 -5 2 0.00059875
229 2.4 -5 2 0.00072634
230 2.5 -5 2 0.0008633
231 2.6 -5 2 0.00100884
232 2.7 -5 2 0.0011623
233 2.8 -5 2 0.0013228
234 2.9 -5 2 0.00149
235 3 -5 2 0.0016631
236 3.1 -5 2 0.0018412
237 3.2 -5 2 0.0020241
238 3.3 -5 2 0.0022102
239 3.4 -5 2 0.0024002
240 3.5 -5 2 0.0025917
241 3.6 -5 2 0.0027841
242 3.7 -5 2 0.0029773
243 3.8 -5 2 0.0031702
244 3.9 -5 2 0.0033618
245 4 -5 2 0.0035524
246 4.1 -5 2 0.0037409
247 4.2 -5 2 0.0039276
248 4.3 -5 2 0.0041116
249 4.4 -5 2 0.0042939
250 4.5 -5 2 0.0044733
251 4.6 -5 2 0.0046504
252 4.7 -5 2 0.0048249
253 4.8 -5 2 0.0049966
254 4.9 -5 2 0.0051647
255 5 -5 2 0.0053314
256 0 -5 2.5 4.609E-11
257 0.1 -5 2.5 4.617E-11
258 0.2 -5 2.5 4.602E-11
259 0.3 -5 2.5 4.613E-11
260 0.4 -5 2.5 4.616E-11
261 0.5 -5 2.5 4.609E-11
262 0.6 -5 2.5 4.608E-11
263 0.7 -5 2.5 4.639E-11
264 0.8 -5 2.5 4.629E-11
265 0.9 -5 2.5 4.811E-11
266 1 -5 2.5 9.503E-11
267 1.1 -5 2.5 1.07E-09
268 1.2 -5 2.5 2.3714E-08
269 1.3 -5 2.5 3.6376E-07
270 1.4 -5 2.5 3.2837E-06
271 1.5 -5 2.5 1.473E-05
272 1.6 -5 2.5 3.9778E-05
273 1.7 -5 2.5 8.0202E-05
274 1.8 -5 2.5 0.00013595
275 1.9 -5 2.5 0.00020655
276 2 -5 2.5 0.00029014
277 2.1 -5 2.5 0.00038738
278 2.2 -5 2.5 0.00049678
279 2.3 -5 2.5 0.0006173
280 2.4 -5 2.5 0.00074802
281 2.5 -5 2.5 0.00088828
282 2.6 -5 2.5 0.00103722
283 2.7 -5 2.5 0.0011944
284 2.8 -5 2.5 0.001359
285 2.9 -5 2.5 0.0015304
286 3 -5 2.5 0.0017082
287 3.1 -5 2.5 0.0018919
288 3.2 -5 2.5 0.0020813
289 3.3 -5 2.5 0.002275
290 3.4 -5 2.5 0.0024738
291 3.5 -5 2.5 0.0026765
292 3.6 -5 2.5 0.0028828
293 3.7 -5 2.5 0.003092
294 3.8 -5 2.5 0.0033042
295 3.9 -5 2.5 0.0035187
296 4 -5 2.5 0.0037348
297 4.1 -5 2.5 0.003952
298 4.2 -5 2.5 0.0041696
299 4.3 -5 2.5 0.0043876
300 4.4 -5 2.5 0.0046048
301 4.5 -5 2.5 0.0048216
