
VG= 0 to -5 in -0.1 step
VD= 0 to -5 in -0.5 step
NO. VG VB VD ID
 V V V A
1 0 3 0 -1.4717E-08
2 -0.1 3 0 -1.6471E-08
3 -0.2 3 0 -1.5712E-08
4 -0.3 3 0 -1.4331E-08
5 -0.4 3 0 -1.6527E-08
6 -0.5 3 0 -1.5659E-08
7 -0.6 3 0 -1.4486E-08
8 -0.7 3 0 -1.6583E-08
9 -0.8 3 0 -1.5616E-08
10 -0.9 3 0 -1.4651E-08
11 -1 3 0 -1.6647E-08
12 -1.1 3 0 -1.5601E-08
13 -1.2 3 0 -1.4792E-08
14 -1.3 3 0 -1.6702E-08
15 -1.4 3 0 -1.5601E-08
16 -1.5 3 0 -1.4953E-08
17 -1.6 3 0 -1.6742E-08
18 -1.7 3 0 -1.5159E-08
19 -1.8 3 0 -1.3203E-08
20 -1.9 3 0 -1.1696E-08
21 -2 3 0 -5.072E-09
22 -2.1 3 0 -4.6275E-09
23 -2.2 3 0 -3.1758E-09
24 -2.3 3 0 -8.299E-10
25 -2.4 3 0 2.1936E-09
26 -2.5 3 0 4.8173E-09
27 -2.6 3 0 7.506E-09
28 -2.7 3 0 1.03174E-08
29 -2.8 3 0 4.7715E-08
30 -2.9 3 0 5.6033E-08
31 -3 3 0 5.9338E-08
32 -3.1 3 0 6.9657E-08
33 -3.2 3 0 7.6416E-08
34 -3.3 3 0 8.0518E-08
35 -3.4 3 0 9.033E-08
36 -3.5 3 0 9.8875E-08
37 -3.6 3 0 1.03146E-07
38 -3.7 3 0 1.11465E-07
39 -3.8 3 0 1.177E-07
40 -3.9 3 0 1.2455E-07
41 -4 3 0 1.2827E-07
42 -4.1 3 0 1.3431E-07
43 -4.2 3 0 1.4282E-07
44 -4.3 3 0 1.4768E-07
45 -4.4 3 0 1.5819E-07
46 -4.5 3 0 1.6246E-07
47 -4.6 3 0 1.6609E-07
48 -4.7 3 0 1.7311E-07
49 -4.8 3 0 1.7686E-07
50 -4.9 3 0 1.8534E-07
51 -5 3 0 1.8974E-07
52 0 3 -0.5 -1.7026E-08
53 -0.1 3 -0.5 -1.5626E-08
54 -0.2 3 -0.5 -1.6013E-08
55 -0.3 3 -0.5 -1.7853E-08
56 -0.4 3 -0.5 -1.5613E-08
57 -0.5 3 -0.5 -1.6142E-08
58 -0.6 3 -0.5 -1.7843E-08
59 -0.7 3 -0.5 -1.5604E-08
60 -0.8 3 -0.5 -1.628E-08
61 -0.9 3 -0.5 -1.7764E-08
62 -1 3 -0.5 -1.5612E-08
63 -1.1 3 -0.5 -1.6425E-08
64 -1.2 3 -0.5 -1.7658E-08
65 -1.3 3 -0.5 -1.5625E-08
66 -1.4 3 -0.5 -1.6572E-08
67 -1.5 3 -0.5 -1.763E-08
68 -1.6 3 -0.5 -1.6552E-08
69 -1.7 3 -0.5 -3.0147E-08
70 -1.8 3 -0.5 -1.3383E-07
71 -1.9 3 -0.5 -5.457E-07
72 -2 3 -0.5 -1.5196E-06
73 -2.1 3 -0.5 -3.2216E-06
74 -2.2 3 -0.5 -5.7617E-06
75 -2.3 3 -0.5 -9.1836E-06
76 -2.4 3 -0.5 -1.3462E-05
77 -2.5 3 -0.5 -1.8438E-05
78 -2.6 3 -0.5 -2.3909E-05
79 -2.7 3 -0.5 -2.9719E-05
80 -2.8 3 -0.5 -3.5744E-05
81 -2.9 3 -0.5 -4.1881E-05
82 -3 3 -0.5 -4.8109E-05
83 -3.1 3 -0.5 -5.437E-05
84 -3.2 3 -0.5 -6.0632E-05
85 -3.3 3 -0.5 -6.6834E-05
86 -3.4 3 -0.5 -7.306E-05
87 -3.5 3 -0.5 -7.9251E-05
88 -3.6 3 -0.5 -8.539E-05
89 -3.7 3 -0.5 -9.1483E-05
90 -3.8 3 -0.5 -9.7516E-05
91 -3.9 3 -0.5 -0.000103493
92 -4 3 -0.5 -0.000109417
93 -4.1 3 -0.5 -0.00011528
94 -4.2 3 -0.5 -0.00012109
95 -4.3 3 -0.5 -0.00012682
96 -4.4 3 -0.5 -0.0001325
97 -4.5 3 -0.5 -0.00013809
98 -4.6 3 -0.5 -0.00014362
99 -4.7 3 -0.5 -0.00014915
100 -4.8 3 -0.5 -0.00015457
101 -4.9 3 -0.5 -0.00015993
102 -5 3 -0.5 -0.00016522
103 0 3 -1 -1.5397E-08
104 -0.1 3 -1 -1.7853E-08
105 -0.2 3 -1 -1.5932E-08
106 -0.3 3 -1 -1.6136E-08
107 -0.4 3 -1 -1.8013E-08
108 -0.5 3 -1 -1.5935E-08
109 -0.6 3 -1 -1.6241E-08
110 -0.7 3 -1 -1.8133E-08
111 -0.8 3 -1 -1.5934E-08
112 -0.9 3 -1 -1.6354E-08
113 -1 3 -1 -1.8161E-08
114 -1.1 3 -1 -1.5937E-08
115 -1.2 3 -1 -1.6502E-08
116 -1.3 3 -1 -1.814E-08
117 -1.4 3 -1 -1.5965E-08
118 -1.5 3 -1 -1.6716E-08
119 -1.6 3 -1 -1.9005E-08
120 -1.7 3 -1 -2.9805E-08
121 -1.8 3 -1 -1.3815E-07
122 -1.9 3 -1 -5.5804E-07
123 -2 3 -1 -1.541E-06
124 -2.1 3 -1 -3.2677E-06
