
VD= 0 to 5 in 0.1 step
VB= 0 to -2 in -0.5 step
NO. VG VB VD ID
 V V V A
1 2.5 0 0 2.3844E-08
2 2.5 0 0.1 3.9473E-06
3 2.5 0 0.2 7.3216E-06
4 2.5 0 0.3 1.01702E-05
5 2.5 0 0.4 1.2545E-05
6 2.5 0 0.5 1.4498E-05
7 2.5 0 0.6 1.6096E-05
8 2.5 0 0.7 1.7392E-05
9 2.5 0 0.8 1.8434E-05
10 2.5 0 0.9 1.9249E-05
11 2.5 0 1 1.9872E-05
12 2.5 0 1.1 2.0328E-05
13 2.5 0 1.2 2.0637E-05
14 2.5 0 1.3 2.0821E-05
15 2.5 0 1.4 2.0916E-05
16 2.5 0 1.5 2.095E-05
17 2.5 0 1.6 2.0958E-05
18 2.5 0 1.7 2.0966E-05
19 2.5 0 1.8 2.0968E-05
20 2.5 0 1.9 2.097E-05
21 2.5 0 2 2.0974E-05
22 2.5 0 2.1 2.0976E-05
23 2.5 0 2.2 2.0975E-05
24 2.5 0 2.3 2.0978E-05
25 2.5 0 2.4 2.0977E-05
26 2.5 0 2.5 2.098E-05
27 2.5 0 2.6 2.0982E-05
28 2.5 0 2.7 2.0983E-05
29 2.5 0 2.8 2.0983E-05
30 2.5 0 2.9 2.0987E-05
31 2.5 0 3 2.0987E-05
32 2.5 0 3.1 2.0989E-05
33 2.5 0 3.2 2.0988E-05
34 2.5 0 3.3 2.099E-05
35 2.5 0 3.4 2.0992E-05
36 2.5 0 3.5 2.0995E-05
37 2.5 0 3.6 2.0994E-05
38 2.5 0 3.7 2.0998E-05
39 2.5 0 3.8 2.0997E-05
40 2.5 0 3.9 2.0998E-05
41 2.5 0 4 2.1E-05
42 2.5 0 4.1 2.1E-05
43 2.5 0 4.2 2.1002E-05
44 2.5 0 4.3 2.1006E-05
45 2.5 0 4.4 2.1008E-05
46 2.5 0 4.5 2.1007E-05
47 2.5 0 4.6 2.1012E-05
48 2.5 0 4.7 2.1016E-05
49 2.5 0 4.8 2.1019E-05
50 2.5 0 4.9 2.1025E-05
51 2.5 0 5 2.1034E-05
52 2.5 -0.5 0 1.8638E-08
53 2.5 -0.5 0.1 3.2619E-06
54 2.5 -0.5 0.2 6.0298E-06
55 2.5 -0.5 0.3 8.3511E-06
56 2.5 -0.5 0.4 1.02772E-05
57 2.5 -0.5 0.5 1.1858E-05
58 2.5 -0.5 0.6 1.3151E-05
59 2.5 -0.5 0.7 1.4198E-05
60 2.5 -0.5 0.8 1.5028E-05
61 2.5 -0.5 0.9 1.5665E-05
62 2.5 -0.5 1 1.6136E-05
63 2.5 -0.5 1.1 1.6462E-05
64 2.5 -0.5 1.2 1.6664E-05
65 2.5 -0.5 1.3 1.6771E-05
66 2.5 -0.5 1.4 1.6814E-05
67 2.5 -0.5 1.5 1.6825E-05
68 2.5 -0.5 1.6 1.6831E-05
69 2.5 -0.5 1.7 1.6831E-05
70 2.5 -0.5 1.8 1.6835E-05
71 2.5 -0.5 1.9 1.6837E-05
72 2.5 -0.5 2 1.6838E-05
73 2.5 -0.5 2.1 1.6838E-05
74 2.5 -0.5 2.2 1.6844E-05
75 2.5 -0.5 2.3 1.6841E-05
76 2.5 -0.5 2.4 1.6843E-05
77 2.5 -0.5 2.5 1.6844E-05
78 2.5 -0.5 2.6 1.6845E-05
79 2.5 -0.5 2.7 1.6847E-05
80 2.5 -0.5 2.8 1.6847E-05
81 2.5 -0.5 2.9 1.685E-05
82 2.5 -0.5 3 1.685E-05
83 2.5 -0.5 3.1 1.685E-05
84 2.5 -0.5 3.2 1.6852E-05
85 2.5 -0.5 3.3 1.6852E-05
86 2.5 -0.5 3.4 1.6852E-05
87 2.5 -0.5 3.5 1.6855E-05
88 2.5 -0.5 3.6 1.6854E-05
89 2.5 -0.5 3.7 1.6854E-05
90 2.5 -0.5 3.8 1.6859E-05
91 2.5 -0.5 3.9 1.6859E-05
92 2.5 -0.5 4 1.6857E-05
93 2.5 -0.5 4.1 1.6861E-05
94 2.5 -0.5 4.2 1.6863E-05
95 2.5 -0.5 4.3 1.6863E-05
96 2.5 -0.5 4.4 1.6865E-05
97 2.5 -0.5 4.5 1.6868E-05
98 2.5 -0.5 4.6 1.6869E-05
99 2.5 -0.5 4.7 1.6874E-05
100 2.5 -0.5 4.8 1.6878E-05
101 2.5 -0.5 4.9 1.6882E-05
102 2.5 -0.5 5 1.6889E-05
103 2.5 -1 0 1.6059E-08
104 2.5 -1 0.1 2.754E-06
105 2.5 -1 0.2 5.0751E-06
106 2.5 -1 0.3 7.0104E-06
107 2.5 -1 0.4 8.6099E-06
108 2.5 -1 0.5 9.9243E-06
109 2.5 -1 0.6 1.09938E-05
110 2.5 -1 0.7 1.1851E-05
111 2.5 -1 0.8 1.2517E-05
112 2.5 -1 0.9 1.3011E-05
113 2.5 -1 1 1.336E-05
114 2.5 -1 1.1 1.3586E-05
115 2.5 -1 1.2 1.371E-05
116 2.5 -1 1.3 1.3765E-05
117 2.5 -1 1.4 1.3782E-05
118 2.5 -1 1.5 1.3786E-05
119 2.5 -1 1.6 1.3791E-05
120 2.5 -1 1.7 1.379E-05
121 2.5 -1 1.8 1.379E-05
122 2.5 -1 1.9 1.379E-05
123 2.5 -1 2 1.3797E-05
124 2.5 -1 2.1 1.3796E-05
125 2.5 -1 2.2 1.3795E-05
126 2.5 -1 2.3 1.3797E-05
127 2.5 -1 2.4 1.38E-05
128 2.5 -1 2.5 1.38E-05
129 2.5 -1 2.6 1.3801E-05
130 2.5 -1 2.7 1.38E-05
131 2.5 -1 2.8 1.3802E-05
132 2.5 -1 2.9 1.3804E-05
133 2.5 -1 3 1.3806E-05
134 2.5 -1 3.1 1.3804E-05
135 2.5 -1 3.2 1.3803E-05
136 2.5 -1 3.3 1.3806E-05
137 2.5 -1 3.4 1.3807E-05
138 2.5 -1 3.5 1.3807E-05
139 2.5 -1 3.6 1.3808E-05
140 2.5 -1 3.7 1.3808E-05
141 2.5 -1 3.8 1.3809E-05
142 2.5 -1 3.9 1.3812E-05
143 2.5 -1 4 1.3814E-05
144 2.5 -1 4.1 1.3812E-05
145 2.5 -1 4.2 1.3812E-05
146 2.5 -1 4.3 1.3815E-05
147 2.5 -1 4.4 1.3816E-05
148 2.5 -1 4.5 1.382E-05
149 2.5 -1 4.6 1.3822E-05
150 2.5 -1 4.7 1.3825E-05
151 2.5 -1 4.8 1.3829E-05
152 2.5 -1 4.9 1.3834E-05
153 2.5 -1 5 1.384E-05
154 2.5 -1.5 0 1.4009E-08
155 2.5 -1.5 0.1 2.3546E-06
156 2.5 -1.5 0.2 4.326E-06
157 2.5 -1.5 0.3 5.9642E-06
158 2.5 -1.5 0.4 7.3178E-06
159 2.5 -1.5 0.5 8.4237E-06
160 2.5 -1.5 0.6 9.3177E-06
161 2.5 -1.5 0.7 1.002E-05
162 2.5 -1.5 0.8 1.05518E-05
163 2.5 -1.5 0.9 1.09316E-05
164 2.5 -1.5 1 1.1181E-05
165 2.5 -1.5 1.1 1.1333E-05
166 2.5 -1.5 1.2 1.1402E-05
167 2.5 -1.5 1.3 1.1424E-05
168 2.5 -1.5 1.4 1.143E-05
169 2.5 -1.5 1.5 1.1434E-05
170 2.5 -1.5 1.6 1.1435E-05
171 2.5 -1.5 1.7 1.1436E-05
172 2.5 -1.5 1.8 1.1439E-05
173 2.5 -1.5 1.9 1.1438E-05
174 2.5 -1.5 2 1.1437E-05
175 2.5 -1.5 2.1 1.1441E-05
176 2.5 -1.5 2.2 1.144E-05
177 2.5 -1.5 2.3 1.1441E-05
178 2.5 -1.5 2.4 1.1444E-05
179 2.5 -1.5 2.5 1.1443E-05
180 2.5 -1.5 2.6 1.1443E-05
181 2.5 -1.5 2.7 1.1445E-05
182 2.5 -1.5 2.8 1.1445E-05
183 2.5 -1.5 2.9 1.1446E-05
184 2.5 -1.5 3 1.1446E-05
185 2.5 -1.5 3.1 1.1446E-05
186 2.5 -1.5 3.2 1.1448E-05
187 2.5 -1.5 3.3 1.1447E-05
188 2.5 -1.5 3.4 1.145E-05
189 2.5 -1.5 3.5 1.1451E-05
190 2.5 -1.5 3.6 1.1449E-05
191 2.5 -1.5 3.7 1.1453E-05
192 2.5 -1.5 3.8 1.145E-05
193 2.5 -1.5 3.9 1.1452E-05
194 2.5 -1.5 4 1.1453E-05
195 2.5 -1.5 4.1 1.1455E-05
196 2.5 -1.5 4.2 1.1455E-05
197 2.5 -1.5 4.3 1.1457E-05
198 2.5 -1.5 4.4 1.1459E-05
199 2.5 -1.5 4.5 1.1461E-05
200 2.5 -1.5 4.6 1.1464E-05
201 2.5 -1.5 4.7 1.1465E-05
202 2.5 -1.5 4.8 1.1468E-05
203 2.5 -1.5 4.9 1.147E-05
204 2.5 -1.5 5 1.1477E-05
205 2.5 -2 0 1.2765E-08
206 2.5 -2 0.1 2.0296E-06
207 2.5 -2 0.2 3.7246E-06
208 2.5 -2 0.3 5.1281E-06
209 2.5 -2 0.4 6.2847E-06
210 2.5 -2 0.5 7.2241E-06
211 2.5 -2 0.6 7.9692E-06
212 2.5 -2 0.7 8.5428E-06
213 2.5 -2 0.8 8.9617E-06
214 2.5 -2 0.9 9.2448E-06
215 2.5 -2 1 9.4206E-06
216 2.5 -2 1.1 9.5099E-06
217 2.5 -2 1.2 9.5446E-06
218 2.5 -2 1.3 9.5553E-06
219 2.5 -2 1.4 9.5571E-06
220 2.5 -2 1.5 9.5589E-06
221 2.5 -2 1.6 9.5606E-06
222 2.5 -2 1.7 9.56E-06
223 2.5 -2 1.8 9.5617E-06
224 2.5 -2 1.9 9.5626E-06
225 2.5 -2 2 9.5626E-06
226 2.5 -2 2.1 9.5635E-06
227 2.5 -2 2.2 9.5634E-06
228 2.5 -2 2.3 9.5649E-06
229 2.5 -2 2.4 9.5665E-06
230 2.5 -2 2.5 9.5659E-06
231 2.5 -2 2.6 9.5668E-06
232 2.5 -2 2.7 9.5671E-06
233 2.5 -2 2.8 9.5668E-06
234 2.5 -2 2.9 9.5686E-06
235 2.5 -2 3 9.5687E-06
236 2.5 -2 3.1 9.569E-06
237 2.5 -2 3.2 9.5705E-06
238 2.5 -2 3.3 9.5704E-06
239 2.5 -2 3.4 9.5711E-06
240 2.5 -2 3.5 9.5724E-06
241 2.5 -2 3.6 9.5717E-06
242 2.5 -2 3.7 9.5733E-06
243 2.5 -2 3.8 9.5734E-06
244 2.5 -2 3.9 9.5737E-06
245 2.5 -2 4 9.5752E-06
246 2.5 -2 4.1 9.5748E-06
247 2.5 -2 4.2 9.5765E-06
