
VD= 0 to -5 in -0.1 step
VB= 0 to -2 in -0.5 step
NO. VG VB VD ID
 V V V A
1 -2.5 0 0 3.9324E-07
2 -2.5 0 -0.1 -9.0431E-05
3 -2.5 0 -0.2 -0.0001738
4 -2.5 0 -0.3 -0.00024984
5 -2.5 0 -0.4 -0.00031846
6 -2.5 0 -0.5 -0.00037996
7 -2.5 0 -0.6 -0.00043425
8 -2.5 0 -0.7 -0.00048156
9 -2.5 0 -0.8 -0.00052221
10 -2.5 0 -0.9 -0.00055642
11 -2.5 0 -1 -0.00058445
12 -2.5 0 -1.1 -0.0006069
13 -2.5 0 -1.2 -0.00062454
14 -2.5 0 -1.3 -0.000638
15 -2.5 0 -1.4 -0.00064824
16 -2.5 0 -1.5 -0.00065602
17 -2.5 0 -1.6 -0.00066209
18 -2.5 0 -1.7 -0.00066681
19 -2.5 0 -1.8 -0.00067068
20 -2.5 0 -1.9 -0.00067403
21 -2.5 0 -2 -0.00067708
22 -2.5 0 -2.1 -0.00067959
23 -2.5 0 -2.2 -0.00068202
24 -2.5 0 -2.3 -0.00068423
25 -2.5 0 -2.4 -0.00068639
26 -2.5 0 -2.5 -0.00068823
27 -2.5 0 -2.6 -0.00069009
28 -2.5 0 -2.7 -0.00069195
29 -2.5 0 -2.8 -0.00069348
30 -2.5 0 -2.9 -0.00069529
31 -2.5 0 -3 -0.00069676
32 -2.5 0 -3.1 -0.0006983
33 -2.5 0 -3.2 -0.00069986
34 -2.5 0 -3.3 -0.00070128
35 -2.5 0 -3.4 -0.00070266
36 -2.5 0 -3.5 -0.00070403
37 -2.5 0 -3.6 -0.00070537
38 -2.5 0 -3.7 -0.00070674
39 -2.5 0 -3.8 -0.00070792
40 -2.5 0 -3.9 -0.00070915
41 -2.5 0 -4 -0.0007103
42 -2.5 0 -4.1 -0.00071155
43 -2.5 0 -4.2 -0.00071269
44 -2.5 0 -4.3 -0.00071382
45 -2.5 0 -4.4 -0.00071498
46 -2.5 0 -4.5 -0.00071606
47 -2.5 0 -4.6 -0.00071711
48 -2.5 0 -4.7 -0.0007182
