
VD= 0 to -5 in -0.1 step
VB= 0 to 2 in 0.5 step
NO. VG VB VD ID
 V V V A
1 -2.5 0 0 1.8428E-08
2 -2.5 0 -0.1 -3.0178E-06
3 -2.5 0 -0.2 -5.7715E-06
4 -2.5 0 -0.3 -8.2541E-06
5 -2.5 0 -0.4 -1.04691E-05
6 -2.5 0 -0.5 -1.2419E-05
7 -2.5 0 -0.6 -1.4135E-05
8 -2.5 0 -0.7 -1.5602E-05
9 -2.5 0 -0.8 -1.6834E-05
10 -2.5 0 -0.9 -1.7847E-05
11 -2.5 0 -1 -1.8649E-05
12 -2.5 0 -1.1 -1.9254E-05
13 -2.5 0 -1.2 -1.969E-05
14 -2.5 0 -1.3 -1.9968E-05
15 -2.5 0 -1.4 -2.0123E-05
16 -2.5 0 -1.5 -2.0192E-05
17 -2.5 0 -1.6 -2.0214E-05
18 -2.5 0 -1.7 -2.0222E-05
19 -2.5 0 -1.8 -2.0228E-05
20 -2.5 0 -1.9 -2.0232E-05
21 -2.5 0 -2 -2.0232E-05
22 -2.5 0 -2.1 -2.0233E-05
23 -2.5 0 -2.2 -2.0238E-05
24 -2.5 0 -2.3 -2.0236E-05
25 -2.5 0 -2.4 -2.0238E-05
26 -2.5 0 -2.5 -2.0241E-05
27 -2.5 0 -2.6 -2.0238E-05
28 -2.5 0 -2.7 -2.024E-05
29 -2.5 0 -2.8 -2.0244E-05
30 -2.5 0 -2.9 -2.0243E-05
31 -2.5 0 -3 -2.0245E-05
32 -2.5 0 -3.1 -2.0246E-05
33 -2.5 0 -3.2 -2.0246E-05
34 -2.5 0 -3.3 -2.0249E-05
35 -2.5 0 -3.4 -2.0248E-05
36 -2.5 0 -3.5 -2.0251E-05
37 -2.5 0 -3.6 -2.025E-05
38 -2.5 0 -3.7 -2.0253E-05
39 -2.5 0 -3.8 -2.0255E-05
40 -2.5 0 -3.9 -2.0253E-05
41 -2.5 0 -4 -2.0255E-05
42 -2.5 0 -4.1 -2.0255E-05
43 -2.5 0 -4.2 -2.0253E-05
44 -2.5 0 -4.3 -2.0258E-05
45 -2.5 0 -4.4 -2.0257E-05
46 -2.5 0 -4.5 -2.0258E-05
47 -2.5 0 -4.6 -2.0259E-05
48 -2.5 0 -4.7 -2.026E-05
49 -2.5 0 -4.8 -2.026E-05
50 -2.5 0 -4.9 -2.0259E-05
51 -2.5 0 -5 -2.0261E-05
52 -2.5 0.5 0 1.4561E-08
53 -2.5 0.5 -0.1 -2.4833E-06
54 -2.5 0.5 -0.2 -4.7332E-06
55 -2.5 0.5 -0.3 -6.7365E-06
56 -2.5 0.5 -0.4 -8.5012E-06
57 -2.5 0.5 -0.5 -1.00316E-05
58 -2.5 0.5 -0.6 -1.1333E-05
59 -2.5 0.5 -0.7 -1.2431E-05
60 -2.5 0.5 -0.8 -1.3318E-05
61 -2.5 0.5 -0.9 -1.4008E-05
62 -2.5 0.5 -1 -1.4525E-05
63 -2.5 0.5 -1.1 -1.4878E-05
64 -2.5 0.5 -1.2 -1.5101E-05
65 -2.5 0.5 -1.3 -1.5216E-05
66 -2.5 0.5 -1.4 -1.5259E-05
67 -2.5 0.5 -1.5 -1.5275E-05
68 -2.5 0.5 -1.6 -1.5279E-05
69 -2.5 0.5 -1.7 -1.5281E-05
70 -2.5 0.5 -1.8 -1.5286E-05
71 -2.5 0.5 -1.9 -1.5284E-05
72 -2.5 0.5 -2 -1.5287E-05
73 -2.5 0.5 -2.1 -1.529E-05
74 -2.5 0.5 -2.2 -1.529E-05
75 -2.5 0.5 -2.3 -1.5292E-05
76 -2.5 0.5 -2.4 -1.5292E-05
77 -2.5 0.5 -2.5 -1.5292E-05
78 -2.5 0.5 -2.6 -1.5292E-05
79 -2.5 0.5 -2.7 -1.5293E-05
80 -2.5 0.5 -2.8 -1.5294E-05
81 -2.5 0.5 -2.9 -1.5295E-05
82 -2.5 0.5 -3 -1.5295E-05
83 -2.5 0.5 -3.1 -1.5296E-05
84 -2.5 0.5 -3.2 -1.5296E-05
85 -2.5 0.5 -3.3 -1.5295E-05
86 -2.5 0.5 -3.4 -1.5298E-05
87 -2.5 0.5 -3.5 -1.5297E-05
88 -2.5 0.5 -3.6 -1.5299E-05
89 -2.5 0.5 -3.7 -1.5297E-05
90 -2.5 0.5 -3.8 -1.5298E-05
91 -2.5 0.5 -3.9 -1.53E-05
92 -2.5 0.5 -4 -1.5301E-05
93 -2.5 0.5 -4.1 -1.5299E-05
94 -2.5 0.5 -4.2 -1.5302E-05
95 -2.5 0.5 -4.3 -1.5304E-05
96 -2.5 0.5 -4.4 -1.53E-05
97 -2.5 0.5 -4.5 -1.5303E-05
98 -2.5 0.5 -4.6 -1.5304E-05
99 -2.5 0.5 -4.7 -1.5304E-05
100 -2.5 0.5 -4.8 -1.5304E-05
101 -2.5 0.5 -4.9 -1.5303E-05
102 -2.5 0.5 -5 -1.5304E-05
103 -2.5 1 0 1.2387E-08
104 -2.5 1 -0.1 -2.0625E-06
105 -2.5 1 -0.2 -3.9079E-06
106 -2.5 1 -0.3 -5.525E-06
107 -2.5 1 -0.4 -6.9241E-06
108 -2.5 1 -0.5 -8.1091E-06
109 -2.5 1 -0.6 -9.0885E-06
110 -2.5 1 -0.7 -9.8776E-06
111 -2.5 1 -0.8 -1.04853E-05
112 -2.5 1 -0.9 -1.0927E-05
113 -2.5 1 -1 -1.1233E-05
114 -2.5 1 -1.1 -1.1409E-05
115 -2.5 1 -1.2 -1.1498E-05
116 -2.5 1 -1.3 -1.153E-05
117 -2.5 1 -1.4 -1.1537E-05
118 -2.5 1 -1.5 -1.1541E-05
119 -2.5 1 -1.6 -1.1545E-05
120 -2.5 1 -1.7 -1.1543E-05
121 -2.5 1 -1.8 -1.1546E-05
122 -2.5 1 -1.9 -1.1545E-05
123 -2.5 1 -2 -1.1547E-05
124 -2.5 1 -2.1 -1.1548E-05
125 -2.5 1 -2.2 -1.1548E-05
126 -2.5 1 -2.3 -1.1548E-05
127 -2.5 1 -2.4 -1.1549E-05
128 -2.5 1 -2.5 -1.155E-05
129 -2.5 1 -2.6 -1.155E-05
130 -2.5 1 -2.7 -1.1551E-05
131 -2.5 1 -2.8 -1.1552E-05
132 -2.5 1 -2.9 -1.1554E-05
133 -2.5 1 -3 -1.1552E-05
