
VD= 0 to 5 in 0.1 step
VG= 0 to 5 in 0.5 step
NO. VG VB VD ID
 V V V A
1 0 0 0 3.624E-11
2 0 0 0.1 3.785E-11
3 0 0 0.2 3.777E-11
4 0 0 0.3 3.899E-11
5 0 0 0.4 3.803E-11
6 0 0 0.5 3.937E-11
7 0 0 0.6 3.876E-11
8 0 0 0.7 3.996E-11
9 0 0 0.8 3.958E-11
10 0 0 0.9 4.035E-11
11 0 0 1 3.964E-11
12 0 0 1.1 4.075E-11
13 0 0 1.2 4.016E-11
14 0 0 1.3 4.128E-11
15 0 0 1.4 4.084E-11
16 0 0 1.5 4.117E-11
17 0 0 1.6 4.067E-11
18 0 0 1.7 4.118E-11
19 0 0 1.8 4.095E-11
20 0 0 1.9 4.17E-11
21 0 0 2 4.13E-11
22 0 0 2.1 4.218E-11
23 0 0 2.2 4.148E-11
24 0 0 2.3 4.231E-11
25 0 0 2.4 4.203E-11
26 0 0 2.5 4.279E-11
27 0 0 2.6 4.199E-11
28 0 0 2.7 4.276E-11
29 0 0 2.8 4.253E-11
30 0 0 2.9 4.332E-11
31 0 0 3 4.263E-11
32 0 0 3.1 4.331E-11
33 0 0 3.2 4.305E-11
34 0 0 3.3 4.333E-11
35 0 0 3.4 4.391E-11
36 0 0 3.5 4.356E-11
37 0 0 3.6 4.421E-11
38 0 0 3.7 4.386E-11
39 0 0 3.8 4.454E-11
40 0 0 3.9 4.42E-11
41 0 0 4 4.502E-11
42 0 0 4.1 4.424E-11
43 0 0 4.2 4.525E-11
44 0 0 4.3 4.485E-11
45 0 0 4.4 4.54E-11
46 0 0 4.5 4.527E-11
47 0 0 4.6 4.594E-11
48 0 0 4.7 4.662E-11
49 0 0 4.8 4.574E-11
50 0 0 4.9 4.652E-11
51 0 0 5 4.671E-11
52 0.5 0 0 -4.519E-09
53 0.5 0 0.1 7.4183E-08
54 0.5 0 0.2 7.8157E-08
55 0.5 0 0.3 8.1423E-08
56 0.5 0 0.4 8.2766E-08
57 0.5 0 0.5 8.3971E-08
58 0.5 0 0.6 8.6285E-08
59 0.5 0 0.7 8.6635E-08
60 0.5 0 0.8 8.892E-08
61 0.5 0 0.9 8.9719E-08
62 0.5 0 1 9.0942E-08
63 0.5 0 1.1 9.2612E-08
64 0.5 0 1.2 9.2612E-08
65 0.5 0 1.3 9.4642E-08
66 0.5 0 1.4 9.5236E-08
67 0.5 0 1.5 9.63E-08
68 0.5 0 1.6 9.6915E-08
69 0.5 0 1.7 9.7819E-08
70 0.5 0 1.8 9.834E-08
71 0.5 0 1.9 9.9793E-08
72 0.5 0 2 1.0044E-07
73 0.5 0 2.1 1.0194E-07
74 0.5 0 2.2 1.0303E-07
75 0.5 0 2.3 1.0291E-07
76 0.5 0 2.4 1.0473E-07
77 0.5 0 2.5 1.0518E-07
78 0.5 0 2.6 1.0536E-07
79 0.5 0 2.7 1.0658E-07
80 0.5 0 2.8 1.0788E-07
81 0.5 0 2.9 1.0731E-07
82 0.5 0 3 1.0882E-07
83 0.5 0 3.1 1.1018E-07
84 0.5 0 3.2 1.1029E-07
85 0.5 0 3.3 1.1097E-07
86 0.5 0 3.4 1.1244E-07
87 0.5 0 3.5 1.1266E-07
88 0.5 0 3.6 1.136E-07
89 0.5 0 3.7 1.1483E-07
90 0.5 0 3.8 1.1498E-07
91 0.5 0 3.9 1.1547E-07
92 0.5 0 4 1.1758E-07
93 0.5 0 4.1 1.1704E-07
94 0.5 0 4.2 1.1787E-07
95 0.5 0 4.3 1.1959E-07
96 0.5 0 4.4 1.1999E-07
97 0.5 0 4.5 1.2057E-07
98 0.5 0 4.6 1.2263E-07
99 0.5 0 4.7 1.2269E-07
100 0.5 0 4.8 1.2274E-07
101 0.5 0 4.9 1.2503E-07
102 0.5 0 5 1.2507E-07
103 1 0 0 2.6501E-07
104 1 0 0.1 3.9089E-05
105 1 0 0.2 6.153E-05
106 1 0 0.3 7.1886E-05
107 1 0 0.4 7.5992E-05
108 1 0 0.5 7.808E-05
109 1 0 0.6 7.9617E-05
110 1 0 0.7 8.0842E-05
111 1 0 0.8 8.1948E-05
112 1 0 0.9 8.2981E-05
113 1 0 1 8.3852E-05
114 1 0 1.1 8.4743E-05
115 1 0 1.2 8.5521E-05
116 1 0 1.3 8.633E-05
117 1 0 1.4 8.7019E-05
118 1 0 1.5 8.7741E-05
119 1 0 1.6 8.8366E-05
120 1 0 1.7 8.9006E-05
121 1 0 1.8 8.9702E-05
122 1 0 1.9 9.0261E-05
123 1 0 2 9.0861E-05
124 1 0 2.1 9.14E-05
125 1 0 2.2 9.197E-05
126 1 0 2.3 9.2525E-05
127 1 0 2.4 9.3045E-05
128 1 0 2.5 9.3583E-05
129 1 0 2.6 9.4059E-05
130 1 0 2.7 9.4564E-05
131 1 0 2.8 9.5071E-05
132 1 0 2.9 9.555E-05
133 1 0 3 9.6035E-05
134 1 0 3.1 9.6553E-05
135 1 0 3.2 9.6984E-05
136 1 0 3.3 9.7421E-05
137 1 0 3.4 9.7897E-05
138 1 0 3.5 9.8356E-05
139 1 0 3.6 9.8751E-05
140 1 0 3.7 9.9245E-05
141 1 0 3.8 9.9631E-05
142 1 0 3.9 0.000100065
143 1 0 4 0.000100598
144 1 0 4.1 0.000101041
145 1 0 4.2 0.000101517
146 1 0 4.3 0.000101996
147 1 0 4.4 0.000102488
148 1 0 4.5 0.000102908
149 1 0 4.6 0.00010342
150 1 0 4.7 0.000103954
151 1 0 4.8 0.000104567
152 1 0 4.9 0.000105083
153 1 0 5 0.000105697
154 1.5 0 0 4.6881E-07
155 1.5 0 0.1 0.00011168
156 1.5 0 0.2 0.00020568
157 1.5 0 0.3 0.00028224
158 1.5 0 0.4 0.00034161
159 1.5 0 0.5 0.00038503
