
VD= 0 to -5 in -0.1 step
VG= 0 to -5 in -0.5 step
NO. VG VB VD ID
 V V V A
1 0 0 0 -5.95E-12
2 0 0 -0.1 -1.668E-11
3 0 0 -0.2 -1.69E-11
4 0 0 -0.3 -1.732E-11
5 0 0 -0.4 -1.722E-11
6 0 0 -0.5 -1.754E-11
7 0 0 -0.6 -1.755E-11
8 0 0 -0.7 -1.778E-11
9 0 0 -0.8 -1.786E-11
10 0 0 -0.9 -1.802E-11
11 0 0 -1 -1.806E-11
12 0 0 -1.1 -1.818E-11
13 0 0 -1.2 -1.839E-11
14 0 0 -1.3 -1.84E-11
15 0 0 -1.4 -1.843E-11
16 0 0 -1.5 -1.901E-11
17 0 0 -1.6 -1.89E-11
18 0 0 -1.7 -1.922E-11
19 0 0 -1.8 -1.941E-11
20 0 0 -1.9 -1.946E-11
21 0 0 -2 -1.985E-11
22 0 0 -2.1 -1.983E-11
23 0 0 -2.2 -2.021E-11
24 0 0 -2.3 -2.037E-11
25 0 0 -2.4 -2.091E-11
26 0 0 -2.5 -2.143E-11
27 0 0 -2.6 -2.185E-11
28 0 0 -2.7 -2.262E-11
29 0 0 -2.8 -2.318E-11
30 0 0 -2.9 -2.441E-11
31 0 0 -3 -2.569E-11
32 0 0 -3.1 -2.739E-11
33 0 0 -3.2 -2.965E-11
34 0 0 -3.3 -3.221E-11
35 0 0 -3.4 -3.538E-11
36 0 0 -3.5 -3.937E-11
37 0 0 -3.6 -4.446E-11
38 0 0 -3.7 -5.048E-11
39 0 0 -3.8 -5.77E-11
40 0 0 -3.9 -6.643E-11
41 0 0 -4 -7.641E-11
42 0 0 -4.1 -8.804E-11
43 0 0 -4.2 -1.0162E-10
44 0 0 -4.3 -1.1604E-10
45 0 0 -4.4 -1.3359E-10
46 0 0 -4.5 -1.5283E-10
47 0 0 -4.6 -1.7327E-10
48 0 0 -4.7 -1.9826E-10
49 0 0 -4.8 -2.2326E-10
50 0 0 -4.9 -2.5305E-10
51 0 0 -5 -2.8512E-10
52 -0.5 0 0 9.089E-09
53 -0.5 0 -0.1 -4.4459E-07
54 -0.5 0 -0.2 -4.7573E-07
55 -0.5 0 -0.3 -4.8147E-07
56 -0.5 0 -0.4 -4.8535E-07
57 -0.5 0 -0.5 -4.896E-07
58 -0.5 0 -0.6 -4.9303E-07
59 -0.5 0 -0.7 -4.9532E-07
60 -0.5 0 -0.8 -4.9711E-07
61 -0.5 0 -0.9 -5.0016E-07
62 -0.5 0 -1 -5.0077E-07
63 -0.5 0 -1.1 -5.0279E-07
64 -0.5 0 -1.2 -5.0605E-07
65 -0.5 0 -1.3 -5.0738E-07
66 -0.5 0 -1.4 -5.0994E-07
67 -0.5 0 -1.5 -5.1105E-07
68 -0.5 0 -1.6 -5.1482E-07
69 -0.5 0 -1.7 -5.1593E-07
70 -0.5 0 -1.8 -5.1829E-07
71 -0.5 0 -1.9 -5.1876E-07
72 -0.5 0 -2 -5.2097E-07
73 -0.5 0 -2.1 -5.2185E-07
74 -0.5 0 -2.2 -5.243E-07
75 -0.5 0 -2.3 -5.2467E-07
76 -0.5 0 -2.4 -5.2603E-07
77 -0.5 0 -2.5 -5.2747E-07
78 -0.5 0 -2.6 -5.2719E-07
79 -0.5 0 -2.7 -5.2929E-07
80 -0.5 0 -2.8 -5.2993E-07
81 -0.5 0 -2.9 -5.3159E-07
82 -0.5 0 -3 -5.3334E-07
83 -0.5 0 -3.1 -5.3626E-07
84 -0.5 0 -3.2 -5.3624E-07
85 -0.5 0 -3.3 -5.3943E-07
86 -0.5 0 -3.4 -5.3979E-07
87 -0.5 0 -3.5 -5.3975E-07
88 -0.5 0 -3.6 -5.4094E-07
89 -0.5 0 -3.7 -5.4346E-07
90 -0.5 0 -3.8 -5.4374E-07
91 -0.5 0 -3.9 -5.4405E-07
92 -0.5 0 -4 -5.453E-07
93 -0.5 0 -4.1 -5.4556E-07
94 -0.5 0 -4.2 -5.4634E-07
95 -0.5 0 -4.3 -5.499E-07
96 -0.5 0 -4.4 -5.4976E-07
