
VD= 0 to -5 in -0.1 step
VG= 0 to -5 in -0.5 step
NO. VG VB VD ID IB
 V V V A A
1 0 0 0 6.24E-12 4.329E-11
2 0 0 -0.1 -6.931E-11 4.306E-11
3 0 0 -0.2 -7.068E-11 4.338E-11
4 0 0 -0.3 -6.743E-11 4.315E-11
5 0 0 -0.4 -6.702E-11 4.315E-11
6 0 0 -0.5 -6.722E-11 4.34E-11
7 0 0 -0.6 -6.709E-11 4.315E-11
8 0 0 -0.7 -6.72E-11 4.343E-11
9 0 0 -0.8 -6.692E-11 4.32E-11
10 0 0 -0.9 -6.72E-11 4.355E-11
11 0 0 -1 -6.726E-11 4.31E-11
12 0 0 -1.1 -6.72E-11 4.322E-11
13 0 0 -1.2 -6.687E-11 4.306E-11
14 0 0 -1.3 -6.697E-11 4.295E-11
15 0 0 -1.4 -6.712E-11 4.325E-11
16 0 0 -1.5 -6.752E-11 4.299E-11
17 0 0 -1.6 -6.811E-11 4.344E-11
18 0 0 -1.7 -6.789E-11 4.307E-11
19 0 0 -1.8 -6.735E-11 4.351E-11
20 0 0 -1.9 -6.755E-11 4.32E-11
21 0 0 -2 -6.692E-11 4.331E-11
22 0 0 -2.1 -6.719E-11 4.316E-11
23 0 0 -2.2 -6.668E-11 4.347E-11
24 0 0 -2.3 -6.7E-11 4.322E-11
25 0 0 -2.4 -6.707E-11 4.322E-11
26 0 0 -2.5 -6.726E-11 4.356E-11
27 0 0 -2.6 -6.722E-11 4.316E-11
28 0 0 -2.7 -6.704E-11 4.337E-11
29 0 0 -2.8 -6.739E-11 4.339E-11
30 0 0 -2.9 -6.73E-11 4.334E-11
31 0 0 -3 -6.714E-11 4.351E-11
32 0 0 -3.1 -6.726E-11 4.344E-11
33 0 0 -3.2 -6.762E-11 4.374E-11
34 0 0 -3.3 -6.768E-11 4.331E-11
35 0 0 -3.4 -6.739E-11 4.377E-11
36 0 0 -3.5 -6.765E-11 4.33E-11
37 0 0 -3.6 -6.779E-11 4.361E-11
38 0 0 -3.7 -6.765E-11 4.343E-11
39 0 0 -3.8 -6.766E-11 4.369E-11
40 0 0 -3.9 -6.786E-11 4.363E-11
41 0 0 -4 -6.789E-11 4.362E-11
42 0 0 -4.1 -6.801E-11 4.375E-11
43 0 0 -4.2 -6.789E-11 4.341E-11
44 0 0 -4.3 -6.799E-11 4.387E-11
45 0 0 -4.4 -6.835E-11 4.368E-11
46 0 0 -4.5 -6.811E-11 4.408E-11
47 0 0 -4.6 -6.825E-11 4.392E-11
48 0 0 -4.7 -6.841E-11 4.39E-11
49 0 0 -4.8 -6.829E-11 4.418E-11
50 0 0 -4.9 -6.856E-11 4.395E-11
51 0 0 -5 -6.867E-11 4.425E-11
52 -0.5 0 0 2.7313E-09 4.335E-11
53 -0.5 0 -0.1 -1.3963E-07 4.329E-11
54 -0.5 0 -0.2 -1.745E-07 4.355E-11
55 -0.5 0 -0.3 -1.7803E-07 4.363E-11
56 -0.5 0 -0.4 -1.7828E-07 4.364E-11
57 -0.5 0 -0.5 -1.7832E-07 4.374E-11
58 -0.5 0 -0.6 -1.7834E-07 4.36E-11
59 -0.5 0 -0.7 -1.7731E-07 4.354E-11
60 -0.5 0 -0.8 -1.776E-07 4.337E-11
61 -0.5 0 -0.9 -1.7764E-07 4.342E-11
62 -0.5 0 -1 -1.7844E-07 4.352E-11
63 -0.5 0 -1.1 -1.7847E-07 4.355E-11
64 -0.5 0 -1.2 -1.784E-07 4.358E-11
65 -0.5 0 -1.3 -1.7842E-07 4.365E-11
66 -0.5 0 -1.4 -1.7744E-07 4.385E-11
67 -0.5 0 -1.5 -1.7763E-07 4.386E-11
68 -0.5 0 -1.6 -1.7778E-07 4.394E-11
69 -0.5 0 -1.7 -1.7848E-07 4.378E-11
70 -0.5 0 -1.8 -1.7849E-07 4.368E-11
71 -0.5 0 -1.9 -1.7849E-07 4.372E-11
72 -0.5 0 -2 -1.786E-07 4.376E-11
73 -0.5 0 -2.1 -1.7855E-07 4.377E-11
74 -0.5 0 -2.2 -1.7747E-07 4.365E-11
75 -0.5 0 -2.3 -1.7787E-07 4.359E-11
76 -0.5 0 -2.4 -1.7783E-07 4.384E-11
77 -0.5 0 -2.5 -1.7859E-07 4.412E-11
78 -0.5 0 -2.6 -1.7865E-07 4.396E-11
79 -0.5 0 -2.7 -1.787E-07 4.4E-11
80 -0.5 0 -2.8 -1.7858E-07 4.403E-11
81 -0.5 0 -2.9 -1.776E-07 4.431E-11
82 -0.5 0 -3 -1.7781E-07 4.42E-11
83 -0.5 0 -3.1 -1.7863E-07 4.395E-11
84 -0.5 0 -3.2 -1.787E-07 4.415E-11
85 -0.5 0 -3.3 -1.7863E-07 4.44E-11
86 -0.5 0 -3.4 -1.7861E-07 4.451E-11
87 -0.5 0 -3.5 -1.7868E-07 4.493E-11
88 -0.5 0 -3.6 -1.7761E-07 4.544E-11
89 -0.5 0 -3.7 -1.7789E-07 4.622E-11
90 -0.5 0 -3.8 -1.7883E-07 4.729E-11
91 -0.5 0 -3.9 -1.7868E-07 4.862E-11
92 -0.5 0 -4 -1.7771E-07 5E-11
93 -0.5 0 -4.1 -1.7772E-07 5.198E-11
94 -0.5 0 -4.2 -1.7864E-07 5.474E-11
95 -0.5 0 -4.3 -1.7826E-07 5.868E-11
96 -0.5 0 -4.4 -1.7848E-07 6.382E-11
97 -0.5 0 -4.5 -1.7869E-07 7.024E-11
98 -0.5 0 -4.6 -1.7804E-07 7.799E-11
99 -0.5 0 -4.7 -1.7854E-07 9.019E-11
100 -0.5 0 -4.8 -1.778E-07 1.033E-10
101 -0.5 0 -4.9 -1.7879E-07 1.1949E-10
102 -0.5 0 -5 -1.7772E-07 1.4015E-10
103 -1 0 0 6.8517E-09 4.32E-11
104 -1 0 -0.1 -8.9828E-07 4.331E-11
105 -1 0 -0.2 -1.5257E-06 4.326E-11
106 -1 0 -0.3 -1.9115E-06 4.334E-11
107 -1 0 -0.4 -2.1032E-06 4.384E-11
108 -1 0 -0.5 -2.1671E-06 4.379E-11
109 -1 0 -0.6 -2.178E-06 4.397E-11
110 -1 0 -0.7 -2.18E-06 4.386E-11
111 -1 0 -0.8 -2.1809E-06 4.382E-11
112 -1 0 -0.9 -2.1813E-06 4.396E-11
113 -1 0 -1 -2.1821E-06 4.377E-11
114 -1 0 -1.1 -2.1823E-06 4.372E-11
115 -1 0 -1.2 -2.1822E-06 4.369E-11
116 -1 0 -1.3 -2.1815E-06 4.376E-11
117 -1 0 -1.4 -2.1825E-06 4.405E-11
118 -1 0 -1.5 -2.183E-06 4.403E-11
119 -1 0 -1.6 -2.1829E-06 4.406E-11
120 -1 0 -1.7 -2.1832E-06 4.412E-11
121 -1 0 -1.8 -2.1836E-06 4.429E-11
122 -1 0 -1.9 -2.1828E-06 4.424E-11
123 -1 0 -2 -2.1835E-06 4.394E-11
124 -1 0 -2.1 -2.1837E-06 4.374E-11
125 -1 0 -2.2 -2.1829E-06 4.397E-11
126 -1 0 -2.3 -2.1841E-06 4.423E-11
127 -1 0 -2.4 -2.1842E-06 4.435E-11
128 -1 0 -2.5 -2.1836E-06 4.441E-11
129 -1 0 -2.6 -2.1844E-06 4.441E-11
130 -1 0 -2.7 -2.1843E-06 4.443E-11
131 -1 0 -2.8 -2.184E-06 4.421E-11
132 -1 0 -2.9 -2.1848E-06 4.426E-11
133 -1 0 -3 -2.1849E-06 4.418E-11
134 -1 0 -3.1 -2.1847E-06 4.439E-11
135 -1 0 -3.2 -2.1854E-06 4.468E-11
136 -1 0 -3.3 -2.1856E-06 4.515E-11
137 -1 0 -3.4 -2.1845E-06 4.601E-11
138 -1 0 -3.5 -2.1852E-06 4.709E-11
139 -1 0 -3.6 -2.1856E-06 4.823E-11
140 -1 0 -3.7 -2.1846E-06 5.007E-11
141 -1 0 -3.8 -2.1856E-06 5.289E-11
142 -1 0 -3.9 -2.1857E-06 5.728E-11
143 -1 0 -4 -2.1859E-06 6.349E-11
144 -1 0 -4.1 -2.1861E-06 7.164E-11
145 -1 0 -4.2 -2.1852E-06 8.461E-11
146 -1 0 -4.3 -2.1862E-06 1.0014E-10
147 -1 0 -4.4 -2.1856E-06 1.2082E-10
148 -1 0 -4.5 -2.1863E-06 1.4927E-10
149 -1 0 -4.6 -2.1862E-06 1.8671E-10
150 -1 0 -4.7 -2.1863E-06 2.3624E-10
151 -1 0 -4.8 -2.1862E-06 3.0048E-10
152 -1 0 -4.9 -2.1868E-06 3.8368E-10
153 -1 0 -5 -2.1869E-06 4.9097E-10
154 -1.5 0 0 1.2944E-08 4.311E-11
155 -1.5 0 -0.1 -1.8255E-06 4.367E-11
156 -1.5 0 -0.2 -3.3586E-06 4.356E-11
157 -1.5 0 -0.3 -4.6005E-06 4.377E-11
158 -1.5 0 -0.4 -5.5641E-06 4.413E-11
159 -1.5 0 -0.5 -6.2665E-06 4.413E-11
160 -1.5 0 -0.6 -6.7352E-06 4.394E-11
161 -1.5 0 -0.7 -7.0037E-06 4.397E-11
162 -1.5 0 -0.8 -7.1219E-06 4.398E-11
163 -1.5 0 -0.9 -7.1567E-06 4.403E-11
164 -1.5 0 -1 -7.1643E-06 4.388E-11
165 -1.5 0 -1.1 -7.1655E-06 4.389E-11
166 -1.5 0 -1.2 -7.1682E-06 4.418E-11
167 -1.5 0 -1.3 -7.1689E-06 4.44E-11
168 -1.5 0 -1.4 -7.1703E-06 4.437E-11
169 -1.5 0 -1.5 -7.1708E-06 4.448E-11
170 -1.5 0 -1.6 -7.1721E-06 4.449E-11
171 -1.5 0 -1.7 -7.1726E-06 4.447E-11
172 -1.5 0 -1.8 -7.1722E-06 4.436E-11
173 -1.5 0 -1.9 -7.1736E-06 4.42E-11
174 -1.5 0 -2 -7.1738E-06 4.415E-11
175 -1.5 0 -2.1 -7.1747E-06 4.417E-11
176 -1.5 0 -2.2 -7.1752E-06 4.411E-11
177 -1.5 0 -2.3 -7.1761E-06 4.422E-11
178 -1.5 0 -2.4 -7.1761E-06 4.431E-11
179 -1.5 0 -2.5 -7.175E-06 4.45E-11
180 -1.5 0 -2.6 -7.1774E-06 4.463E-11
181 -1.5 0 -2.7 -7.1775E-06 4.462E-11
182 -1.5 0 -2.8 -7.1779E-06 4.477E-11
183 -1.5 0 -2.9 -7.1786E-06 4.472E-11
184 -1.5 0 -3 -7.1785E-06 4.456E-11
185 -1.5 0 -3.1 -7.1778E-06 4.444E-11
186 -1.5 0 -3.2 -7.1797E-06 4.462E-11
187 -1.5 0 -3.3 -7.1803E-06 4.482E-11
188 -1.5 0 -3.4 -7.1802E-06 4.507E-11
189 -1.5 0 -3.5 -7.1799E-06 4.562E-11
190 -1.5 0 -3.6 -7.1808E-06 4.642E-11
191 -1.5 0 -3.7 -7.1802E-06 4.798E-11
192 -1.5 0 -3.8 -7.1817E-06 5E-11
193 -1.5 0 -3.9 -7.1821E-06 5.284E-11
194 -1.5 0 -4 -7.1814E-06 5.733E-11
195 -1.5 0 -4.1 -7.1825E-06 6.409E-11
196 -1.5 0 -4.2 -7.1828E-06 7.417E-11
197 -1.5 0 -4.3 -7.1828E-06 8.953E-11
198 -1.5 0 -4.4 -7.1836E-06 1.0944E-10
199 -1.5 0 -4.5 -7.1839E-06 1.376E-10
200 -1.5 0 -4.6 -7.1844E-06 1.7624E-10
201 -1.5 0 -4.7 -7.1837E-06 2.2861E-10
202 -1.5 0 -4.8 -7.1845E-06 2.9994E-10
203 -1.5 0 -4.9 -7.1854E-06 3.9605E-10
204 -1.5 0 -5 -7.1857E-06 5.2366E-10
205 -2 0 0 1.8307E-08 4.309E-11
206 -2 0 -0.1 -2.7469E-06 4.392E-11
207 -2 0 -0.2 -5.2059E-06 4.392E-11
208 -2 0 -0.3 -7.3702E-06 4.406E-11
209 -2 0 -0.4 -9.246E-06 4.427E-11
210 -2 0 -0.5 -1.08411E-05 4.433E-11
211 -2 0 -0.6 -1.2162E-05 4.879E-11
212 -2 0 -0.7 -1.322E-05 4.428E-11
213 -2 0 -0.8 -1.4028E-05 4.419E-11
214 -2 0 -0.9 -1.4605E-05 4.41E-11
215 -2 0 -1 -1.4974E-05 4.426E-11
216 -2 0 -1.1 -1.5174E-05 4.418E-11
