
VD= 0 to 5 in 0.1 step
VG= 0 to 5 in 0.5 step
NO. VG VB VD ID IB
 V V V A A
1 0 -5 0 4.753E-11 -7.1E-12
2 0 -5 0.1 4.781E-11 -6.297E-10
3 0 -5 0.2 4.735E-11 -4.3913E-10
4 0 -5 0.3 4.773E-11 -4.2258E-10
5 0 -5 0.4 4.895E-11 -4.0431E-10
6 0 -5 0.5 4.842E-11 -3.9685E-10
7 0 -5 0.6 4.863E-11 -3.9195E-10
8 0 -5 0.7 4.894E-11 -3.8537E-10
9 0 -5 0.8 4.928E-11 -3.7968E-10
10 0 -5 0.9 4.923E-11 -3.7761E-10
11 0 -5 1 4.942E-11 -3.7291E-10
12 0 -5 1.1 4.947E-11 -3.6931E-10
13 0 -5 1.2 4.965E-11 -3.686E-10
14 0 -5 1.3 4.976E-11 -3.6619E-10
15 0 -5 1.4 5.014E-11 -3.6296E-10
16 0 -5 1.5 5.057E-11 -3.6175E-10
17 0 -5 1.6 5.068E-11 -3.6212E-10
18 0 -5 1.7 5.083E-11 -3.588E-10
19 0 -5 1.8 5.106E-11 -3.5882E-10
20 0 -5 1.9 5.11E-11 -3.5879E-10
21 0 -5 2 5.126E-11 -3.5492E-10
22 0 -5 2.1 5.181E-11 -3.5389E-10
23 0 -5 2.2 5.207E-11 -3.5499E-10
24 0 -5 2.3 5.217E-11 -3.5435E-10
25 0 -5 2.4 5.24E-11 -3.5238E-10
26 0 -5 2.5 5.236E-11 -3.5342E-10
27 0 -5 2.6 5.302E-11 -3.5256E-10
28 0 -5 2.7 5.269E-11 -3.5005E-10
29 0 -5 2.8 5.347E-11 -3.5016E-10
30 0 -5 2.9 5.36E-11 -3.5325E-10
31 0 -5 3 5.402E-11 -3.5242E-10
32 0 -5 3.1 5.426E-11 -3.5005E-10
33 0 -5 3.2 5.447E-11 -3.528E-10
34 0 -5 3.3 5.434E-11 -3.4911E-10
35 0 -5 3.4 5.526E-11 -3.4816E-10
36 0 -5 3.5 5.494E-11 -3.4938E-10
37 0 -5 3.6 5.578E-11 -3.5039E-10
38 0 -5 3.7 5.592E-11 -3.4614E-10
39 0 -5 3.8 5.652E-11 -3.4811E-10
40 0 -5 3.9 5.661E-11 -3.4987E-10
41 0 -5 4 5.741E-11 -3.4807E-10
42 0 -5 4.1 5.722E-11 -3.4833E-10
43 0 -5 4.2 5.814E-11 -3.5008E-10
44 0 -5 4.3 5.843E-11 -3.5045E-10
45 0 -5 4.4 5.937E-11 -3.4837E-10
46 0 -5 4.5 5.935E-11 -3.5066E-10
47 0 -5 4.6 6.036E-11 -3.5044E-10
48 0 -5 4.7 6.066E-11 -3.4999E-10
49 0 -5 4.8 6.156E-11 -3.5282E-10
50 0 -5 4.9 6.194E-11 -3.5336E-10
51 0 -5 5 6.318E-11 -3.5139E-10
52 0.5 -5 0 4.643E-11 -3.4644E-10
53 0.5 -5 0.1 4.756E-11 -3.4311E-10
54 0.5 -5 0.2 4.773E-11 -3.4489E-10
55 0.5 -5 0.3 4.818E-11 -3.4489E-10
56 0.5 -5 0.4 4.812E-11 -3.4331E-10
57 0.5 -5 0.5 4.872E-11 -3.4542E-10
58 0.5 -5 0.6 4.845E-11 -3.4531E-10
59 0.5 -5 0.7 4.898E-11 -3.4263E-10
60 0.5 -5 0.8 4.86E-11 -3.4312E-10
61 0.5 -5 0.9 4.929E-11 -3.4661E-10
62 0.5 -5 1 4.901E-11 -3.4388E-10
63 0.5 -5 1.1 4.952E-11 -3.4262E-10
64 0.5 -5 1.2 4.929E-11 -3.4572E-10
65 0.5 -5 1.3 4.983E-11 -3.4456E-10
66 0.5 -5 1.4 4.953E-11 -3.4352E-10
67 0.5 -5 1.5 5.029E-11 -3.4432E-10
68 0.5 -5 1.6 4.983E-11 -3.4645E-10
69 0.5 -5 1.7 5.067E-11 -3.4417E-10
70 0.5 -5 1.8 4.978E-11 -3.4293E-10
71 0.5 -5 1.9 5.143E-11 -3.4607E-10
72 0.5 -5 2 5.078E-11 -3.4623E-10
73 0.5 -5 2.1 5.139E-11 -3.4551E-10
74 0.5 -5 2.2 5.153E-11 -3.4696E-10
75 0.5 -5 2.3 5.123E-11 -3.4479E-10
76 0.5 -5 2.4 5.191E-11 -3.4599E-10
77 0.5 -5 2.5 5.146E-11 -3.4784E-10
78 0.5 -5 2.6 5.26E-11 -3.4508E-10
79 0.5 -5 2.7 5.203E-11 -3.459E-10
80 0.5 -5 2.8 5.281E-11 -3.473E-10
81 0.5 -5 2.9 5.261E-11 -3.4662E-10
82 0.5 -5 3 5.357E-11 -3.4544E-10
83 0.5 -5 3.1 5.328E-11 -3.4765E-10
84 0.5 -5 3.2 5.387E-11 -3.4772E-10
85 0.5 -5 3.3 5.366E-11 -3.4639E-10
86 0.5 -5 3.4 5.455E-11 -3.473E-10
87 0.5 -5 3.5 5.398E-11 -3.4771E-10
88 0.5 -5 3.6 5.511E-11 -3.4542E-10
89 0.5 -5 3.7 5.491E-11 -3.4875E-10
90 0.5 -5 3.8 5.596E-11 -3.5014E-10
91 0.5 -5 3.9 5.596E-11 -3.4863E-10
92 0.5 -5 4 5.67E-11 -3.5003E-10
93 0.5 -5 4.1 5.696E-11 -3.5152E-10
94 0.5 -5 4.2 5.686E-11 -3.505E-10
95 0.5 -5 4.3 5.812E-11 -3.508E-10
96 0.5 -5 4.4 5.78E-11 -3.5491E-10
97 0.5 -5 4.5 5.907E-11 -3.5226E-10
